nome_csv,nome_flashscore
AVS,AFS
AZ Alkmaar,Alkmaar
Ajaccio,AC Ajaccio
Ajax,Ajax
Alaves,Alaves
Albacete,Albacete
Almere City,Almere City
Almeria,Almeria
Amiens,Amiens
Amorebieta,Amorebieta
Anderlecht,Anderlecht
Andorra,Andorra
Angers,Angers
Annecy,Annecy
Arouca,Arouca
Ascoli,Ascoli
Atalanta,Atalanta
Ath Bilbao,Ath. Bilbao
Ath Madrid,Atl. Madrid
Auxerre,Auxerre
Barcelona,Barcellona
Bari,Bari
Barnsley,Barnsley
Bastia,Bastia
Bayern Munich,Bayern
Beerschot VA,Beerschot VA
Benfica,Benfica
Betis,Betis
Birmingham,Birmingham
Blackburn,Blackburn
Blackpool,Blackpool
Boavista,Boavista
Bochum,Bochum
Bologna,Bologna
Bolton,Bolton
Braunschweig,Braunschweig
Brescia,Brescia
Brest,Brest
Bristol City,Bristol City
Bristol Rvs,Bristol Rovers
Burgos,Burgos CF
Burnley,Burnley
Burton,Burton
Cadiz,Cadice
Caen,Caen
Cagliari,Cagliari
Cambridge,Cambridge Utd
Cardiff,Cardiff
Carrarese,Carrarese
Cartagena,Cartagena
Casa Pia,Casa Pia
Castellon,Castellon
Catanzaro,Catanzaro
Celta,Celta Vigo
Cercle Brugge,Cercle Brugge
Cesena,Cesena
Charleroi,Charleroi
Charlton,Charlton
Chaves,Chaves
Cittadella,Cittadella
Clermont,Clermont
Club Brugge,Club Brugge
Como,Como
Concarneau,Concarneau
Cordoba,Cordoba
Cosenza,Cosenza
Coventry,Coventry
Crawley Town,Crawley
Cremonese,Cremonese
Darmstadt,Darmstadt
Dender,Dender
Derby,Derby
Dortmund,Dortmund
Dunkerque,Dunkerque
Eibar,Eibar
Ein Frankfurt,Francoforte
Elche,Elche
Eldense,Eldense
Elversberg,Elversberg
Empoli,Empoli
Espanol,Espanyol
Estoril,Estoril
Estrela,Estrela
Eupen,Eupen
Excelsior,Excelsior
Exeter,Exeter
FC Koln,Colonia
Famalicao,Famalicao
Farense,Farense
