Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,FC Koln,61,34,18,7,9,53,38,15
2,Hamburg,59,34,16,11,7,78,44,34
3,Elversberg,58,34,16,10,8,64,37,27
4,Paderborn,55,34,15,10,9,56,46,10
5,Magdeburg,53,34,14,11,9,64,52,12
6,Fortuna Dusseldorf,53,34,14,11,9,57,52,5
7,Kaiserslautern,53,34,15,8,11,56,55,1
8,Karlsruhe,52,34,14,10,10,57,55,2
9,Hannover,51,34,13,12,9,41,36,5
10,Nurnberg,48,34,14,6,14,60,57,3
11,Hertha,44,34,12,8,14,49,51,-2
12,Darmstadt,42,34,11,9,14,56,55,1
13,Greuther Furth,39,34,10,9,15,45,59,-14
14,Schalke 04,38,34,10,8,16,52,62,-10
15,Preußen Münster,36,34,8,12,14,40,43,-3
16,Braunschweig,35,34,8,11,15,38,64,-26
17,Ulm,30,34,6,12,16,36,48,-12
18,Regensburg,25,34,6,7,21,23,71,-48
