Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Leeds,100,46,29,13,4,95,30,65
2,Burnley,100,46,28,16,2,69,16,53
3,Sheffield United,92,46,28,8,10,63,36,27
4,Sunderland,76,46,21,13,12,58,44,14
5,Coventry,69,46,20,9,17,64,58,6
6,Bristol City,68,46,17,17,12,59,55,4
7,Blackburn,66,46,19,9,18,53,48,5
8,Millwall,66,46,18,12,16,47,49,-2
9,West Brom,64,46,15,19,12,57,47,10
10,Middlesbrough,64,46,18,10,18,64,56,8
11,Swansea,61,46,17,10,19,51,56,-5
12,Sheffield Weds,58,46,15,13,18,60,69,-9
13,Norwich,57,46,14,15,17,71,68,3
14,Watford,57,46,16,9,21,53,61,-8
15,QPR,56,46,14,14,18,53,63,-10
16,Portsmouth,54,46,14,12,20,58,71,-13
17,Oxford,53,46,13,14,19,49,65,-16
18,Stoke,51,46,12,15,19,45,62,-17
19,Derby,50,46,13,11,22,48,56,-8
20,Preston,50,46,10,20,16,48,59,-11
21,Hull,49,46,12,13,21,44,54,-10
22,Luton,49,46,13,10,23,45,69,-24
23,Plymouth,46,46,11,13,22,51,88,-37
24,Cardiff,44,46,9,17,20,48,73,-25
