Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,St. Gilloise,83,40,24,11,5,71,28,43
2,Club Brugge,82,40,24,10,6,86,42,44
3,Genk,81,40,25,6,9,69,44,25
4,Anderlecht,61,40,18,7,15,62,40,22
5,Charleroi,58,40,16,10,14,55,46,9
6,Antwerp,55,40,14,13,13,57,50,7
7,Westerlo,51,40,13,12,15,69,65,4
8,Mechelen,50,40,12,14,14,62,57,5
9,Gent,48,40,12,12,16,45,65,-20
10,Standard,46,40,10,16,14,27,43,-16
11,Oud-Heverlee Leuven,45,40,9,18,13,39,52,-13
12,Dender,45,40,11,12,17,53,72,-19
13,St Truiden,41,36,10,11,15,50,66,-16
14,Cercle Brugge,39,36,9,12,15,39,57,-18
15,Kortrijk,37,36,10,7,19,40,63,-23
16,Beerschot VA,24,36,5,9,22,36,70,-34
