Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Barcelona,88,38,28,4,6,102,39,63
2,Real Madrid,84,38,26,6,6,78,38,40
3,Ath Madrid,76,38,22,10,6,68,30,38
4,Ath Bilbao,70,38,19,13,6,54,29,25
5,Villarreal,70,38,20,10,8,71,51,20
6,Betis,60,38,16,12,10,57,50,7
7,Celta,55,38,16,7,15,59,57,2
8,Osasuna,52,38,12,16,10,48,52,-4
9,Vallecano,52,38,13,13,12,41,45,-4
10,Mallorca,48,38,13,9,16,35,44,-9
11,Valencia,46,38,11,13,14,44,54,-10
12,Sociedad,46,38,13,7,18,35,46,-11
13,Getafe,42,38,11,9,18,34,39,-5
14,Alaves,42,38,10,12,16,38,48,-10
15,Espanol,42,38,11,9,18,40,51,-11
16,Sevilla,41,38,10,11,17,42,55,-13
17,Girona,41,38,11,8,19,44,60,-16
18,Leganes,40,38,9,13,16,39,56,-17
19,Las Palmas,32,38,8,8,22,40,61,-21
20,Valladolid,16,38,4,4,30,26,90,-64
