Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Sp Lisbon,82,34,25,7,2,88,27,61
2,Benfica,80,34,25,5,4,84,28,56
3,Porto,71,34,22,5,7,65,30,35
4,Sp Braga,66,34,19,9,6,55,30,25
5,Santa Clara,57,34,17,6,11,36,32,4
6,Guimaraes,54,34,14,12,8,47,37,10
7,Famalicao,47,34,12,11,11,44,39,5
8,Estoril,46,34,12,10,12,48,53,-5
9,Casa Pia,45,34,12,9,13,39,44,-5
10,Moreirense,40,34,10,10,14,42,50,-8
11,Arouca,38,34,9,11,14,35,49,-14
12,Rio Ave,38,34,9,11,14,39,55,-16
13,Gil Vicente,34,34,8,10,16,34,47,-13
14,Nacional,34,34,9,7,18,32,50,-18
15,Estrela,29,34,7,8,19,24,50,-26
16,Farense,27,34,6,9,19,25,46,-21
17,AVS,27,34,5,12,17,25,60,-35
18,Boavista,24,34,6,6,22,24,59,-35
