Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Napoli,82,38,24,10,4,59,27,32
2,Inter,81,38,24,9,5,79,35,44
3,Atalanta,74,38,22,8,8,78,37,41
4,Juventus,70,38,18,16,4,58,35,23
5,Roma,69,38,20,9,9,56,35,21
6,Fiorentina,65,38,19,8,11,60,41,19
7,Lazio,65,38,18,11,9,61,49,12
8,Milan,63,38,18,9,11,61,43,18
9,Bologna,62,38,16,14,8,57,47,10
10,Como,49,38,13,10,15,49,52,-3
11,Torino,44,38,10,14,14,39,45,-6
12,Udinese,44,38,12,8,18,41,56,-15
13,Genoa,43,38,10,13,15,37,49,-12
14,Verona,37,38,10,7,21,34,66,-32
15,Parma,36,38,7,15,16,44,58,-14
16,Cagliari,36,38,9,9,20,40,56,-16
17,Lecce,34,38,8,10,20,27,58,-31
18,Empoli,31,38,6,13,19,33,59,-26
19,Venezia,29,38,5,14,19,32,56,-24
20,Monza,18,38,3,9,26,28,69,-41
