Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Sassuolo,82,38,25,7,6,78,38,40
2,Pisa,74,38,22,8,8,62,37,25
3,Spezia,66,38,17,15,6,59,33,26
4,Cremonese,61,38,16,13,9,62,44,18
5,Juve Stabia,55,38,14,13,11,42,41,1
6,Catanzaro,53,38,11,20,7,51,45,6
7,Cesena,53,38,14,11,13,46,47,-1
8,Palermo,52,38,14,10,14,52,43,9
9,Bari,48,38,10,18,10,41,40,1
10,Sudtirol,46,38,12,10,16,50,57,-7
11,Modena,45,38,10,15,13,48,50,-2
12,Carrarese,45,38,11,12,15,39,49,-10
13,Mantova,44,38,10,14,14,47,56,-9
14,Reggiana,44,38,11,11,16,42,52,-10
15,Brescia,43,38,9,16,13,42,48,-6
16,Frosinone,43,38,9,16,13,37,50,-13
17,Salernitana,42,38,11,9,18,37,47,-10
18,Sampdoria,41,38,8,17,13,38,49,-11
19,Cittadella,40,38,10,10,18,31,54,-23
20,Cosenza,34,38,7,13,18,32,56,-24
