Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Schalke 04,65,34,20,5,9,72,44,28
2,Werder Bremen,63,34,18,9,7,65,43,22
3,Hamburg,60,34,16,12,6,67,35,32
4,Darmstadt,60,34,18,6,10,71,46,25
5,St Pauli,57,34,16,9,9,61,46,15
6,Heidenheim,52,34,15,7,12,43,45,-2
7,Paderborn,51,34,13,12,9,56,44,12
8,Nurnberg,51,34,14,9,11,49,49,0
9,Holstein Kiel,45,34,12,9,13,46,54,-8
10,Fortuna Dusseldorf,44,34,11,11,12,45,42,3
11,Hannover,42,34,11,9,14,35,49,-14
12,Karlsruhe,41,34,9,14,11,54,55,-1
13,Hansa Rostock,41,34,10,11,13,41,52,-11
14,Sandhausen,41,34,10,11,13,42,54,-12
15,Regensburg,40,34,10,10,14,50,51,-1
16,Dresden,32,34,7,11,16,33,46,-13
17,Erzgebirge Aue,26,34,6,8,20,32,72,-40
18,Ingolstadt,21,34,4,9,21,30,65,-35
