Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Bayern Munich,78,34,24,6,4,99,44,55
2,RB Leipzig,65,34,19,8,7,60,32,28
3,Dortmund,64,34,20,4,10,75,46,29
4,Wolfsburg,61,34,17,10,7,61,37,24
5,Ein Frankfurt,60,34,16,12,6,69,53,16
6,Leverkusen,52,34,14,10,10,53,39,14
7,Union Berlin,50,34,12,14,8,50,43,7
8,M'gladbach,49,34,13,10,11,64,56,8
9,Stuttgart,45,34,12,9,13,56,55,1
10,Freiburg,45,34,12,9,13,52,52,0
11,Hoffenheim,43,34,11,10,13,52,54,-2
12,Mainz,39,34,10,9,15,39,56,-17
13,Augsburg,36,34,10,6,18,36,54,-18
14,Hertha,35,34,8,11,15,41,52,-11
15,Bielefeld,35,34,9,8,17,26,52,-26
16,FC Koln,33,34,8,9,17,34,60,-26
17,Werder Bremen,31,34,7,10,17,36,57,-21
18,Schalke 04,16,34,3,7,24,25,86,-61
