Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Burnley,101,46,29,14,3,87,35,52
2,Sheffield United,91,46,28,7,11,73,39,34
3,Luton,80,46,21,17,8,57,39,18
4,Middlesbrough,75,46,22,9,15,84,56,28
5,Coventry,70,46,18,16,12,58,46,12
6,Sunderland,69,46,18,15,13,68,55,13
7,Blackburn,69,46,20,9,17,52,54,-2
8,Millwall,68,46,19,11,16,57,50,7
9,West Brom,66,46,18,12,16,59,53,6
10,Swansea,66,46,18,12,16,68,64,4
11,Watford,63,46,16,15,15,56,53,3
12,Preston,63,46,17,12,17,45,59,-14
13,Norwich,62,46,17,11,18,57,54,3
14,Bristol City,59,46,15,14,17,55,56,-1
15,Hull,58,46,14,16,16,51,61,-10
16,Stoke,53,46,14,11,21,55,54,1
17,Birmingham,53,46,14,11,21,47,58,-11
18,Huddersfield,53,46,14,11,21,47,62,-15
19,Rotherham,50,46,11,17,18,49,60,-11
20,Reading,50,46,13,11,22,46,68,-22
21,QPR,50,46,13,11,22,44,71,-27
22,Cardiff,49,46,13,10,23,41,58,-17
23,Wigan,45,46,10,15,21,38,65,-27
24,Blackpool,44,46,11,11,24,48,72,-24
