Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,PSV Eindhoven,91,34,29,4,1,111,21,90
2,Feyenoord,84,34,26,6,2,92,26,66
3,Twente,69,34,21,6,7,69,36,33
4,AZ Alkmaar,65,34,19,8,7,70,39,31
5,Ajax,56,34,15,11,8,74,61,13
6,Nijmegen,53,34,14,11,9,68,51,17
7,Utrecht,50,34,13,11,10,49,47,2
8,Sparta Rotterdam,49,34,14,7,13,51,48,3
9,Go Ahead Eagles,46,34,12,10,12,47,46,1
10,For Sittard,38,34,9,11,14,37,56,-19
11,Heerenveen,37,34,10,7,17,53,70,-17
12,Zwolle,36,34,9,9,16,45,67,-22
13,Almere City,34,34,7,13,14,33,59,-26
14,Heracles,33,34,9,6,19,41,74,-33
15,Waalwijk,29,34,7,8,19,38,56,-18
16,Excelsior,29,34,6,11,17,50,73,-23
17,Vitesse,24,34,6,6,22,30,74,-44
18,Volendam,19,34,4,7,23,34,88,-54
