Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Genk,75,34,23,6,5,78,37,41
2,St. Gilloise,75,34,23,6,5,70,41,29
3,Antwerp,72,34,22,6,6,59,26,33
4,Club Brugge,59,34,16,11,7,61,36,25
5,Gent,56,34,16,8,10,64,38,26
6,Standard,55,34,16,7,11,58,45,13
7,Westerlo,51,34,14,9,11,61,53,8
8,Cercle Brugge,50,34,13,11,10,50,46,4
9,Oud-Heverlee Leuven,48,34,13,9,12,56,48,8
10,Charleroi,48,34,14,6,14,45,52,-7
11,Anderlecht,46,34,13,7,14,49,46,3
12,St Truiden,42,34,11,9,14,37,40,-3
13,Mechelen,40,34,11,7,16,49,63,-14
14,Kortrijk,31,34,8,7,19,37,61,-24
15,Eupen,28,34,7,7,20,40,75,-35
16,Waregem,27,34,6,9,19,50,78,-28
17,Oostende,27,34,7,6,21,37,76,-39
18,Seraing,20,34,5,5,24,28,68,-40
