Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Granada,75,42,22,9,11,55,30,25
2,Las Palmas,72,42,18,18,6,49,29,20
3,Levante,72,42,18,18,6,46,30,16
4,Alaves,71,42,19,14,9,47,33,14
5,Eibar,71,42,19,14,9,45,36,9
6,Albacete,67,42,17,16,9,58,47,11
7,Andorra,59,42,16,11,15,47,37,10
8,Oviedo,59,42,16,11,15,34,35,-1
9,Cartagena,58,42,16,10,16,47,49,-2
10,Tenerife,57,42,14,15,13,42,37,5
11,Santander,54,42,14,12,16,39,40,-1
12,Burgos,54,42,13,15,14,33,35,-2
13,Zaragoza,53,42,12,17,13,40,39,1
14,Leganes,53,42,14,11,17,37,42,-5
15,Huesca,52,42,11,19,12,36,36,0
16,Mirandes,52,42,13,13,16,48,54,-6
17,Sp Gijon,50,42,11,17,14,43,48,-5
18,Villarreal B,50,42,13,11,18,49,55,-6
19,Malaga,44,42,10,14,18,37,44,-7
20,Ponferradina,44,42,9,17,16,40,53,-13
21,Ibiza,34,42,7,13,22,33,66,-33
22,Lugo,31,42,6,13,23,27,57,-30
