Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Sp Lisbon,90,34,29,3,2,96,29,67
2,Benfica,80,34,25,5,4,77,28,49
3,Porto,72,34,22,6,6,63,27,36
4,Sp Braga,68,34,21,5,8,71,50,21
5,Guimaraes,63,34,19,6,9,52,38,14
6,Moreirense,55,34,16,7,11,36,35,1
7,Arouca,46,34,13,7,14,54,50,4
8,Famalicao,42,34,10,12,12,37,41,-4
9,Casa Pia,38,34,10,8,16,38,50,-12
10,Farense,37,34,10,7,17,46,51,-5
11,Rio Ave,37,34,6,19,9,38,43,-5
12,Gil Vicente,36,34,9,9,16,42,52,-10
13,Estoril,33,34,9,6,19,49,58,-9
14,Estrela,33,34,7,12,15,33,53,-20
15,Boavista,32,34,7,11,16,39,62,-23
16,Portimonense,32,34,8,8,18,39,72,-33
17,Vizela,26,34,5,11,18,36,66,-30
18,Chaves,23,34,5,8,21,31,72,-41
