Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Napoli,90,38,28,6,4,77,28,49
2,Lazio,74,38,22,8,8,60,30,30
3,Inter,72,38,23,3,12,71,42,29
4,Juventus,72,38,22,6,10,56,33,23
5,Milan,70,38,20,10,8,64,43,21
6,Atalanta,64,38,19,7,12,66,48,18
7,Roma,63,38,18,9,11,50,38,12
8,Fiorentina,56,38,15,11,12,53,43,10
9,Bologna,54,38,14,12,12,53,49,4
10,Torino,53,38,14,11,13,42,41,1
11,Monza,52,38,14,10,14,48,52,-4
12,Udinese,46,38,11,13,14,47,48,-1
13,Sassuolo,45,38,12,9,17,47,61,-14
14,Empoli,43,38,10,13,15,37,49,-12
15,Salernitana,42,38,9,15,14,48,62,-14
16,Lecce,36,38,8,12,18,33,46,-13
17,Verona,31,38,7,10,21,31,59,-28
18,Spezia,31,38,6,13,19,31,62,-31
19,Cremonese,27,38,5,12,21,36,69,-33
20,Sampdoria,19,38,3,10,25,24,71,-47
