Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Lecce,71,38,19,14,5,59,31,28
2,Cremonese,69,38,20,9,9,57,39,18
3,Monza,67,38,19,10,9,60,38,22
4,Pisa,67,38,18,13,7,48,35,13
5,Brescia,66,38,17,15,6,55,35,20
6,Ascoli,65,38,19,8,11,52,42,10
7,Benevento,63,38,18,9,11,62,39,23
8,Frosinone,58,38,15,13,10,58,45,13
9,Perugia,58,38,14,16,8,40,32,8
10,Ternana,54,38,15,9,14,58,61,-3
11,Cittadella,52,38,13,13,12,38,36,2
12,Parma,49,38,11,16,11,48,43,5
13,Reggina,48,38,13,9,16,31,49,-18
14,Como,47,38,11,14,13,49,54,-5
15,Spal,42,38,9,15,14,46,54,-8
16,Cosenza,35,38,8,11,19,36,59,-23
17,Vicenza,34,38,9,7,22,38,59,-21
18,Alessandria,34,38,8,10,20,37,59,-22
19,Crotone,26,38,4,14,20,41,61,-20
20,Pordenone,18,38,3,9,26,29,71,-42
