data,squadra_casa,squadra_trasferta,gol_casa,gol_trasferta,gol_casa_1T,gol_trasferta_1T,tiri_casa,tiri_trasferta,tiri_porta_casa,tiri_porta_trasferta,corner_casa,corner_trasferta,falli_casa,falli_trasferta,gialli_casa,gialli_trasferta,rossi_casa,rossi_trasferta,stagione_calc
2020-09-18,Hamburg,Fortuna Dusseldorf,2,1,1,0,7,12,4,4,7,8,20,11,2,3,0,1,2021
2020-09-18,Regensburg,Nurnberg,1,1,0,1,13,8,6,5,8,4,16,14,2,3,0,0,2021
2020-09-19,Hannover,Karlsruhe,2,0,1,0,13,15,6,5,4,7,14,12,0,1,0,0,2021
2020-09-19,Sandhausen,Darmstadt,3,2,2,1,11,17,6,9,4,9,18,14,5,1,0,0,2021
2020-09-19,Wurzburger Kickers,Erzgebirge Aue,0,3,0,0,13,14,1,6,5,5,9,19,1,0,0,0,2021
2020-09-20,Greuther Furth,Osnabruck,1,1,1,1,18,14,4,5,6,6,21,17,4,3,0,0,2021
2020-09-20,Heidenheim,Braunschweig,2,0,1,0,10,14,3,4,4,5,21,10,1,2,0,0,2021
2020-09-20,Holstein Kiel,Paderborn,1,0,0,0,11,11,4,4,3,4,14,15,3,1,0,0,2021
2020-09-21,Bochum,St Pauli,2,2,1,0,16,11,8,4,7,0,15,12,1,3,0,0,2021
2020-09-25,Erzgebirge Aue,Greuther Furth,1,1,1,1,7,15,2,2,5,4,14,6,2,1,0,0,2021
2020-09-25,Osnabruck,Hannover,2,1,1,0,13,10,5,3,5,4,13,20,2,5,0,0,2021
2020-09-26,Braunschweig,Holstein Kiel,0,0,0,0,13,15,2,3,3,6,10,13,0,5,0,0,2021
2020-09-26,Darmstadt,Regensburg,0,0,0,0,15,16,6,3,8,7,13,20,1,3,0,0,2021
2020-09-26,Fortuna Dusseldorf,Wurzburger Kickers,1,0,0,0,12,15,4,5,5,5,15,11,6,2,0,0,2021
2020-09-27,Karlsruhe,Bochum,0,1,0,1,21,6,4,2,5,4,10,17,4,4,0,1,2021
2020-09-27,Nurnberg,Sandhausen,1,0,0,0,26,6,12,3,14,10,9,12,3,1,0,0,2021
2020-09-27,St Pauli,Heidenheim,4,2,2,0,9,19,4,6,2,9,7,11,1,1,0,0,2021
2020-09-28,Paderborn,Hamburg,3,4,3,2,9,15,5,9,7,6,12,9,3,2,0,0,2021
2020-10-02,Sandhausen,St Pauli,1,0,1,0,10,22,3,4,5,11,16,12,2,2,0,0,2021
2020-10-02,Bochum,Osnabruck,0,0,0,0,18,12,3,1,3,7,8,12,3,3,0,1,2021
2020-10-03,Hannover,Braunschweig,4,1,0,0,23,7,8,3,4,4,12,10,2,3,0,0,2021
2020-10-03,Heidenheim,Paderborn,0,0,0,0,11,6,3,3,4,4,8,11,0,1,0,0,2021
2020-10-03,Regensburg,Karlsruhe,1,0,1,0,9,11,3,4,1,3,17,18,4,5,1,0,2021
2020-10-04,Holstein Kiel,Fortuna Dusseldorf,2,1,1,0,9,14,6,2,5,4,9,15,0,4,0,1,2021
2020-10-04,Wurzburger Kickers,Greuther Furth,2,2,1,1,15,10,5,2,6,5,17,16,1,3,0,0,2021
2020-10-05,Nurnberg,Darmstadt,2,3,1,0,13,17,4,6,3,7,13,18,2,2,0,0,2021
2020-10-17,Karlsruhe,Sandhausen,3,0,2,0,20,10,10,5,6,6,16,18,3,4,0,0,2021
2020-10-17,Greuther Furth,Hamburg,0,1,0,1,19,9,6,4,6,7,22,14,5,1,0,1,2021
2020-10-17,Braunschweig,Bochum,2,1,1,1,14,12,7,4,6,4,10,12,3,2,1,0,2021
2020-10-18,Erzgebirge Aue,Heidenheim,2,1,0,0,13,25,7,10,2,6,12,14,1,2,0,0,2021
2020-10-18,Fortuna Dusseldorf,Regensburg,2,2,0,2,8,20,3,8,6,7,12,14,1,3,0,0,2021
2020-10-18,Paderborn,Hannover,1,0,1,0,15,15,4,3,3,2,8,8,2,0,0,0,2021
2020-10-18,Wurzburger Kickers,Holstein Kiel,0,2,0,1,11,6,2,1,4,1,14,15,4,4,0,0,2021
2020-10-19,St Pauli,Nurnberg,2,2,1,1,20,10,9,4,7,1,17,21,3,6,0,0,2021
2020-10-21,Hamburg,Erzgebirge Aue,3,0,1,0,9,2,6,2,7,1,9,12,0,1,0,0,2021
2020-10-23,Nurnberg,Karlsruhe,1,1,1,0,13,8,3,2,5,5,11,14,1,5,0,1,2021
2020-10-23,Regensburg,Braunschweig,3,0,1,0,23,13,7,4,8,6,9,10,1,2,0,1,2021
2020-10-24,Holstein Kiel,Greuther Furth,1,3,0,2,10,22,3,8,4,7,11,16,4,1,1,0,2021
2020-10-24,Hannover,Fortuna Dusseldorf,3,0,0,0,12,0,5,0,5,0,13,15,2,2,0,1,2021
2020-10-24,Darmstadt,St Pauli,2,2,1,0,16,12,5,7,5,2,11,22,2,4,0,0,2021
2020-10-24,Hamburg,Wurzburger Kickers,3,1,0,1,22,8,3,1,9,3,9,7,1,3,0,0,2021
2020-10-25,Bochum,Erzgebirge Aue,2,0,0,0,18,5,7,2,12,0,13,9,2,2,0,1,2021
2020-10-25,Heidenheim,Osnabruck,1,1,0,0,15,17,5,5,11,7,11,11,0,2,0,0,2021
2020-10-25,Sandhausen,Paderborn,1,1,1,1,9,15,3,4,4,5,14,18,4,3,0,0,2021
2020-10-28,Osnabruck,Darmstadt,1,1,0,1,13,12,6,5,2,8,10,16,2,2,0,0,2021
2020-10-30,Fortuna Dusseldorf,Heidenheim,1,0,1,0,11,10,3,2,4,5,12,14,2,4,0,0,2021
2020-10-30,Hamburg,St Pauli,2,2,1,1,17,13,4,3,11,2,11,17,1,1,0,0,2021
2020-10-31,Paderborn,Regensburg,3,1,1,1,9,7,3,3,8,1,9,17,1,2,0,0,2021
2020-10-31,Osnabruck,Sandhausen,2,1,2,0,18,4,9,3,6,4,12,21,1,3,0,0,2021
2020-10-31,Erzgebirge Aue,Holstein Kiel,1,1,1,1,18,7,8,1,6,1,15,7,2,3,0,1,2021
2020-10-31,Braunschweig,Nurnberg,3,2,1,2,12,17,3,5,1,6,14,12,2,1,0,0,2021
2020-11-01,Greuther Furth,Hannover,4,1,2,0,19,5,12,1,2,5,16,13,0,1,0,0,2021
2020-11-01,Karlsruhe,Darmstadt,3,4,2,1,14,15,7,7,7,5,17,12,3,1,1,0,2021
2020-11-01,Wurzburger Kickers,Bochum,2,3,2,2,12,9,5,4,3,8,13,21,2,6,0,0,2021
2020-11-06,Heidenheim,Wurzburger Kickers,4,1,1,0,17,13,9,3,7,0,17,19,1,3,0,0,2021
2020-11-06,Sandhausen,Braunschweig,2,2,2,0,14,9,10,4,5,7,16,15,2,2,0,0,2021
2020-11-07,Nurnberg,Fortuna Dusseldorf,1,1,1,1,9,8,2,2,8,6,13,14,2,2,0,0,2021
2020-11-07,Hannover,Erzgebirge Aue,0,0,0,0,15,10,8,3,3,3,14,11,3,4,0,1,2021
2020-11-07,Bochum,Greuther Furth,0,2,0,2,11,13,1,6,5,4,17,14,1,3,0,0,2021
2020-11-08,Darmstadt,Paderborn,0,4,0,3,4,25,2,13,1,8,11,13,5,3,1,0,2021
2020-11-08,Regensburg,Osnabruck,2,4,1,2,14,11,6,7,6,2,15,15,2,2,0,0,2021
2020-11-08,St Pauli,Karlsruhe,0,3,0,1,17,14,3,3,10,5,12,14,1,1,0,0,2021
2020-11-09,Holstein Kiel,Hamburg,1,1,0,1,8,8,5,3,3,7,12,9,1,0,0,0,2021
2020-11-21,Braunschweig,Karlsruhe,1,3,1,2,10,11,4,3,6,4,16,20,2,5,0,0,2021
2020-11-21,Fortuna Dusseldorf,Sandhausen,1,0,0,0,9,3,7,1,4,3,17,15,5,4,0,0,2021
2020-11-21,Holstein Kiel,Heidenheim,2,2,1,0,13,10,4,4,5,4,9,13,3,1,1,0,2021
2020-11-21,Paderborn,St Pauli,2,0,1,0,25,14,8,2,3,7,11,17,1,2,0,0,2021
2020-11-22,Wurzburger Kickers,Hannover,2,1,0,1,11,6,6,3,1,1,15,16,4,1,0,0,2021
2020-11-22,Erzgebirge Aue,Darmstadt,3,0,1,0,17,9,9,2,5,8,14,16,1,2,0,0,2021
2020-11-22,Greuther Furth,Regensburg,3,1,1,1,20,21,10,4,5,7,12,18,1,3,0,0,2021
2020-11-22,Hamburg,Bochum,1,3,0,1,11,15,3,9,4,8,15,15,1,2,0,0,2021
2020-11-23,Osnabruck,Nurnberg,1,4,0,3,13,10,4,6,1,2,15,10,2,2,0,0,2021
2020-11-27,St Pauli,Osnabruck,0,1,0,0,19,10,4,4,7,3,9,10,1,4,0,0,2021
2020-11-27,Darmstadt,Braunschweig,4,0,4,0,12,10,7,1,5,3,10,13,0,4,0,0,2021
2020-11-28,Sandhausen,Erzgebirge Aue,1,4,1,2,14,16,3,7,9,4,11,11,2,2,0,1,2021
2020-11-28,Karlsruhe,Paderborn,1,0,1,0,16,13,6,3,8,6,10,12,3,2,0,0,2021
2020-11-28,Regensburg,Wurzburger Kickers,2,1,0,0,14,8,7,3,8,6,20,15,6,2,0,1,2021
2020-11-29,Hannover,Holstein Kiel,0,3,0,0,16,7,3,3,8,1,15,2,3,1,1,0,2021
2020-11-29,Heidenheim,Hamburg,3,2,2,2,14,7,5,2,8,5,13,9,1,3,0,0,2021
2020-11-29,Nurnberg,Greuther Furth,2,3,1,2,18,10,6,6,5,0,13,11,0,0,0,0,2021
2020-11-30,Bochum,Fortuna Dusseldorf,5,0,1,0,16,7,9,0,6,3,12,7,2,2,0,1,2021
2020-12-04,Fortuna Dusseldorf,Darmstadt,3,2,0,0,13,9,4,5,1,5,11,11,1,2,0,0,2021
2020-12-04,Holstein Kiel,Bochum,3,1,1,1,12,17,6,7,4,5,11,18,0,1,0,0,2021
2020-12-05,Osnabruck,Karlsruhe,1,2,1,0,11,17,5,5,9,3,11,21,0,3,0,0,2021
2020-12-05,Hamburg,Hannover,0,1,0,1,12,11,5,3,3,4,14,22,2,1,1,0,2021
2020-12-05,Greuther Furth,Heidenheim,0,1,0,0,9,6,3,3,3,5,9,16,1,2,0,0,2021
2020-12-05,Braunschweig,St Pauli,2,1,0,1,13,10,3,4,4,7,15,19,3,1,0,0,2021
2020-12-06,Erzgebirge Aue,Regensburg,0,2,0,2,13,12,3,6,2,6,13,10,3,2,0,0,2021
2020-12-06,Paderborn,Nurnberg,0,2,0,1,13,7,2,3,5,3,15,13,4,3,0,0,2021
2020-12-06,Wurzburger Kickers,Sandhausen,2,3,1,1,6,14,3,5,6,3,11,19,1,5,1,0,2021
2020-12-11,Bochum,Paderborn,3,0,0,0,17,11,9,4,6,5,12,12,2,1,0,0,2021
2020-12-11,Sandhausen,Greuther Furth,0,3,0,2,8,14,2,7,8,5,17,17,3,0,0,0,2021
2020-12-12,Heidenheim,Hannover,1,0,1,0,15,10,5,0,4,6,11,10,1,4,0,0,2021
2020-12-12,Regensburg,Holstein Kiel,2,3,1,2,8,9,2,6,6,3,20,9,4,2,0,0,2021
2020-12-12,Darmstadt,Hamburg,1,2,0,0,5,11,2,6,3,7,19,14,3,3,1,0,2021
2020-12-13,Braunschweig,Osnabruck,0,2,0,1,5,14,0,10,2,4,14,20,2,3,0,0,2021
2020-12-13,Karlsruhe,Fortuna Dusseldorf,1,2,0,1,19,8,8,4,8,2,12,12,1,3,0,1,2021
2020-12-13,Nurnberg,Wurzburger Kickers,2,1,1,0,17,10,7,3,5,3,7,10,0,3,0,0,2021
2020-12-13,St Pauli,Erzgebirge Aue,2,2,0,1,20,9,7,5,8,2,12,8,4,1,0,0,2021
2020-12-15,Greuther Furth,Darmstadt,0,4,0,2,14,14,4,10,8,4,11,15,1,4,0,1,2021
2020-12-15,Hamburg,Sandhausen,4,0,1,0,10,17,4,5,4,10,19,10,5,1,0,0,2021
2020-12-15,Hannover,Bochum,2,0,1,0,17,9,11,2,5,4,24,13,2,3,0,0,2021
2020-12-15,Heidenheim,Regensburg,0,0,0,0,10,10,3,4,3,5,7,8,0,0,0,0,2021
2020-12-16,Fortuna Dusseldorf,Osnabruck,3,0,1,0,16,9,5,3,5,1,10,14,1,3,0,0,2021
