data,squadra_casa,squadra_trasferta,gol_casa,gol_trasferta,gol_casa_1T,gol_trasferta_1T,tiri_casa,tiri_trasferta,tiri_porta_casa,tiri_porta_trasferta,corner_casa,corner_trasferta,falli_casa,falli_trasferta,gialli_casa,gialli_trasferta,rossi_casa,rossi_trasferta,stagione
2023-07-28,Hamburg,Schalke 04,5,3,1,2,31,11,14,6,9,3,10,13,3,3,0,1,2324
2023-07-29,Hannover,Elversberg,2,2,1,2,10,23,4,9,3,6,5,18,3,4,0,0,2324
2023-07-29,Kaiserslautern,St Pauli,1,2,0,0,10,14,3,5,3,5,11,10,2,1,0,0,2324
2023-07-29,Osnabruck,Karlsruhe,2,3,1,2,18,14,7,8,4,9,11,9,3,2,1,0,2324
2023-07-29,Wehen,Magdeburg,1,1,0,1,9,11,1,3,3,2,10,18,2,3,1,0,2324
2023-07-29,Fortuna Dusseldorf,Hertha,1,0,0,0,9,12,2,4,7,8,13,11,3,2,0,0,2324
2023-07-30,Braunschweig,Holstein Kiel,0,1,0,0,9,15,2,4,4,10,10,13,3,1,1,0,2324
2023-07-30,Greuther Furth,Paderborn,5,0,3,0,24,7,11,0,5,2,9,5,1,1,0,1,2324
2023-07-30,Hansa Rostock,Nurnberg,2,0,1,0,14,18,4,7,6,6,15,13,3,4,0,0,2324
2023-08-04,Hertha,Wehen,0,1,0,0,21,12,8,5,6,4,9,9,2,3,0,0,2324
2023-08-04,Paderborn,Osnabruck,1,1,0,0,15,15,5,5,7,7,11,12,1,0,0,0,2324
2023-08-05,Elversberg,Hansa Rostock,1,2,0,0,13,17,4,5,7,2,12,15,3,4,0,0,2324
2023-08-05,Holstein Kiel,Greuther Furth,2,1,0,0,9,15,4,2,8,5,14,16,2,2,0,0,2324
2023-08-05,St Pauli,Fortuna Dusseldorf,0,0,0,0,13,10,5,3,4,8,11,8,2,1,1,0,2324
2023-08-05,Schalke 04,Kaiserslautern,3,0,1,0,16,10,8,4,8,7,14,12,1,3,0,2,2324
2023-08-06,Magdeburg,Braunschweig,2,1,2,0,14,9,5,4,1,5,7,20,1,3,0,0,2324
2023-08-06,Nurnberg,Hannover,2,2,0,2,8,19,3,6,5,7,20,14,6,2,0,0,2324
2023-08-06,Karlsruhe,Hamburg,2,2,1,0,17,13,4,7,7,3,6,14,3,2,0,0,2324
2023-08-18,Kaiserslautern,Elversberg,3,2,1,0,20,21,8,9,4,6,11,12,3,1,0,0,2324
2023-08-18,Wehen,Karlsruhe,1,0,1,0,11,15,4,7,2,7,14,2,3,1,0,0,2324
2023-08-19,Fortuna Dusseldorf,Paderborn,1,2,0,1,26,10,6,6,12,1,6,20,0,3,0,0,2324
2023-08-19,Greuther Furth,St Pauli,0,0,0,0,16,6,2,1,2,1,11,17,1,5,0,0,2324
2023-08-19,Hansa Rostock,Hannover,1,2,0,1,10,8,2,2,4,5,13,11,3,1,0,0,2324
2023-08-19,Hamburg,Hertha,3,0,2,0,27,11,7,2,4,2,10,7,2,2,0,0,2324
2023-08-20,Osnabruck,Nurnberg,2,3,0,1,15,20,3,7,3,12,13,8,2,2,0,0,2324
2023-08-20,Braunschweig,Schalke 04,1,0,1,0,17,11,6,3,6,4,15,12,3,0,1,0,2324
2023-08-20,Holstein Kiel,Magdeburg,2,4,1,2,17,18,8,10,6,3,23,12,1,2,0,0,2324
2023-08-25,Paderborn,Kaiserslautern,1,2,0,0,15,12,5,3,1,2,17,12,2,5,0,0,2324
2023-08-25,Schalke 04,Holstein Kiel,0,2,0,1,13,14,4,5,3,7,11,13,1,1,1,0,2324
2023-08-26,Elversberg,Fortuna Dusseldorf,0,5,0,3,13,15,4,8,8,6,6,9,1,3,0,0,2324
2023-08-26,Hansa Rostock,Osnabruck,2,1,1,1,12,13,5,3,4,5,17,10,3,0,0,0,2324
2023-08-26,Hertha,Greuther Furth,5,0,2,0,14,17,7,6,5,8,18,9,1,1,0,0,2324
2023-08-26,Hannover,Hamburg,0,1,0,0,19,11,5,4,3,3,13,13,1,4,0,1,2324
2023-08-27,Nurnberg,Wehen,2,1,0,0,13,15,4,2,10,6,12,17,2,6,1,2,2324
2023-08-27,Karlsruhe,Braunschweig,2,0,1,0,22,9,9,0,6,4,11,4,1,1,0,1,2324
2023-08-27,St Pauli,Magdeburg,0,0,0,0,26,5,12,2,11,3,9,9,2,3,0,0,2324
2023-09-01,Fortuna Dusseldorf,Karlsruhe,3,1,1,1,19,10,5,8,7,7,8,10,1,3,0,0,2324
2023-09-01,Braunschweig,St Pauli,1,1,0,0,9,19,1,5,3,5,11,11,2,3,0,0,2324
2023-09-02,Holstein Kiel,Paderborn,2,1,1,1,19,13,6,2,6,8,9,9,3,3,0,0,2324
2023-09-02,Magdeburg,Hertha,6,4,2,3,23,12,12,7,4,3,6,9,2,3,0,0,2324
2023-09-02,Wehen,Schalke 04,1,1,0,0,14,15,3,5,3,7,17,10,4,2,0,0,2324
2023-09-02,Kaiserslautern,Nurnberg,3,1,3,1,12,18,4,4,4,7,12,14,1,2,0,1,2324
2023-09-03,Greuther Furth,Hannover,1,3,0,2,19,6,5,5,9,2,11,11,1,2,0,0,2324
2023-09-03,Hamburg,Hansa Rostock,2,0,1,0,17,7,11,3,3,5,14,15,2,5,0,0,2324
2023-09-03,Osnabruck,Elversberg,0,1,0,0,9,10,4,2,6,2,16,13,1,2,0,0,2324
2023-09-15,Nurnberg,Greuther Furth,1,1,1,1,18,9,4,2,6,5,14,17,2,3,0,0,2324
2023-09-15,Paderborn,Wehen,2,1,0,1,17,12,7,5,5,1,14,12,3,2,0,0,2324
2023-09-16,Schalke 04,Magdeburg,4,3,1,2,19,12,9,6,9,4,22,12,4,4,0,1,2324
2023-09-16,Karlsruhe,Kaiserslautern,1,1,1,1,19,14,6,7,9,3,10,14,0,1,0,0,2324
2023-09-16,Elversberg,Hamburg,2,1,1,0,16,13,7,6,7,6,12,9,3,2,0,0,2324
2023-09-16,Hansa Rostock,Fortuna Dusseldorf,1,3,1,2,23,20,4,5,10,8,11,9,2,2,0,0,2324
2023-09-17,Hertha,Braunschweig,3,0,2,0,15,14,8,4,4,9,11,11,2,0,0,0,2324
2023-09-17,Hannover,Osnabruck,7,0,2,0,24,6,15,3,5,3,13,9,0,2,0,1,2324
2023-09-17,St Pauli,Holstein Kiel,5,1,3,0,18,13,7,4,3,1,13,16,3,3,0,0,2324
2023-09-22,Osnabruck,Hamburg,2,1,2,1,18,8,9,3,13,7,10,15,5,6,0,0,2324
2023-09-22,Magdeburg,Paderborn,1,1,0,1,11,14,3,4,2,6,14,12,4,1,0,0,2324
2023-09-23,St Pauli,Schalke 04,3,1,1,1,19,10,8,3,4,2,3,19,1,4,0,0,2324
2023-09-23,Wehen,Elversberg,0,2,0,1,16,13,3,5,7,3,13,17,4,4,0,0,2324
2023-09-23,Braunschweig,Nurnberg,2,2,1,2,14,11,5,5,2,3,17,15,2,2,0,0,2324
2023-09-23,Greuther Furth,Karlsruhe,4,3,3,3,9,17,6,5,9,4,10,12,3,5,1,0,2324
2023-09-24,Fortuna Dusseldorf,Hannover,1,1,0,1,17,6,5,2,5,2,7,10,2,3,0,0,2324
2023-09-24,Holstein Kiel,Hertha,2,3,0,2,16,11,5,7,2,4,19,13,4,3,1,0,2324
2023-09-24,Kaiserslautern,Hansa Rostock,3,1,2,1,22,18,11,2,6,10,9,15,2,2,0,0,2324
2023-09-29,Hamburg,Fortuna Dusseldorf,1,0,0,0,10,8,4,2,8,3,10,14,3,6,0,1,2324
2023-09-29,Paderborn,Schalke 04,3,1,1,0,11,13,6,2,2,10,10,9,1,3,0,0,2324
2023-09-30,Hannover,Wehen,2,0,1,0,17,12,5,3,4,6,13,15,0,2,0,0,2324
2023-09-30,Hansa Rostock,Braunschweig,1,0,0,0,19,20,6,0,7,5,20,10,3,1,0,0,2324
2023-09-30,Karlsruhe,Holstein Kiel,0,2,0,2,14,12,4,5,7,9,4,16,0,4,0,0,2324
2023-09-30,Hertha,St Pauli,1,2,0,1,8,24,3,5,7,3,11,5,2,0,0,0,2324
2023-10-01,Elversberg,Greuther Furth,1,1,1,1,11,15,4,5,2,8,13,19,1,1,0,0,2324
2023-10-01,Nurnberg,Magdeburg,1,0,0,0,16,13,6,1,7,3,14,21,6,5,0,0,2324
2023-10-01,Osnabruck,Kaiserslautern,2,2,2,1,9,32,4,13,4,13,15,13,4,3,0,0,2324
2023-10-06,Fortuna Dusseldorf,Osnabruck,1,1,0,0,19,9,4,3,8,1,13,11,5,3,0,0,2324
2023-10-06,Kaiserslautern,Hannover,3,1,1,1,16,11,11,4,5,2,13,17,4,2,0,1,2324
2023-10-07,St Pauli,Nurnberg,5,1,1,1,20,7,7,3,8,4,7,11,4,1,0,0,2324
2023-10-07,Wehen,Hamburg,1,1,0,0,6,23,2,5,4,13,11,3,2,2,0,0,2324
2023-10-07,Magdeburg,Karlsruhe,1,1,0,1,19,2,5,2,7,1,4,12,3,2,0,0,2324
2023-10-07,Greuther Furth,Hansa Rostock,1,0,1,0,9,8,4,2,8,2,11,16,1,7,0,0,2324
2023-10-08,Braunschweig,Paderborn,1,3,1,2,24,11,4,6,13,4,9,9,3,0,0,0,2324
2023-10-08,Holstein Kiel,Elversberg,1,1,1,0,23,9,7,4,11,2,13,16,1,1,0,0,2324
