data,squadra_casa,squadra_trasferta,gol_casa,gol_trasferta,gol_casa_1T,gol_trasferta_1T,tiri_casa,tiri_trasferta,tiri_porta_casa,tiri_porta_trasferta,corner_casa,corner_trasferta,falli_casa,falli_trasferta,gialli_casa,gialli_trasferta,rossi_casa,rossi_trasferta,stagione_calc
2022-08-05,Ein Frankfurt,Bayern Munich,1,6,0,5,8,23,2,10,5,6,10,11,2,0,0,0,2223
2022-08-06,Augsburg,Freiburg,0,4,0,0,10,19,2,7,5,8,13,13,0,0,0,0,2223
2022-08-06,Bochum,Mainz,1,2,1,1,16,13,3,6,3,5,11,16,2,3,0,0,2223
2022-08-06,M'gladbach,Hoffenheim,3,1,1,1,18,2,8,1,4,2,18,12,1,4,0,1,2223
2022-08-06,Union Berlin,Hertha,3,1,1,0,18,9,8,3,5,4,23,17,2,3,0,0,2223
2022-08-06,Wolfsburg,Werder Bremen,2,2,1,2,13,10,3,5,2,5,11,14,2,2,0,0,2223
2022-08-06,Dortmund,Leverkusen,1,0,1,0,13,8,4,3,3,3,14,13,2,4,0,1,2223
2022-08-07,Stuttgart,RB Leipzig,1,1,1,1,11,27,2,9,1,9,14,9,2,1,0,0,2223
2022-08-07,FC Koln,Schalke 04,3,1,0,0,30,6,10,2,9,1,8,10,0,1,0,1,2223
2022-08-12,Freiburg,Dortmund,1,3,1,0,16,16,7,7,9,2,16,10,1,3,0,0,2223
2022-08-13,Schalke 04,M'gladbach,2,2,1,0,14,14,5,9,2,7,12,8,4,2,0,0,2223
2022-08-13,Werder Bremen,Stuttgart,2,2,1,1,5,14,3,7,2,5,6,10,4,2,0,0,2223
2022-08-13,RB Leipzig,FC Koln,2,2,1,1,9,12,5,3,2,7,8,18,1,4,1,0,2223
2022-08-13,Hertha,Ein Frankfurt,1,1,1,0,11,11,5,1,4,5,11,11,3,1,0,0,2223
2022-08-13,Hoffenheim,Bochum,3,2,2,2,24,11,13,5,8,2,13,10,1,1,0,0,2223
2022-08-13,Leverkusen,Augsburg,1,2,1,1,23,6,10,4,7,3,7,16,1,6,0,0,2223
2022-08-14,Mainz,Union Berlin,0,0,0,0,10,10,5,2,4,4,9,14,1,0,0,0,2223
2022-08-14,Bayern Munich,Wolfsburg,2,0,2,0,24,7,8,1,8,4,7,10,2,1,0,0,2223
2022-08-19,M'gladbach,Hertha,1,0,1,0,11,18,6,5,5,5,7,11,1,2,0,1,2223
2022-08-20,Wolfsburg,Schalke 04,0,0,0,0,16,9,6,2,12,4,13,10,1,3,0,0,2223
2022-08-20,Union Berlin,RB Leipzig,2,1,2,0,9,16,4,2,1,13,14,8,2,1,0,0,2223
2022-08-20,Stuttgart,Freiburg,0,1,0,1,18,9,5,3,3,1,8,12,4,2,0,0,2223
2022-08-20,Augsburg,Mainz,1,2,1,1,6,14,2,7,3,3,13,19,2,2,0,0,2223
2022-08-20,Dortmund,Werder Bremen,2,3,1,0,5,14,3,7,3,5,13,9,4,1,0,0,2223
2022-08-20,Leverkusen,Hoffenheim,0,3,0,2,14,10,3,5,3,1,15,18,1,4,0,0,2223
2022-08-21,Ein Frankfurt,FC Koln,1,1,0,0,10,6,3,2,5,9,15,11,0,1,0,0,2223
2022-08-21,Bochum,Bayern Munich,0,7,0,4,13,22,7,12,5,5,10,6,1,0,0,0,2223
2022-08-26,Freiburg,Bochum,1,0,0,0,28,15,12,5,2,5,15,13,2,2,0,0,2223
2022-08-27,Bayern Munich,M'gladbach,1,1,0,1,35,5,20,3,14,1,14,7,4,2,0,0,2223
2022-08-27,Schalke 04,Union Berlin,1,6,1,3,12,12,4,7,8,2,9,11,1,0,0,0,2223
2022-08-27,RB Leipzig,Wolfsburg,2,0,1,0,16,9,7,4,8,4,20,15,3,3,0,0,2223
2022-08-27,Hoffenheim,Augsburg,1,0,1,0,24,12,6,1,4,6,14,9,1,1,0,0,2223
2022-08-27,Hertha,Dortmund,0,1,0,1,12,24,3,7,6,10,8,9,1,0,0,0,2223
2022-08-27,Mainz,Leverkusen,0,3,0,3,17,7,3,5,3,4,10,12,1,6,0,2,2223
2022-08-28,FC Koln,Stuttgart,0,0,0,0,6,13,2,5,6,8,14,12,2,2,0,1,2223
2022-08-28,Werder Bremen,Ein Frankfurt,3,4,2,3,10,12,4,7,5,7,17,17,1,3,0,0,2223
2022-09-02,Dortmund,Hoffenheim,1,0,1,0,16,7,5,2,5,8,14,15,3,4,0,0,2223
2022-09-03,Wolfsburg,FC Koln,2,4,1,3,9,18,3,5,5,4,13,14,2,1,0,0,2223
2022-09-03,Ein Frankfurt,RB Leipzig,4,0,2,0,14,5,9,0,4,3,14,10,1,1,0,0,2223
2022-09-03,Union Berlin,Bayern Munich,1,1,1,1,10,21,3,6,5,7,19,7,1,2,0,0,2223
2022-09-03,Bochum,Werder Bremen,0,2,0,0,19,16,6,6,7,3,15,10,2,2,0,0,2223
2022-09-03,Leverkusen,Freiburg,2,3,1,0,15,5,6,3,8,4,15,10,2,2,0,0,2223
2022-09-03,Stuttgart,Schalke 04,1,1,1,1,13,13,3,4,5,7,11,10,4,2,1,0,2223
2022-09-04,Augsburg,Hertha,0,2,0,0,8,16,2,6,5,1,12,15,2,1,0,0,2223
2022-09-04,M'gladbach,Mainz,0,1,0,0,13,12,3,5,4,8,8,15,1,4,1,0,2223
2022-09-09,Werder Bremen,Augsburg,0,1,0,0,11,14,6,5,3,7,12,12,4,5,0,0,2223
2022-09-10,Bayern Munich,Stuttgart,2,2,1,0,18,8,7,3,3,0,11,9,2,5,0,0,2223
2022-09-10,Ein Frankfurt,Wolfsburg,0,1,0,0,11,6,0,3,10,5,16,13,2,4,0,0,2223
2022-09-10,Hertha,Leverkusen,2,2,0,0,17,11,6,5,3,5,15,16,3,1,0,0,2223
2022-09-10,Hoffenheim,Mainz,4,1,0,0,21,10,9,2,7,5,9,13,3,2,0,1,2223
2022-09-10,RB Leipzig,Dortmund,3,0,2,0,14,4,5,0,5,8,12,6,2,1,0,0,2223
2022-09-10,Schalke 04,Bochum,3,1,1,0,20,9,8,2,3,8,12,16,2,3,0,0,2223
2022-09-11,FC Koln,Union Berlin,0,1,0,1,7,12,2,3,7,8,15,12,4,1,1,0,2223
2022-09-11,Freiburg,M'gladbach,0,0,0,0,13,14,8,5,7,6,13,6,1,1,0,0,2223
2022-09-16,Mainz,Hertha,1,1,0,1,12,4,2,2,4,3,12,10,3,5,0,0,2223
2022-09-17,M'gladbach,RB Leipzig,3,0,2,0,21,13,10,6,8,3,14,14,2,2,0,0,2223
2022-09-17,Stuttgart,Ein Frankfurt,1,3,0,1,15,13,2,8,7,4,9,11,2,0,0,0,2223
2022-09-17,Leverkusen,Werder Bremen,1,1,0,0,19,19,7,7,9,6,5,14,2,3,0,0,2223
