data,squadra_casa,squadra_trasferta,gol_casa,gol_trasferta,gol_casa_1T,gol_trasferta_1T,tiri_casa,tiri_trasferta,tiri_porta_casa,tiri_porta_trasferta,corner_casa,corner_trasferta,falli_casa,falli_trasferta,gialli_casa,gialli_trasferta,rossi_casa,rossi_trasferta,stagione
2024-08-23,M'gladbach,Leverkusen,2,3,0,2,14,25,7,9,2,4,11,7,1,0,0,0,2425
2024-08-24,Augsburg,Werder Bremen,2,2,2,1,10,12,3,6,4,2,11,10,3,1,0,0,2425
2024-08-24,Freiburg,Stuttgart,3,1,1,1,15,9,4,2,6,3,7,10,2,1,0,0,2425
2024-08-24,Hoffenheim,Holstein Kiel,3,2,2,0,20,15,8,6,8,6,8,14,2,3,0,1,2425
2024-08-24,Mainz,Union Berlin,1,1,0,0,15,15,3,4,8,9,9,15,1,3,0,0,2425
2024-08-24,RB Leipzig,Bochum,1,0,0,0,12,10,3,4,9,3,9,17,1,3,1,0,2425
2024-08-24,Dortmund,Ein Frankfurt,2,0,0,0,17,7,5,2,7,7,6,3,0,1,0,0,2425
2024-08-25,Wolfsburg,Bayern Munich,2,3,0,1,11,14,2,8,1,7,13,11,2,3,0,0,2425
2024-08-25,St Pauli,Heidenheim,0,2,0,0,11,6,3,3,4,2,10,15,2,3,0,0,2425
2024-08-30,Union Berlin,St Pauli,1,0,1,0,10,8,5,2,5,4,10,11,3,1,0,0,2425
2024-08-31,Bochum,M'gladbach,0,2,0,0,16,15,4,6,3,4,9,10,1,0,0,0,2425
2024-08-31,Ein Frankfurt,Hoffenheim,3,1,2,0,17,10,7,3,1,4,10,10,0,3,0,0,2425
2024-08-31,Holstein Kiel,Wolfsburg,0,2,0,2,12,12,5,4,1,7,17,14,4,7,0,0,2425
2024-08-31,Stuttgart,Mainz,3,3,2,1,28,9,13,7,11,2,6,12,4,2,0,0,2425
2024-08-31,Werder Bremen,Dortmund,0,0,0,0,5,9,1,4,5,6,11,16,2,7,0,1,2425
2024-08-31,Leverkusen,RB Leipzig,2,3,2,1,27,10,10,4,18,2,7,8,3,1,0,0,2425
2024-09-01,Heidenheim,Augsburg,4,0,2,0,17,15,9,1,5,6,15,11,0,3,0,0,2425
2024-09-01,Bayern Munich,Freiburg,2,0,1,0,11,8,4,4,2,4,13,12,1,0,0,0,2425
2024-09-13,Dortmund,Heidenheim,4,2,3,1,13,11,7,4,8,1,13,18,2,2,0,0,2425
2024-09-14,Freiburg,Bochum,2,1,0,1,27,13,9,2,5,6,5,16,0,3,0,0,2425
2024-09-14,Hoffenheim,Leverkusen,1,4,1,2,14,20,5,8,4,12,9,10,2,2,0,0,2425
2024-09-14,M'gladbach,Stuttgart,1,3,1,1,15,12,7,7,6,2,14,12,2,2,0,0,2425
2024-09-14,RB Leipzig,Union Berlin,0,0,0,0,16,11,3,3,6,5,9,19,2,3,0,0,2425
2024-09-14,Wolfsburg,Ein Frankfurt,1,2,0,1,17,15,4,7,5,4,7,18,1,2,0,0,2425
2024-09-14,Holstein Kiel,Bayern Munich,1,6,0,4,5,23,1,13,2,10,12,11,0,1,0,0,2425
2024-09-15,Augsburg,St Pauli,3,1,0,0,18,12,10,3,7,7,12,10,4,3,0,0,2425
