data,squadra_casa,squadra_trasferta,gol_casa,gol_trasferta,gol_casa_1T,gol_trasferta_1T,tiri_casa,tiri_trasferta,tiri_porta_casa,tiri_porta_trasferta,corner_casa,corner_trasferta,falli_casa,falli_trasferta,gialli_casa,gialli_trasferta,rossi_casa,rossi_trasferta,stagione_calc
2022-07-22,Standard,Gent,2,2,1,0,7,25,3,9,2,12,14,13,5,2,1,0,2223
2022-07-23,Charleroi,Eupen,3,1,1,0,12,8,5,7,2,1,10,12,2,1,0,0,2223
2022-07-23,Kortrijk,Oud-Heverlee Leuven,0,2,0,0,15,19,2,6,6,4,14,13,3,0,0,0,2223
2022-07-23,Waregem,Seraing,2,0,0,0,18,2,8,0,7,0,14,17,1,1,0,0,2223
2022-07-23,St Truiden,St. Gilloise,1,1,1,0,11,14,3,3,0,5,9,11,1,4,0,0,2223
2022-07-24,Anderlecht,Oostende,2,0,1,0,13,8,3,1,7,5,9,8,0,4,0,1,2223
2022-07-24,Westerlo,Cercle Brugge,2,0,1,0,18,4,8,0,3,4,12,20,1,5,0,1,2223
2022-07-24,Club Brugge,Genk,3,2,1,1,15,16,5,10,4,3,7,17,1,2,0,0,2223
2022-07-24,Mechelen,Antwerp,0,2,0,2,13,9,2,3,6,2,10,9,1,1,0,0,2223
2022-07-29,St. Gilloise,Charleroi,1,0,0,0,16,5,6,4,8,4,11,5,2,1,0,0,2223
2022-07-30,Cercle Brugge,Anderlecht,1,0,0,0,13,5,5,0,8,1,11,15,0,5,0,1,2223
2022-07-30,Oostende,Mechelen,2,1,2,0,9,19,7,7,6,9,5,14,0,2,1,0,2223
2022-07-30,Oud-Heverlee Leuven,Westerlo,2,0,1,0,11,14,5,0,5,6,11,15,2,3,0,1,2223
2022-07-30,Gent,St Truiden,1,1,1,0,13,11,4,7,3,6,14,12,2,2,0,0,2223
2022-07-31,Seraing,Kortrijk,0,1,0,0,18,7,4,3,3,4,17,9,2,2,1,1,2223
2022-07-31,Genk,Standard,3,1,3,1,16,10,5,2,7,4,15,11,3,4,0,0,2223
2022-07-31,Eupen,Club Brugge,2,1,2,1,13,13,6,5,5,7,18,13,4,2,1,0,2223
2022-07-31,Antwerp,Waregem,1,0,0,0,17,12,7,4,3,6,6,14,2,3,0,1,2223
2022-08-05,Club Brugge,Waregem,1,1,0,0,23,7,7,4,7,4,7,17,2,3,0,0,2223
2022-08-06,Genk,Eupen,4,2,3,1,24,9,14,5,8,2,9,15,0,3,0,1,2223
2022-08-06,Charleroi,Oostende,1,3,0,1,15,9,3,6,9,5,11,7,2,1,0,0,2223
2022-08-06,Kortrijk,St Truiden,0,0,0,0,10,18,4,2,4,6,12,16,0,1,0,0,2223
2022-08-06,Mechelen,St. Gilloise,3,0,1,0,6,6,4,2,3,5,14,12,2,5,0,0,2223
2022-08-07,Standard,Cercle Brugge,2,0,2,0,10,6,7,3,6,6,15,17,1,2,0,0,2223
2022-08-07,Gent,Westerlo,2,1,2,1,15,9,5,3,10,7,11,10,2,0,0,0,2223
2022-08-07,Anderlecht,Seraing,3,1,3,0,12,5,6,2,2,1,14,8,1,1,0,0,2223
2022-08-07,Antwerp,Oud-Heverlee Leuven,4,2,2,1,17,8,4,4,8,7,7,11,2,1,0,0,2223
2022-08-12,Oostende,Gent,1,3,1,2,8,13,2,7,2,6,9,7,3,1,0,0,2223
2022-08-13,St. Gilloise,Kortrijk,2,1,1,0,17,6,9,2,5,1,22,11,0,3,0,0,2223
2022-08-13,Seraing,Charleroi,0,1,0,0,11,13,3,5,4,6,8,13,2,2,0,0,2223
2022-08-13,Westerlo,Standard,4,2,1,0,14,12,5,6,4,6,3,11,2,6,0,1,2223
2022-08-13,Cercle Brugge,Mechelen,0,0,0,0,12,10,2,4,8,8,9,13,1,3,0,0,2223
2022-08-14,St Truiden,Anderlecht,0,3,0,2,12,10,6,7,6,5,13,11,4,3,0,0,2223
2022-08-14,Eupen,Antwerp,0,1,0,0,16,9,5,3,6,3,12,9,4,0,0,0,2223
2022-08-14,Oud-Heverlee Leuven,Club Brugge,0,3,0,2,13,12,2,6,7,5,6,12,3,2,0,0,2223
2022-08-14,Waregem,Genk,1,4,1,3,15,15,6,6,4,8,14,16,4,2,0,0,2223
2022-08-19,Eupen,Seraing,1,3,0,3,12,16,5,7,7,6,17,10,5,3,0,0,2223
2022-08-20,Genk,Cercle Brugge,2,1,1,0,15,9,5,2,7,5,7,19,1,1,0,0,2223
2022-08-20,Oostende,St Truiden,0,1,0,1,12,9,6,3,5,5,12,16,2,4,0,0,2223
2022-08-21,Club Brugge,Kortrijk,2,1,2,1,29,9,12,2,15,2,16,12,3,3,0,1,2223
2022-08-21,Waregem,Charleroi,1,3,1,1,9,15,4,6,2,5,5,7,2,0,0,0,2223
2022-08-21,Standard,Oud-Heverlee Leuven,1,3,0,2,25,7,8,5,10,3,11,15,3,4,0,1,2223
2022-08-21,Mechelen,Westerlo,5,4,1,1,14,14,7,8,4,5,11,7,1,2,0,0,2223
2022-08-26,Charleroi,Club Brugge,1,3,1,2,21,16,6,6,2,5,9,6,1,0,0,0,2223
2022-08-27,Oud-Heverlee Leuven,Oostende,2,1,0,1,11,15,6,5,2,7,9,15,1,3,0,0,2223
2022-08-27,St Truiden,Mechelen,3,1,0,0,10,2,4,2,4,3,10,15,1,3,0,0,2223
2022-08-27,Seraing,Genk,0,4,0,1,10,11,3,4,5,2,10,13,2,3,0,0,2223
2022-08-27,Cercle Brugge,Waregem,1,1,1,1,23,8,6,4,6,4,10,16,1,2,0,0,2223
2022-08-28,Gent,Antwerp,1,2,1,2,15,6,4,4,6,2,12,11,2,3,0,0,2223
2022-08-28,Kortrijk,Standard,0,1,0,0,6,16,2,5,4,9,10,19,4,3,1,0,2223
2022-08-28,St. Gilloise,Anderlecht,2,1,2,1,11,9,6,5,7,7,11,8,3,1,0,0,2223
2022-08-28,Westerlo,Eupen,0,1,0,0,7,15,5,2,5,10,10,15,2,1,0,0,2223
2022-08-31,Antwerp,St. Gilloise,4,2,4,1,10,8,4,3,4,3,11,10,2,0,0,2,2223
2022-09-01,Anderlecht,Gent,0,1,0,0,10,10,1,5,5,3,10,13,2,2,0,0,2223
2022-09-02,Club Brugge,Cercle Brugge,4,0,1,0,8,13,4,2,7,4,10,18,1,2,0,0,2223
2022-09-03,Standard,Oostende,1,0,0,0,15,14,5,5,5,4,10,7,2,2,0,0,2223
2022-09-03,Mechelen,Seraing,2,3,2,1,8,6,5,2,9,3,14,17,2,2,0,0,2223
2022-09-03,Eupen,Kortrijk,0,1,0,0,21,14,5,3,8,4,16,7,5,3,0,0,2223
2022-09-03,Genk,St Truiden,0,0,0,0,17,8,4,3,8,6,13,12,1,3,0,0,2223
2022-09-04,Anderlecht,Oud-Heverlee Leuven,2,2,0,1,21,12,6,4,12,2,11,13,3,1,0,0,2223
2022-09-04,Antwerp,Westerlo,3,0,1,0,12,11,3,3,3,6,10,8,0,2,0,0,2223
2022-09-04,Charleroi,Gent,2,1,1,1,14,9,7,1,4,4,6,6,2,0,0,1,2223
2022-09-04,Waregem,St. Gilloise,1,3,0,1,9,12,1,4,7,3,14,16,3,3,0,1,2223
2022-09-09,St Truiden,Standard,1,2,0,2,22,11,5,2,7,0,12,14,0,3,0,0,2223
2022-09-10,Oud-Heverlee Leuven,Charleroi,3,2,1,1,10,7,4,5,2,1,10,14,1,4,0,0,2223
2022-09-10,Seraing,Club Brugge,0,2,0,0,4,11,1,4,2,1,20,9,4,2,0,0,2223
2022-09-10,Kortrijk,Mechelen,1,4,0,2,12,10,3,5,10,3,7,13,3,5,0,0,2223
2022-09-10,Oostende,Eupen,1,0,0,0,10,13,5,3,3,6,14,19,5,3,1,0,2223
