data,squadra_casa,squadra_trasferta,gol_casa,gol_trasferta,gol_casa_1T,gol_trasferta_1T,tiri_casa,tiri_trasferta,tiri_porta_casa,tiri_porta_trasferta,corner_casa,corner_trasferta,falli_casa,falli_trasferta,gialli_casa,gialli_trasferta,rossi_casa,rossi_trasferta,stagione
2024-07-26,Club Brugge,Mechelen,1,1,0,0,28,5,7,2,7,2,14,8,1,2,0,0,2425
2024-07-27,Anderlecht,St Truiden,1,0,0,0,11,2,3,0,6,0,8,10,0,0,0,0,2425
2024-07-27,Beerschot VA,Oud-Heverlee Leuven,0,0,0,0,1,9,0,2,2,6,15,15,2,1,0,0,2425
2024-07-27,Dender,St. Gilloise,0,0,0,0,3,10,0,3,4,6,12,7,4,2,0,0,2425
2024-07-28,Charleroi,Antwerp,0,1,0,1,12,12,5,4,5,6,15,7,5,2,0,0,2425
2024-07-28,Genk,Standard,0,0,0,0,21,4,3,1,10,1,12,14,0,4,0,0,2425
2024-07-28,Kortrijk,Gent,0,1,0,0,15,8,5,2,8,4,10,7,2,2,0,0,2425
2024-07-28,Westerlo,Cercle Brugge,3,0,1,0,10,12,6,4,6,7,9,12,0,1,0,0,2425
2024-08-02,St. Gilloise,Beerschot VA,3,1,2,0,10,6,4,2,4,6,12,10,2,2,0,0,2425
2024-08-03,Mechelen,Westerlo,2,4,0,2,12,14,4,9,8,4,14,13,4,3,0,0,2425
2024-08-03,Oud-Heverlee Leuven,Genk,3,1,2,0,11,18,5,7,2,10,12,16,2,2,0,0,2425
2024-08-03,St Truiden,Charleroi,1,4,0,4,3,15,2,7,3,3,6,7,1,1,0,0,2425
2024-08-04,Antwerp,Anderlecht,1,2,1,1,17,10,7,4,7,2,17,11,2,0,0,0,2425
2024-08-04,Cercle Brugge,Kortrijk,1,2,1,1,23,11,6,6,14,7,7,13,2,3,0,0,2425
2024-08-04,Standard,Club Brugge,1,0,0,0,10,16,2,6,3,10,10,8,0,2,0,0,2425
2024-08-04,Gent,Dender,1,2,0,1,15,17,3,5,6,3,8,13,0,3,0,0,2425
2024-08-09,Standard,Mechelen,0,0,0,0,17,9,4,2,6,3,7,9,1,1,0,0,2425
2024-08-10,Anderlecht,Oud-Heverlee Leuven,1,1,1,1,19,10,2,4,9,4,10,14,3,2,0,0,2425
2024-08-10,Westerlo,St. Gilloise,4,3,3,1,24,14,9,7,5,6,11,15,5,3,0,0,2425
2024-08-10,Dender,Kortrijk,4,1,2,1,12,9,6,2,3,9,10,8,0,4,0,1,2425
2024-08-11,Genk,Club Brugge,3,2,0,1,14,17,7,7,5,4,10,4,2,2,0,0,2425
2024-08-11,Antwerp,St Truiden,6,1,2,0,11,15,8,7,5,2,4,8,1,0,0,0,2425
2024-08-11,Charleroi,Gent,1,0,0,0,17,7,5,0,4,3,14,6,3,1,0,0,2425
2024-08-11,Cercle Brugge,Beerschot VA,4,1,3,1,22,4,8,3,8,1,8,12,2,2,0,0,2425
2024-08-16,St. Gilloise,Charleroi,1,0,0,0,18,6,4,1,5,4,14,19,1,4,0,0,2425
2024-08-17,Beerschot VA,Genk,3,4,1,3,15,11,7,6,6,3,7,12,3,1,0,1,2425
2024-08-17,St Truiden,Dender,3,3,2,1,12,14,4,7,3,7,10,6,1,1,0,0,2425
2024-08-17,Mechelen,Anderlecht,1,3,1,2,22,12,9,8,9,8,12,12,1,2,0,0,2425
2024-08-18,Gent,Westerlo,4,1,3,1,15,15,8,8,7,5,14,14,2,1,0,0,2425
2024-08-18,Kortrijk,Standard,1,0,0,0,21,6,8,0,13,0,9,13,1,1,0,1,2425
2024-08-18,Club Brugge,Antwerp,1,0,0,0,14,13,5,3,7,8,14,13,1,4,0,1,2425
2024-08-18,Oud-Heverlee Leuven,Cercle Brugge,1,1,1,1,12,11,6,5,6,4,11,13,3,2,1,0,2425
2024-08-24,Westerlo,Oud-Heverlee Leuven,1,1,1,1,15,13,3,6,7,6,12,14,3,2,0,0,2425
2024-08-24,Antwerp,Mechelen,0,1,0,1,19,13,4,4,14,2,9,11,2,2,0,0,2425
2024-08-25,Standard,Beerschot VA,1,0,0,0,12,11,3,2,2,1,7,10,0,2,0,1,2425
2024-08-25,Dender,Club Brugge,1,2,1,2,11,13,5,4,6,1,13,13,3,2,0,0,2425
2024-08-25,St Truiden,St. Gilloise,0,0,0,0,5,13,0,2,3,8,11,11,2,3,1,0,2425
2024-08-25,Charleroi,Kortrijk,1,0,1,0,12,5,3,1,4,2,8,11,1,3,0,0,2425
2024-08-30,Genk,Westerlo,1,0,0,0,15,9,5,0,0,1,4,16,1,5,0,0,2425
2024-08-31,Mechelen,Charleroi,5,2,3,2,11,25,7,6,0,7,9,11,1,3,0,0,2425
2024-08-31,Beerschot VA,Dender,1,2,0,2,15,16,4,4,0,2,17,22,4,1,0,0,2425
2024-08-31,Oud-Heverlee Leuven,Standard,2,0,1,0,13,4,4,0,11,3,10,17,4,4,0,0,2425
2024-09-01,Club Brugge,Cercle Brugge,3,0,2,0,21,11,10,3,4,5,8,8,1,1,0,0,2425
2024-09-01,Gent,Antwerp,1,1,1,1,15,15,8,10,1,5,18,10,4,3,0,0,2425
2024-09-01,St. Gilloise,Anderlecht,0,0,0,0,22,10,6,5,8,4,10,13,3,4,0,0,2425
2024-09-01,Kortrijk,St Truiden,1,1,0,1,15,8,4,3,8,6,8,12,1,1,0,0,2425
2024-09-13,Dender,Standard,0,2,0,1,15,6,3,4,8,0,7,16,2,2,0,0,2425
2024-09-14,Anderlecht,Westerlo,2,2,1,1,25,17,8,8,3,4,11,16,4,5,0,0,2425
2024-09-14,Cercle Brugge,Genk,2,3,2,2,10,24,2,12,6,6,10,9,0,1,0,0,2425
2024-09-14,Kortrijk,Club Brugge,0,3,0,1,6,19,2,6,3,3,20,15,3,2,0,0,2425
2024-09-15,Antwerp,St. Gilloise,2,0,0,0,11,10,4,6,3,6,13,16,2,3,0,1,2425
2024-09-15,St Truiden,Oud-Heverlee Leuven,2,1,1,0,7,21,4,8,8,7,15,11,3,1,0,0,2425
2024-09-15,Charleroi,Beerschot VA,3,0,1,0,24,12,12,4,8,5,15,11,1,0,0,0,2425
2024-09-15,Gent,Mechelen,2,0,2,0,22,12,7,7,7,4,10,11,2,4,0,1,2425
2024-09-17,Anderlecht,Genk,0,2,0,1,18,19,4,9,4,4,11,19,1,2,0,0,2425
2024-09-20,Standard,St. Gilloise,0,0,0,0,8,18,3,7,1,8,10,12,1,1,0,0,2425
2024-09-21,Westerlo,Antwerp,1,2,1,1,18,11,6,6,10,8,10,14,4,1,0,0,2425
2024-09-21,Anderlecht,Charleroi,0,0,0,0,10,9,4,3,6,3,6,12,4,3,0,0,2425
2024-09-21,Beerschot VA,St Truiden,0,3,0,1,14,20,0,11,4,7,4,13,0,1,0,0,2425
2024-09-22,Club Brugge,Gent,2,4,0,2,27,7,9,4,11,2,5,11,3,5,0,0,2425
2024-09-22,Mechelen,Cercle Brugge,2,0,1,0,9,7,5,2,2,4,12,13,2,2,0,0,2425
2024-09-22,Genk,Dender,4,0,1,0,28,5,13,2,8,3,12,7,0,2,0,0,2425
2024-09-22,Oud-Heverlee Leuven,Kortrijk,1,1,0,0,16,9,2,2,10,3,17,11,3,4,0,0,2425
2024-09-26,Cercle Brugge,Gent,2,1,0,0,14,6,5,2,6,5,12,16,2,3,0,0,2425
2024-09-27,Charleroi,Club Brugge,1,1,0,0,14,18,5,4,4,6,10,5,3,1,0,1,2425
2024-09-28,Dender,Anderlecht,1,1,0,1,6,12,4,5,5,6,11,12,3,2,0,0,2425
2024-09-28,Standard,Westerlo,1,2,0,1,16,9,3,4,11,2,9,16,1,6,0,0,2425
2024-09-28,Genk,Mechelen,2,1,0,0,10,14,4,6,6,6,6,8,2,3,0,0,2425
2024-09-29,Antwerp,Beerschot VA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2425
2024-09-29,St. Gilloise,Kortrijk,3,0,1,0,17,4,5,2,6,3,10,10,2,3,0,0,2425
2024-09-29,Gent,Oud-Heverlee Leuven,3,0,2,0,10,12,5,3,4,7,9,10,1,2,0,0,2425
2024-09-29,Cercle Brugge,St Truiden,1,1,1,0,13,9,2,1,9,7,4,11,1,3,0,0,2425
2024-10-04,Westerlo,Beerschot VA,2,2,0,1,25,7,9,3,13,4,10,11,1,3,0,0,2425
2024-10-05,Mechelen,Oud-Heverlee Leuven,5,0,2,0,15,8,6,3,4,6,9,13,1,2,0,1,2425
2024-10-05,Kortrijk,Genk,2,1,2,1,8,18,3,7,3,9,8,10,3,1,0,0,2425
2024-10-05,Dender,Charleroi,1,0,1,0,7,21,2,9,0,7,5,9,2,2,0,0,2425
2024-10-06,St Truiden,Gent,1,1,0,1,30,14,12,3,9,5,7,9,1,3,0,0,2425
2024-10-06,Club Brugge,St. Gilloise,1,1,0,0,13,9,5,3,5,1,4,20,1,6,0,0,2425
2024-10-06,Anderlecht,Standard,3,0,2,0,10,18,7,4,4,7,9,11,2,1,0,0,2425
2024-10-06,Antwerp,Cercle Brugge,3,0,2,0,14,16,5,6,4,7,9,7,1,3,0,0,2425
2024-10-18,Beerschot VA,Anderlecht,2,1,1,0,10,26,2,8,4,9,16,2,4,0,0,0,2425
2024-10-19,Westerlo,Club Brugge,1,2,1,2,13,15,6,8,3,2,15,11,5,1,1,0,2425
2024-10-19,Cercle Brugge,Dender,0,0,0,0,13,4,6,0,5,3,17,13,1,4,0,1,2425
2024-10-19,St. Gilloise,Gent,0,0,0,0,20,11,5,4,5,3,11,16,2,4,0,0,2425
2024-10-20,Genk,St Truiden,3,2,3,1,19,13,7,5,9,1,8,11,1,4,0,2,2425
2024-10-20,Oud-Heverlee Leuven,Antwerp,1,1,0,1,15,7,3,1,10,5,14,14,0,0,0,0,2425
2024-10-20,Standard,Charleroi,2,1,2,0,14,13,9,3,5,5,11,12,2,2,0,0,2425
2024-10-20,Mechelen,Kortrijk,3,0,1,0,14,11,7,1,5,4,11,9,5,1,0,0,2425
2024-10-25,Kortrijk,Beerschot VA,1,0,0,0,10,11,7,4,1,1,8,3,1,4,0,0,2425
2024-10-26,Charleroi,Oud-Heverlee Leuven,0,2,0,2,19,7,4,4,9,5,11,20,0,2,0,0,2425
2024-10-26,Dender,Mechelen,2,5,0,0,8,21,4,9,5,4,11,12,0,0,0,0,2425
2024-10-26,St Truiden,Westerlo,2,0,1,0,20,20,6,6,8,6,11,12,2,3,0,0,2425
2024-10-27,Club Brugge,Anderlecht,2,1,1,0,20,7,9,2,8,2,9,13,0,3,0,0,2425
2024-10-27,Antwerp,Standard,3,0,1,0,15,12,5,3,2,3,16,11,2,2,0,0,2425
2024-10-27,Gent,Genk,0,2,0,0,5,17,0,3,1,6,13,15,2,2,0,0,2425
2024-10-27,St. Gilloise,Cercle Brugge,1,3,1,0,18,7,5,4,8,9,9,12,2,3,0,0,2425
2024-11-01,Westerlo,Dender,2,0,1,0,15,17,8,1,4,5,5,12,1,2,0,0,2425
2024-11-02,Mechelen,St. Gilloise,1,1,0,1,11,8,3,2,8,6,10,17,3,5,0,0,2425
2024-11-02,Oud-Heverlee Leuven,Club Brugge,0,1,0,0,15,13,4,7,8,5,7,16,2,2,0,0,2425
2024-11-02,Standard,St Truiden,2,1,2,0,11,17,4,5,3,4,6,13,1,3,0,0,2425
2024-11-03,Genk,Antwerp,2,0,1,0,16,7,7,0,3,5,12,16,2,2,0,0,2425
2024-11-03,Cercle Brugge,Charleroi,2,0,0,0,18,8,7,1,9,4,9,11,3,3,0,0,2425
2024-11-03,Anderlecht,Kortrijk,4,0,1,0,22,2,6,1,9,2,8,11,0,0,0,0,2425
2024-11-03,Beerschot VA,Gent,0,0,0,0,9,9,4,5,4,3,15,10,3,2,0,0,2425
2024-11-08,St Truiden,Mechelen,2,1,1,0,16,7,5,2,10,2,6,6,2,2,0,0,2425
2024-11-09,Kortrijk,Antwerp,1,2,0,1,14,13,5,7,7,4,9,13,3,2,0,0,2425
2024-11-09,Dender,Oud-Heverlee Leuven,1,1,1,1,11,19,3,2,6,5,12,8,6,2,0,0,2425
2024-11-09,Charleroi,Westerlo,1,0,0,0,22,10,7,5,6,3,14,4,2,0,0,0,2425
2024-11-10,Cercle Brugge,Anderlecht,0,5,0,1,12,10,3,5,5,3,9,15,1,3,1,0,2425
2024-11-10,Gent,Standard,5,0,2,0,22,6,12,5,10,3,11,8,0,1,0,0,2425
2024-11-10,St. Gilloise,Genk,4,0,2,0,18,13,7,4,2,5,15,11,2,4,0,0,2425
2024-11-10,Beerschot VA,Club Brugge,2,2,0,2,6,19,5,8,5,8,13,6,1,3,0,0,2425
