data,squadra_casa,squadra_trasferta,gol_casa,gol_trasferta,gol_casa_1T,gol_trasferta_1T,tiri_casa,tiri_trasferta,tiri_porta_casa,tiri_porta_trasferta,corner_casa,corner_trasferta,falli_casa,falli_trasferta,gialli_casa,gialli_trasferta,rossi_casa,rossi_trasferta,stagione_calc
2021-08-13,Valencia,Getafe,1,0,1,0,4,22,2,4,1,9,24,15,6,3,1,1,2122
2021-08-14,Cadiz,Levante,1,1,0,1,7,12,2,3,2,4,10,16,1,5,0,0,2122
2021-08-14,Mallorca,Betis,1,1,1,0,6,10,2,1,4,3,12,18,1,3,0,0,2122
2021-08-14,Alaves,Real Madrid,1,4,0,0,11,19,4,7,0,4,14,10,1,2,0,0,2122
2021-08-14,Osasuna,Espanol,0,0,0,0,14,10,1,3,4,6,18,12,3,3,0,0,2122
2021-08-15,Celta,Ath Madrid,1,2,0,1,10,13,2,4,2,5,11,9,4,5,1,1,2122
2021-08-15,Barcelona,Sociedad,4,2,2,0,13,11,8,3,5,3,11,18,2,4,0,0,2122
2021-08-15,Sevilla,Vallecano,3,0,1,0,21,4,8,3,4,0,14,7,1,0,0,1,2122
2021-08-16,Elche,Ath Bilbao,0,0,0,0,8,9,2,3,6,8,13,19,2,2,0,0,2122
2021-08-16,Villarreal,Granada,0,0,0,0,14,6,4,1,6,2,19,21,5,1,1,0,2122
2021-08-20,Betis,Cadiz,1,1,1,1,16,8,7,3,4,5,12,10,4,0,0,0,2122
2021-08-21,Alaves,Mallorca,0,1,0,0,9,12,4,2,1,8,14,15,3,3,1,0,2122
2021-08-21,Espanol,Villarreal,0,0,0,0,14,12,3,2,9,7,10,10,3,4,0,0,2122
2021-08-21,Granada,Valencia,1,1,1,0,9,18,2,7,2,6,14,12,4,2,0,0,2122
2021-08-21,Ath Bilbao,Barcelona,1,1,0,0,16,9,7,3,13,2,15,10,1,2,0,1,2122
2021-08-22,Sociedad,Vallecano,1,0,0,0,13,9,8,1,5,4,19,15,3,4,0,0,2122
2021-08-22,Ath Madrid,Elche,1,0,1,0,8,4,4,2,2,1,16,10,2,2,0,0,2122
2021-08-22,Levante,Real Madrid,3,3,0,1,8,19,4,5,4,6,17,7,3,2,1,0,2122
2021-08-23,Getafe,Sevilla,0,1,0,0,12,9,0,3,5,4,18,10,2,2,0,0,2122
2021-08-23,Osasuna,Celta,0,0,0,0,15,4,7,0,1,2,19,8,4,3,0,0,2122
2021-08-27,Valencia,Alaves,3,0,2,0,9,10,4,3,4,4,20,15,1,4,0,0,2122
2021-08-27,Mallorca,Espanol,1,0,1,0,12,8,6,3,3,2,16,17,4,3,0,1,2122
2021-08-28,Celta,Ath Bilbao,0,1,0,1,13,6,0,2,5,4,12,11,2,1,0,0,2122
2021-08-28,Elche,Sevilla,1,1,1,1,7,18,4,5,5,3,6,9,2,0,0,0,2122
2021-08-28,Sociedad,Levante,1,0,1,0,7,6,2,0,2,2,17,13,1,1,0,0,2122
2021-08-28,Betis,Real Madrid,0,1,0,0,11,13,6,3,3,7,15,13,5,3,0,0,2122
