data,squadra_casa,squadra_trasferta,gol_casa,gol_trasferta,gol_casa_1T,gol_trasferta_1T,tiri_casa,tiri_trasferta,tiri_porta_casa,tiri_porta_trasferta,corner_casa,corner_trasferta,falli_casa,falli_trasferta,gialli_casa,gialli_trasferta,rossi_casa,rossi_trasferta,stagione_calc
2022-08-12,Levante,Huesca,0,0,0,0,16,9,2,2,10,2,19,9,3,1,0,0,2223
2022-08-13,Eibar,Tenerife,2,1,0,0,12,6,3,1,6,4,15,6,4,2,0,0,2223
2022-08-13,Mirandes,Sp Gijon,1,1,1,1,15,8,2,4,3,2,16,5,1,2,0,0,2223
2022-08-13,Leganes,Alaves,1,2,0,1,15,9,2,3,3,3,11,14,3,3,0,0,2223
2022-08-13,Las Palmas,Zaragoza,0,0,0,0,12,8,5,3,4,2,11,20,5,3,0,0,2223
2022-08-14,Santander,Villarreal B,0,2,0,0,8,10,5,5,1,3,21,18,1,2,0,0,2223
2022-08-14,Ibiza,Granada,0,2,0,0,11,10,0,3,3,1,8,13,1,2,0,0,2223
2022-08-14,Burgos,Malaga,1,0,0,0,8,11,1,3,4,5,12,15,2,1,0,0,2223
2022-08-15,Oviedo,Andorra,0,1,0,0,10,7,3,4,5,3,13,11,1,1,1,0,2223
2022-08-15,Lugo,Albacete,1,2,1,1,7,19,3,5,2,11,14,7,4,3,0,0,2223
2022-08-15,Cartagena,Ponferradina,2,3,1,1,20,6,3,4,9,2,10,8,3,1,0,0,2223
2022-08-19,Alaves,Mirandes,1,0,1,0,15,12,5,1,3,6,13,12,2,3,0,0,2223
2022-08-19,Villarreal B,Eibar,2,2,2,1,13,14,5,3,2,6,11,15,7,7,1,1,2223
2022-08-20,Sp Gijon,Andorra,4,1,1,0,13,7,6,2,2,4,15,7,0,0,0,0,2223
2022-08-20,Albacete,Burgos,0,0,0,0,13,8,2,0,6,1,19,11,2,2,1,0,2223
2022-08-20,Zaragoza,Levante,0,0,0,0,11,7,6,1,5,7,10,8,0,1,0,0,2223
2022-08-20,Granada,Santander,2,0,0,0,10,5,3,1,5,6,17,16,2,1,0,0,2223
2022-08-21,Oviedo,Leganes,1,0,0,0,11,5,5,0,4,2,16,10,5,3,0,1,2223
2022-08-21,Huesca,Cartagena,2,3,1,1,8,9,1,4,2,4,15,17,3,3,0,0,2223
2022-08-21,Tenerife,Lugo,1,1,1,0,23,7,8,2,3,2,16,14,3,1,1,1,2223
2022-08-22,Ponferradina,Ibiza,2,1,1,1,21,8,7,3,4,4,9,18,2,3,0,0,2223
2022-08-22,Malaga,Las Palmas,0,4,0,1,10,17,5,7,1,3,17,9,1,1,0,0,2223
2022-08-26,Cartagena,Zaragoza,1,0,0,0,7,12,3,4,4,6,14,8,4,6,1,1,2223
2022-08-26,Albacete,Huesca,2,1,1,0,14,11,7,3,8,3,12,11,2,2,0,1,2223
2022-08-27,Mirandes,Malaga,1,3,0,1,17,17,3,6,5,4,8,9,3,4,0,0,2223
2022-08-27,Levante,Tenerife,2,0,1,0,9,7,6,1,3,3,16,11,2,7,0,1,2223
2022-08-27,Sp Gijon,Burgos,0,0,0,0,18,7,2,1,3,4,13,15,1,2,0,0,2223
2022-08-27,Lugo,Leganes,1,0,1,0,10,21,3,7,2,17,15,12,3,1,0,0,2223
2022-08-28,Santander,Oviedo,0,1,0,0,10,10,1,4,7,5,8,24,3,3,0,0,2223
2022-08-28,Eibar,Ponferradina,1,0,1,0,12,9,5,1,10,4,16,10,4,3,0,0,2223
2022-08-28,Ibiza,Alaves,1,1,1,0,16,11,2,3,8,3,15,16,4,2,0,0,2223
