data,squadra_casa,squadra_trasferta,gol_casa,gol_trasferta,gol_casa_1T,gol_trasferta_1T,tiri_casa,tiri_trasferta,tiri_porta_casa,tiri_porta_trasferta,corner_casa,corner_trasferta,falli_casa,falli_trasferta,gialli_casa,gialli_trasferta,rossi_casa,rossi_trasferta,stagione
2024-08-15,Granada,Albacete,1,2,1,2,22,9,10,3,9,5,10,11,6,3,0,0,2425
2024-08-16,Mirandes,Cordoba,1,0,1,0,3,28,2,7,2,9,6,14,1,1,0,0,2425
2024-08-16,Cadiz,Zaragoza,0,4,0,2,13,12,3,9,6,0,14,21,3,2,0,0,2425
2024-08-17,Eibar,Castellon,1,0,1,0,9,11,3,4,3,3,17,9,4,1,0,0,2425
2024-08-17,Ferrol,Malaga,2,2,0,1,14,7,5,2,3,3,16,16,1,3,0,0,2425
2024-08-17,La Coruna,Oviedo,0,1,0,1,17,7,7,4,3,5,9,22,3,4,0,0,2425
2024-08-18,Santander,Almeria,2,2,2,0,12,19,5,9,5,7,18,15,3,2,0,0,2425
2024-08-18,Sp Gijon,Levante,1,2,0,2,11,11,1,5,7,1,15,16,2,2,0,0,2425
2024-08-18,Burgos,Cartagena,3,1,2,1,12,12,6,3,5,5,13,19,2,4,0,0,2425
2024-08-18,Elche,Huesca,0,1,0,0,12,6,3,3,3,1,16,18,3,2,0,0,2425
2024-08-19,Eldense,Tenerife,2,1,0,0,15,13,4,5,7,2,11,17,1,3,0,0,2425
2024-08-23,Santander,Eibar,2,2,0,1,15,16,6,3,7,5,11,14,3,2,0,0,2425
2024-08-23,Huesca,La Coruna,2,1,1,0,10,13,4,4,3,11,13,5,4,0,0,0,2425
2024-08-24,Tenerife,Almeria,0,1,0,0,12,20,5,2,4,8,11,9,0,2,1,0,2425
2024-08-24,Malaga,Mirandes,1,1,0,1,8,7,3,3,2,2,21,23,2,3,0,0,2425
2024-08-24,Sp Gijon,Eldense,0,0,0,0,21,11,4,4,6,6,10,6,2,2,0,0,2425
2024-08-24,Ferrol,Granada,0,1,0,0,18,16,3,7,7,7,12,18,2,3,0,0,2425
2024-08-24,Levante,Cadiz,1,1,0,0,17,16,6,8,6,4,16,16,2,5,0,0,2425
2024-08-25,Albacete,Elche,1,0,0,0,8,18,2,4,0,8,14,8,2,1,0,0,2425
2024-08-25,Castellon,Oviedo,0,0,0,0,20,7,6,1,10,3,14,16,0,2,0,0,2425
2024-08-26,Cartagena,Zaragoza,1,2,1,0,9,17,3,8,5,5,10,14,2,2,0,0,2425
2024-08-26,Cordoba,Burgos,2,2,0,0,11,12,4,5,4,4,17,11,1,2,1,0,2425
