data,squadra_casa,squadra_trasferta,gol_casa,gol_trasferta,gol_casa_1T,gol_trasferta_1T,tiri_casa,tiri_trasferta,tiri_porta_casa,tiri_porta_trasferta,corner_casa,corner_trasferta,falli_casa,falli_trasferta,gialli_casa,gialli_trasferta,rossi_casa,rossi_trasferta,stagione_calc
2020-08-22,Toulouse,Dunkerque,0,1,0,0,14,10,2,5,8,2,16,13,1,1,0,0,2021
2020-08-22,Ajaccio,Chateauroux,0,1,0,0,8,4,1,1,2,2,15,24,0,1,0,0,2021
2020-08-22,Amiens,Nancy,1,0,0,0,13,7,6,0,4,3,18,21,2,3,1,0,2021
2020-08-22,Auxerre,Sochaux,0,2,0,1,3,15,1,4,4,6,18,11,2,1,1,0,2021
2020-08-22,Chambly,Paris FC,0,3,0,1,6,10,0,8,1,2,15,24,2,2,0,1,2021
2020-08-22,Clermont,Caen,0,0,0,0,12,9,3,4,6,7,9,13,0,0,0,0,2021
2020-08-22,Guingamp,Niort,0,1,0,1,11,14,3,4,5,4,17,18,1,2,0,0,2021
2020-08-22,Rodez,Grenoble,1,0,0,0,6,14,4,4,5,3,12,15,3,2,0,0,2021
2020-08-22,Valenciennes,Pau FC,3,0,2,0,14,12,6,4,4,2,14,18,2,2,0,1,2021
2020-08-24,Troyes,Le Havre,2,0,0,0,17,1,8,0,2,1,12,11,1,2,0,2,2021
2020-08-29,Sochaux,Troyes,2,1,1,0,6,16,3,5,7,6,11,15,1,2,0,0,2021
2020-08-29,Pau FC,Rodez,1,1,0,0,14,6,4,3,8,3,17,17,2,3,0,0,2021
2020-08-29,Paris FC,Valenciennes,1,0,0,0,15,7,3,2,5,2,21,12,3,2,0,0,2021
2020-08-29,Niort,Chambly,1,1,0,1,16,3,5,1,4,1,20,18,2,2,0,0,2021
2020-08-29,Le Havre,Amiens,1,0,1,0,3,13,1,5,3,4,11,18,3,4,1,1,2021
2020-08-29,Nancy,Guingamp,2,2,0,0,12,9,4,3,7,8,13,16,4,1,0,0,2021
2020-08-29,Dunkerque,Clermont,1,1,1,0,4,17,2,4,2,10,17,11,1,2,0,0,2021
2020-08-29,Chateauroux,Auxerre,1,2,0,0,13,20,3,8,3,7,11,11,0,1,0,0,2021
2020-08-29,Caen,Ajaccio,1,0,1,0,6,7,3,3,4,1,17,15,0,4,0,0,2021
2020-08-29,Grenoble,Toulouse,5,3,4,2,14,18,8,7,7,3,17,24,1,3,0,0,2021
2020-09-12,Rodez,Caen,0,3,0,1,9,12,1,8,6,3,12,13,2,3,1,0,2021
2020-09-12,Valenciennes,Chateauroux,1,0,0,0,16,9,4,1,6,3,16,19,1,3,0,1,2021
2020-09-12,Troyes,Pau FC,2,0,1,0,14,9,7,1,10,0,15,19,2,4,0,1,2021
2020-09-12,Niort,Nancy,1,0,0,0,12,9,4,2,0,4,21,17,4,2,0,0,2021
2020-09-12,Amiens,Paris FC,1,2,0,1,9,9,1,6,3,4,19,23,3,3,0,0,2021
2020-09-12,Auxerre,Clermont,0,1,0,0,8,14,1,3,4,3,16,8,0,2,0,0,2021
2020-09-12,Guingamp,Le Havre,1,3,0,2,20,4,4,3,5,2,17,18,3,5,0,0,2021
2020-09-12,Chambly,Grenoble,1,2,1,0,7,12,3,3,3,5,17,12,0,1,0,0,2021
2020-09-14,Toulouse,Sochaux,0,0,0,0,15,5,3,1,3,7,20,13,3,5,0,0,2021
2020-09-19,Sochaux,Rodez,2,2,0,2,15,8,5,2,6,1,15,15,2,1,0,0,2021
2020-09-19,Pau FC,Guingamp,0,1,0,0,11,11,1,4,5,8,12,8,6,1,0,0,2021
2020-09-19,Paris FC,Nancy,0,2,0,0,13,10,3,5,6,0,16,19,2,4,0,0,2021
2020-09-19,Le Havre,Niort,0,1,0,0,12,14,4,3,5,3,16,20,2,3,1,0,2021
2020-09-19,Grenoble,Ajaccio,2,0,1,0,8,11,2,3,1,4,13,12,0,0,0,0,2021
2020-09-19,Chateauroux,Amiens,0,0,0,0,2,10,1,3,0,8,15,24,0,3,1,0,2021
2020-09-19,Caen,Chambly,0,0,0,0,6,9,1,2,3,4,19,17,5,3,1,0,2021
2020-09-19,Clermont,Toulouse,1,1,1,0,12,11,4,5,8,1,15,19,2,1,1,1,2021
2020-09-19,Dunkerque,Valenciennes,1,0,0,0,6,6,2,2,2,6,14,17,1,4,0,0,2021
2020-09-21,Auxerre,Troyes,2,1,1,0,9,19,3,5,3,6,19,12,1,3,0,0,2021
2020-09-26,Nancy,Le Havre,0,1,0,0,11,11,2,3,5,3,18,14,2,2,0,0,2021
2020-09-26,Valenciennes,Caen,1,0,1,0,7,10,2,1,6,5,17,19,4,2,0,0,2021
2020-09-26,Rodez,Dunkerque,2,1,1,0,13,6,7,2,1,2,22,17,3,2,0,0,2021
2020-09-26,Guingamp,Grenoble,1,0,1,0,11,9,3,2,4,3,12,12,1,2,0,0,2021
