data,squadra_casa,squadra_trasferta,gol_casa,gol_trasferta,gol_casa_1T,gol_trasferta_1T,tiri_casa,tiri_trasferta,tiri_porta_casa,tiri_porta_trasferta,corner_casa,corner_trasferta,falli_casa,falli_trasferta,gialli_casa,gialli_trasferta,rossi_casa,rossi_trasferta,stagione
2023-08-05,St Etienne,Grenoble,0,1,0,0,17,13,4,5,6,1,14,12,2,1,0,0,2324
2023-08-05,Ajaccio,Rodez,1,1,1,1,19,8,6,3,7,4,9,12,1,3,0,0,2324
2023-08-05,Amiens,Quevilly Rouen,1,0,0,0,5,6,2,2,9,2,12,17,1,1,0,0,2324
2023-08-05,Annecy,Guingamp,1,4,1,0,11,15,4,8,3,2,13,12,2,0,0,0,2324
2023-08-05,Concarneau,Bastia,0,0,0,0,13,8,3,1,5,6,7,17,0,3,0,0,2324
2023-08-05,Dunkerque,Troyes,2,2,1,2,16,14,5,7,4,4,16,6,2,1,0,0,2324
2023-08-05,Laval,Angers,1,0,0,0,13,6,5,2,3,4,7,11,1,3,0,0,2324
2023-08-05,Paris FC,Caen,0,2,0,1,2,12,0,5,2,6,12,13,2,2,1,0,2324
2023-08-05,Valenciennes,Auxerre,1,4,1,1,12,19,5,6,6,7,10,15,1,1,0,0,2324
2023-08-07,Pau FC,Bordeaux,3,0,2,0,7,15,4,6,2,8,21,8,2,0,0,0,2324
2023-08-12,Troyes,Laval,3,1,2,0,9,19,6,3,5,7,5,20,1,1,0,0,2324
2023-08-12,Quevilly Rouen,Ajaccio,0,1,0,1,4,3,2,3,3,0,19,13,2,1,0,0,2324
2023-08-12,Guingamp,Dunkerque,0,1,0,0,16,9,3,5,7,1,13,18,4,3,0,0,2324
2023-08-12,Grenoble,Paris FC,2,0,0,0,11,3,7,3,5,6,9,10,1,2,0,1,2324
2023-08-12,Angers,Annecy,0,0,0,0,12,5,1,2,8,3,17,13,2,2,0,0,2324
2023-08-12,Bastia,Valenciennes,3,0,1,0,15,3,7,1,5,5,12,13,0,2,0,0,2324
2023-08-12,Auxerre,Amiens,0,1,0,0,15,7,0,1,6,5,8,11,0,1,0,0,2324
2023-08-12,Rodez,St Etienne,2,1,1,0,21,15,7,8,10,2,7,11,0,2,0,0,2324
2023-08-12,Caen,Pau FC,2,0,2,0,23,7,5,2,8,3,10,16,0,2,0,1,2324
2023-08-14,Bordeaux,Concarneau,1,0,0,0,16,10,5,4,8,5,16,10,2,1,0,0,2324
2023-08-19,Pau FC,Paris FC,2,0,1,0,9,14,3,5,1,2,13,10,2,1,0,0,2324
2023-08-19,Valenciennes,Guingamp,0,0,0,0,9,6,3,3,3,7,12,15,3,2,0,0,2324
2023-08-19,St Etienne,Quevilly Rouen,2,1,2,0,5,10,2,1,3,5,8,18,0,3,0,0,2324
2023-08-19,Laval,Rodez,1,0,0,0,9,7,4,1,2,3,11,13,2,0,0,0,2324
