data,squadra_casa,squadra_trasferta,gol_casa,gol_trasferta,gol_casa_1T,gol_trasferta_1T,tiri_casa,tiri_trasferta,tiri_porta_casa,tiri_porta_trasferta,corner_casa,corner_trasferta,falli_casa,falli_trasferta,gialli_casa,gialli_trasferta,rossi_casa,rossi_trasferta,stagione_calc
2021-08-21,Inter,Genoa,4,0,2,0,17,11,8,5,8,2,18,7,1,2,0,0,2122
2021-08-21,Verona,Sassuolo,2,3,0,1,12,15,4,8,7,4,11,12,3,2,1,0,2122
2021-08-21,Empoli,Lazio,1,3,1,3,16,8,5,5,5,3,13,10,2,1,0,0,2122
2021-08-21,Torino,Atalanta,1,2,0,1,19,6,8,2,5,1,17,13,2,2,0,0,2122
2021-08-22,Bologna,Salernitana,3,2,0,0,18,8,7,4,9,4,13,15,6,3,2,1,2122
2021-08-22,Udinese,Juventus,2,2,0,2,11,11,6,4,3,3,11,12,1,3,0,0,2122
2021-08-22,Napoli,Venezia,2,0,0,0,13,8,4,4,2,2,5,22,1,7,1,0,2122
2021-08-22,Roma,Fiorentina,3,1,1,0,11,11,6,8,4,4,12,14,3,2,1,1,2122
2021-08-23,Cagliari,Spezia,2,2,0,1,16,13,10,6,11,4,17,17,2,3,0,0,2122
2021-08-23,Sampdoria,Milan,0,1,0,1,11,10,3,4,8,3,16,14,3,1,0,0,2122
2021-08-27,Udinese,Venezia,3,0,1,0,18,8,10,3,7,2,11,8,2,3,0,0,2122
2021-08-27,Verona,Inter,1,3,1,0,4,15,1,8,6,4,13,12,2,2,0,0,2122
2021-08-28,Juventus,Empoli,0,1,0,1,20,9,6,3,8,9,11,6,2,3,0,0,2122
2021-08-28,Fiorentina,Torino,2,1,1,0,10,4,7,1,3,3,13,28,4,5,0,0,2122
2021-08-28,Atalanta,Bologna,0,0,0,0,21,3,3,1,5,5,11,14,2,5,0,0,2122
2021-08-28,Lazio,Spezia,6,1,3,1,18,5,10,2,4,2,12,9,0,2,0,1,2122
2021-08-29,Genoa,Napoli,1,2,0,1,7,12,3,8,4,5,17,15,2,3,0,0,2122
2021-08-29,Sassuolo,Sampdoria,0,0,0,0,19,13,6,3,8,6,9,14,2,2,0,0,2122
2021-08-29,Milan,Cagliari,4,1,4,1,17,6,5,2,8,3,12,11,1,5,0,0,2122
2021-08-29,Salernitana,Roma,0,4,0,0,4,21,0,10,1,10,12,11,2,2,0,0,2122
2021-09-11,Empoli,Venezia,1,2,0,1,17,10,6,3,8,2,12,21,2,5,0,0,2122
2021-09-11,Napoli,Juventus,2,1,0,1,24,7,7,4,13,1,14,16,2,1,0,0,2122
2021-09-11,Atalanta,Fiorentina,1,2,0,1,10,7,5,2,10,3,14,19,5,4,0,0,2122
2021-09-12,Milan,Lazio,2,0,1,0,17,7,3,5,5,1,9,18,1,4,0,0,2122
2021-09-12,Roma,Sassuolo,2,1,1,0,19,13,9,7,4,6,7,11,2,1,0,0,2122
2021-09-12,Torino,Salernitana,4,0,1,0,15,7,7,2,7,4,10,11,0,2,0,0,2122
2021-09-12,Sampdoria,Inter,2,2,1,2,12,8,3,3,4,4,12,13,4,4,0,0,2122
2021-09-12,Cagliari,Genoa,2,3,1,0,8,9,3,3,2,6,15,15,2,3,0,0,2122
2021-09-12,Spezia,Udinese,0,1,0,0,20,8,5,4,4,5,12,14,1,2,0,0,2122
2021-09-13,Bologna,Verona,1,0,0,0,13,5,4,1,6,2,14,21,1,3,0,0,2122
2021-09-17,Sassuolo,Torino,0,1,0,0,9,18,1,6,6,3,7,20,0,4,0,0,2122
2021-09-18,Genoa,Fiorentina,1,2,0,0,9,16,3,5,1,11,13,16,4,4,0,0,2122
2021-09-18,Inter,Bologna,6,1,3,0,19,7,11,2,5,1,10,9,0,3,0,0,2122
2021-09-18,Salernitana,Atalanta,0,1,0,0,11,10,1,3,6,4,21,13,4,4,0,0,2122
2021-09-19,Juventus,Milan,1,1,1,0,9,13,4,3,4,4,13,16,1,1,0,0,2122
2021-09-19,Lazio,Cagliari,2,2,1,0,28,10,10,3,10,1,3,11,1,3,0,1,2122
2021-09-19,Verona,Roma,3,2,0,1,10,15,6,2,3,8,14,13,4,2,0,0,2122
2021-09-19,Empoli,Sampdoria,0,3,0,1,15,14,4,7,8,8,10,10,2,2,0,0,2122
2021-09-19,Venezia,Spezia,1,2,0,1,14,12,3,3,3,10,13,10,4,1,0,0,2122
2021-09-20,Udinese,Napoli,0,4,0,2,9,18,1,8,2,5,10,11,2,1,0,0,2122
2021-09-21,Bologna,Genoa,2,2,0,0,17,11,6,6,7,2,14,15,3,4,0,0,2122
2021-09-21,Atalanta,Sassuolo,2,1,2,1,14,8,5,1,5,5,17,16,2,2,0,0,2122
2021-09-21,Fiorentina,Inter,1,3,1,0,14,17,6,5,4,8,11,15,2,3,1,0,2122
2021-09-22,Milan,Venezia,2,0,0,0,15,8,4,2,4,4,12,13,0,2,0,0,2122
2021-09-22,Salernitana,Verona,2,2,1,2,15,10,4,5,4,5,13,17,2,3,0,0,2122
2021-09-22,Spezia,Juventus,2,3,1,1,10,26,5,9,5,15,14,10,2,1,0,0,2122
2021-09-22,Cagliari,Empoli,0,2,0,1,16,17,1,5,7,4,15,13,2,1,0,0,2122
2021-09-23,Roma,Udinese,1,0,1,0,12,8,2,3,6,6,22,8,4,1,1,0,2122
2021-09-23,Sampdoria,Napoli,0,4,0,2,13,17,5,9,5,5,10,7,2,1,0,0,2122
2021-09-23,Torino,Lazio,1,1,0,0,16,6,5,2,6,5,19,9,3,3,0,0,2122
2021-09-25,Spezia,Milan,1,2,0,0,8,18,2,5,2,4,12,11,2,2,0,0,2122
2021-09-25,Inter,Atalanta,2,2,1,2,19,23,6,5,4,11,13,11,3,5,0,0,2122
2021-09-25,Genoa,Verona,3,3,0,1,10,12,4,7,3,2,13,13,3,2,0,0,2122
2021-09-26,Juventus,Sampdoria,3,2,2,1,16,5,6,3,4,2,22,16,4,3,0,0,2122
2021-09-26,Empoli,Bologna,4,2,2,1,15,20,7,5,2,10,15,22,2,2,0,0,2122
2021-09-26,Sassuolo,Salernitana,1,0,0,0,17,12,6,5,4,8,16,16,3,3,0,0,2122
2021-09-26,Udinese,Fiorentina,0,1,0,1,12,8,5,2,4,1,14,11,2,3,0,0,2122
2021-09-26,Lazio,Roma,3,2,2,1,9,20,4,8,1,9,11,13,2,4,0,0,2122
2021-09-26,Napoli,Cagliari,2,0,1,0,18,6,7,1,6,4,12,10,2,1,0,0,2122
2021-09-27,Venezia,Torino,1,1,0,0,8,8,2,3,4,1,9,18,1,4,0,1,2122
2021-10-01,Cagliari,Venezia,1,1,1,0,9,10,3,4,2,4,15,19,2,5,0,0,2122
2021-10-02,Salernitana,Genoa,1,0,0,0,10,19,4,4,10,8,15,17,2,2,0,0,2122
2021-10-02,Torino,Juventus,0,1,0,0,12,10,2,3,4,6,20,14,3,1,0,0,2122
2021-10-02,Sassuolo,Inter,1,2,1,0,12,18,8,3,6,8,10,19,4,2,0,0,2122
2021-10-03,Bologna,Lazio,3,0,2,0,10,8,3,4,3,3,5,16,2,5,0,1,2122
2021-10-03,Sampdoria,Udinese,3,3,1,2,13,18,3,7,6,8,12,15,4,5,0,0,2122
2021-10-03,Verona,Spezia,4,0,3,0,6,12,4,4,1,5,15,11,1,1,0,1,2122
2021-10-03,Fiorentina,Napoli,1,2,1,1,10,12,3,6,8,2,16,13,3,3,0,0,2122
2021-10-03,Roma,Empoli,2,0,1,0,18,11,7,3,5,5,11,16,2,3,0,0,2122
2021-10-03,Atalanta,Milan,2,3,0,2,17,13,6,7,9,5,13,14,1,4,0,0,2122
2021-10-16,Milan,Verona,3,2,0,2,17,10,4,5,5,4,11,20,1,4,0,0,2122
2021-10-16,Spezia,Salernitana,2,1,0,1,18,15,5,4,10,2,13,15,2,3,0,0,2122
2021-10-16,Lazio,Inter,3,1,0,1,19,12,8,4,7,3,12,12,3,6,1,0,2122
2021-10-17,Cagliari,Sampdoria,3,1,1,0,12,17,5,3,5,9,14,18,4,2,0,0,2122
2021-10-17,Empoli,Atalanta,1,4,1,2,13,22,6,7,5,4,10,15,3,2,0,0,2122
2021-10-17,Genoa,Sassuolo,2,2,1,2,19,15,4,5,6,1,11,18,2,4,0,0,2122
2021-10-17,Udinese,Bologna,1,1,0,0,10,23,2,11,2,8,15,11,3,7,1,0,2122
2021-10-17,Napoli,Torino,1,0,0,0,10,11,3,3,3,4,6,20,2,4,0,0,2122
2021-10-17,Juventus,Roma,1,0,1,0,6,14,2,4,0,6,18,13,3,5,0,0,2122
2021-10-18,Venezia,Fiorentina,1,0,1,0,4,10,2,2,2,5,17,11,2,5,0,1,2122
2021-10-22,Torino,Genoa,3,2,2,0,17,14,6,4,2,4,20,18,2,3,0,0,2122
2021-10-22,Sampdoria,Spezia,2,1,2,0,6,17,2,7,0,8,9,9,3,1,0,0,2122
2021-10-23,Bologna,Milan,2,4,0,2,9,15,4,7,4,1,7,15,1,3,2,0,2122
2021-10-23,Salernitana,Empoli,2,4,0,4,12,11,6,6,7,1,11,16,1,3,0,0,2122
2021-10-23,Sassuolo,Venezia,3,1,1,1,14,8,7,3,5,4,10,15,1,2,0,0,2122
2021-10-24,Roma,Napoli,0,0,0,0,13,11,1,3,7,4,14,10,4,1,0,0,2122
2021-10-24,Atalanta,Udinese,1,1,0,0,8,9,3,3,6,3,15,15,2,2,0,0,2122
2021-10-24,Fiorentina,Cagliari,3,0,2,0,21,3,5,1,4,1,11,15,0,2,0,0,2122
2021-10-24,Verona,Lazio,4,1,2,0,16,9,7,4,3,4,12,15,2,2,0,0,2122
2021-10-24,Inter,Juventus,1,1,1,0,10,16,2,4,5,2,14,16,2,2,0,0,2122
2021-10-26,Venezia,Salernitana,1,2,1,0,8,21,4,7,4,5,17,13,3,3,1,0,2122
2021-10-26,Spezia,Genoa,1,1,0,0,13,9,3,2,3,3,12,16,2,4,0,0,2122
2021-10-26,Milan,Torino,1,0,1,0,10,12,2,2,2,5,14,21,3,3,0,0,2122
2021-10-27,Empoli,Inter,0,2,0,1,9,21,3,9,5,6,20,15,1,3,1,0,2122
2021-10-27,Lazio,Fiorentina,1,0,0,0,5,9,2,1,3,6,16,11,3,3,0,0,2122
2021-10-27,Cagliari,Roma,1,2,0,0,7,22,5,3,2,10,16,16,3,4,0,0,2122
2021-10-27,Udinese,Verona,1,1,1,0,16,5,5,2,7,4,13,12,1,2,0,0,2122
2021-10-27,Sampdoria,Atalanta,1,3,1,2,8,13,3,4,3,3,15,19,4,3,0,0,2122
2021-10-27,Juventus,Sassuolo,1,2,0,1,14,8,3,4,4,4,21,15,1,5,0,0,2122
2021-10-28,Napoli,Bologna,3,0,2,0,18,8,6,1,4,2,20,5,1,1,0,0,2122
2021-10-30,Atalanta,Lazio,2,2,1,1,17,8,3,5,6,2,13,13,1,3,0,0,2122
2021-10-30,Verona,Juventus,2,1,2,0,12,15,5,4,4,1,22,8,4,3,0,0,2122
2021-10-30,Torino,Sampdoria,3,0,1,0,16,5,6,1,4,5,19,8,2,4,0,1,2122
2021-10-31,Salernitana,Napoli,0,1,0,0,9,18,3,3,4,4,11,13,0,2,1,1,2122
2021-10-31,Sassuolo,Empoli,1,2,1,0,15,14,5,6,4,6,16,12,4,2,0,0,2122
2021-10-31,Roma,Milan,1,2,0,1,24,8,6,3,6,2,19,13,4,7,0,1,2122
2021-10-31,Fiorentina,Spezia,3,0,1,0,27,3,12,0,7,4,9,20,4,3,0,0,2122
2021-10-31,Inter,Udinese,2,0,0,0,15,9,6,5,6,4,9,11,0,2,0,0,2122
2021-10-31,Genoa,Venezia,0,0,0,0,19,6,4,2,12,4,13,13,1,3,0,0,2122
2021-11-01,Bologna,Cagliari,2,0,0,0,8,9,3,2,5,2,11,9,3,2,0,1,2122
2021-11-05,Empoli,Genoa,2,2,0,1,10,15,2,7,4,5,8,21,0,4,0,0,2122
2021-11-06,Spezia,Torino,1,0,0,0,7,9,3,1,2,3,15,17,3,3,0,0,2122
2021-11-06,Juventus,Fiorentina,1,0,0,0,13,6,3,1,5,5,15,15,2,4,0,1,2122
2021-11-06,Cagliari,Atalanta,1,2,1,2,7,21,1,8,2,7,11,9,1,1,0,0,2122
2021-11-07,Milan,Inter,1,1,1,1,16,13,4,3,4,8,16,11,1,0,0,0,2122
2021-11-07,Venezia,Roma,3,2,1,2,13,27,7,10,4,11,12,18,2,2,0,0,2122
2021-11-07,Sampdoria,Bologna,1,2,0,0,10,14,4,7,6,5,14,12,4,1,0,0,2122
2021-11-07,Udinese,Sassuolo,3,2,2,2,13,10,2,4,1,5,14,15,3,3,1,0,2122
2021-11-07,Lazio,Salernitana,3,0,2,0,16,5,5,0,5,1,7,14,1,2,0,0,2122
2021-11-07,Napoli,Verona,1,1,1,1,16,11,1,3,3,2,16,19,2,7,0,2,2122
2021-11-20,Fiorentina,Milan,4,3,2,0,9,17,5,7,5,6,6,10,1,1,0,0,2122
2021-11-20,Lazio,Juventus,0,2,0,1,8,11,1,5,3,2,12,15,3,1,0,0,2122
2021-11-20,Atalanta,Spezia,5,2,3,1,18,10,9,5,0,6,10,11,2,3,0,0,2122
2021-11-21,Sassuolo,Cagliari,2,2,1,1,20,11,4,4,6,5,13,10,1,2,0,0,2122
2021-11-21,Bologna,Venezia,0,1,0,0,22,8,6,6,17,0,6,9,0,3,0,0,2122
2021-11-21,Salernitana,Sampdoria,0,2,0,2,18,13,2,6,13,3,10,19,0,3,0,0,2122
2021-11-21,Inter,Napoli,3,2,2,1,17,9,7,3,4,1,15,16,4,3,0,0,2122
2021-11-21,Genoa,Roma,0,2,0,0,1,19,1,4,1,2,13,13,3,2,0,0,2122
2021-11-22,Verona,Empoli,2,1,0,0,22,9,5,4,1,3,7,13,1,3,0,0,2122
2021-11-22,Torino,Udinese,2,1,1,0,14,18,4,7,4,7,19,17,1,3,0,0,2122
2021-11-26,Cagliari,Salernitana,1,1,0,0,19,8,3,2,7,6,13,10,3,1,0,0,2122
2021-11-27,Venezia,Inter,0,2,0,1,6,27,1,11,3,9,9,4,2,0,0,0,2122
2021-11-27,Juventus,Atalanta,0,1,0,1,15,7,2,1,6,4,13,20,4,5,0,0,2122
2021-11-27,Empoli,Fiorentina,2,1,0,0,17,16,5,7,8,5,15,10,1,1,0,0,2122
2021-11-27,Sampdoria,Verona,3,1,0,1,15,14,5,3,4,5,13,16,4,1,0,0,2122
2021-11-28,Udinese,Genoa,0,0,0,0,17,8,3,2,8,1,18,11,3,4,0,0,2122
2021-11-28,Milan,Sassuolo,1,3,1,2,15,15,2,5,7,6,15,7,4,2,1,0,2122
2021-11-28,Spezia,Bologna,0,1,0,0,13,17,5,5,3,6,16,12,3,1,0,0,2122
2021-11-28,Roma,Torino,1,0,1,0,10,17,2,3,2,9,7,11,2,1,0,0,2122
2021-11-28,Napoli,Lazio,4,0,3,0,18,6,8,2,1,3,9,14,2,4,0,0,2122
2021-11-30,Atalanta,Venezia,4,0,2,0,19,8,6,4,4,2,11,9,0,1,0,0,2122
2021-11-30,Fiorentina,Sampdoria,3,1,3,1,17,11,7,4,3,6,6,16,0,3,0,0,2122
2021-11-30,Salernitana,Juventus,0,2,0,1,4,18,0,7,4,4,14,9,1,1,0,0,2122
2021-11-30,Verona,Cagliari,0,0,0,0,15,12,6,4,11,1,15,12,3,2,0,0,2122
2021-12-01,Sassuolo,Napoli,2,2,0,0,9,9,7,4,5,4,10,19,4,2,0,0,2122
2021-12-01,Genoa,Milan,0,3,0,2,10,18,3,5,2,6,11,16,2,1,0,0,2122
2021-12-01,Bologna,Roma,1,0,1,0,6,13,3,5,3,3,9,18,3,4,0,0,2122
2021-12-01,Inter,Spezia,2,0,1,0,31,7,11,4,11,1,18,10,1,2,0,0,2122
2021-12-02,Torino,Empoli,2,2,2,1,10,16,3,5,1,11,9,15,1,3,1,0,2122
2021-12-02,Lazio,Udinese,4,4,1,3,13,12,5,5,5,4,11,11,3,5,1,2,2122
2021-12-04,Milan,Salernitana,2,0,2,0,22,7,8,2,9,5,11,9,1,2,0,0,2122
2021-12-04,Roma,Inter,0,3,0,3,9,10,1,4,4,4,9,6,3,1,0,0,2122
2021-12-04,Napoli,Atalanta,2,3,1,1,15,21,4,7,6,7,16,18,2,3,0,0,2122
2021-12-05,Juventus,Genoa,2,0,1,0,27,0,12,0,5,1,15,7,3,1,0,0,2122
2021-12-05,Sampdoria,Lazio,1,3,0,3,18,6,5,5,7,0,13,9,4,3,0,1,2122
2021-12-05,Venezia,Verona,3,4,3,0,9,16,5,6,1,6,13,14,2,2,1,0,2122
2021-12-05,Spezia,Sassuolo,2,2,1,0,9,20,4,5,2,5,11,9,4,3,0,0,2122
2021-12-05,Bologna,Fiorentina,2,3,1,1,8,6,3,3,0,2,12,15,3,3,0,0,2122
2021-12-06,Empoli,Udinese,3,1,0,1,22,19,9,8,8,6,12,18,4,3,0,0,2122
2021-12-06,Cagliari,Torino,1,1,0,1,15,8,2,3,5,2,12,24,2,4,0,0,2122
2021-12-10,Genoa,Sampdoria,1,3,0,1,12,14,2,6,8,3,15,17,2,2,0,0,2122
2021-12-11,Fiorentina,Salernitana,4,0,1,0,17,11,9,6,1,3,9,11,1,1,0,0,2122
2021-12-11,Venezia,Juventus,1,1,0,1,13,20,4,6,3,11,20,10,4,2,0,0,2122
2021-12-11,Udinese,Milan,1,1,1,0,11,12,6,1,3,5,17,10,2,2,1,0,2122
2021-12-12,Napoli,Empoli,0,1,0,0,30,12,6,5,10,3,8,11,0,1,0,0,2122
2021-12-12,Sassuolo,Lazio,2,1,0,1,17,6,6,2,6,0,9,11,1,2,1,0,2122
2021-12-12,Torino,Bologna,2,1,1,0,16,8,7,5,5,0,16,18,2,4,0,0,2122
2021-12-12,Verona,Atalanta,1,2,1,1,19,14,4,6,6,6,12,10,2,1,0,0,2122
2021-12-12,Inter,Cagliari,4,0,1,0,24,5,15,2,9,0,9,13,1,2,0,0,2122
2021-12-13,Roma,Spezia,2,0,1,0,12,8,6,2,9,4,13,7,4,1,1,0,2122
2021-12-17,Lazio,Genoa,3,1,1,0,11,4,5,2,5,2,9,8,0,3,0,0,2122
2021-12-17,Salernitana,Inter,0,5,0,2,10,23,2,8,3,10,10,10,1,2,0,0,2122
2021-12-18,Atalanta,Roma,1,4,1,2,17,8,6,5,10,0,11,15,1,3,0,0,2122
2021-12-18,Bologna,Juventus,0,2,0,1,11,11,3,7,8,4,7,19,1,1,0,0,2122
2021-12-18,Cagliari,Udinese,0,4,0,2,5,10,2,5,4,2,12,14,4,2,1,0,2122
2021-12-19,Torino,Verona,1,0,1,0,8,8,1,2,5,3,15,7,1,2,0,1,2122
2021-12-19,Sampdoria,Venezia,1,1,1,0,18,12,8,1,4,3,8,17,2,1,0,0,2122
2021-12-19,Milan,Napoli,0,1,0,1,12,11,2,2,5,5,14,18,0,2,0,0,2122
2021-12-19,Fiorentina,Sassuolo,2,2,0,2,23,8,8,4,9,3,7,14,3,5,1,0,2122
2021-12-19,Spezia,Empoli,1,1,0,0,9,22,2,6,3,5,20,9,3,2,0,0,2122
2021-12-21,Genoa,Atalanta,0,0,0,0,1,17,0,3,3,8,13,15,2,1,0,0,2122
2021-12-21,Juventus,Cagliari,2,0,1,0,15,6,4,1,7,1,16,12,0,3,0,0,2122
2021-12-22,Empoli,Milan,2,4,1,2,16,18,5,8,7,3,18,10,1,2,0,0,2122
2021-12-22,Sassuolo,Bologna,0,3,0,2,13,9,5,5,5,5,13,12,1,3,0,0,2122
2021-12-22,Venezia,Lazio,1,3,1,1,11,7,2,4,4,4,11,10,3,3,1,0,2122
2021-12-22,Inter,Torino,1,0,1,0,14,12,3,3,7,4,10,17,1,0,0,0,2122
2021-12-22,Roma,Sampdoria,1,1,0,0,15,10,4,2,10,2,6,8,0,3,0,0,2122
2021-12-22,Verona,Fiorentina,1,1,1,0,7,11,2,1,3,8,15,5,2,1,0,0,2122
2021-12-22,Napoli,Spezia,0,1,0,1,25,8,7,0,10,5,14,12,2,3,0,0,2122
2022-01-06,Milan,Roma,3,1,2,1,19,11,5,5,3,9,6,20,2,6,0,2,2122
2022-01-06,Juventus,Napoli,1,1,0,1,22,16,5,4,4,3,8,11,2,1,0,0,2122
2022-01-06,Sassuolo,Genoa,1,1,0,1,28,4,7,1,7,4,8,11,3,0,0,0,2122
2022-01-06,Sampdoria,Cagliari,1,2,1,0,4,15,1,7,0,5,12,17,1,3,1,0,2122
2022-01-06,Lazio,Empoli,3,3,1,2,23,11,10,4,9,2,13,11,4,4,0,0,2122
2022-01-06,Spezia,Verona,1,2,0,0,9,22,3,5,6,7,14,11,3,2,1,0,2122
2022-01-09,Empoli,Sassuolo,1,5,1,2,15,25,4,14,5,5,10,15,2,3,1,0,2122
2022-01-09,Venezia,Milan,0,3,0,1,9,18,3,8,1,7,11,11,1,3,1,0,2122
2022-01-09,Napoli,Sampdoria,1,0,1,0,22,10,5,1,13,0,12,11,0,2,0,0,2122
2022-01-09,Udinese,Atalanta,2,6,0,3,8,21,4,7,2,5,9,12,2,2,0,0,2122
2022-01-09,Genoa,Spezia,0,1,0,1,15,17,2,9,7,4,17,16,3,3,0,0,2122
2022-01-09,Roma,Juventus,3,4,1,1,19,14,7,5,8,1,11,12,3,4,0,1,2122
2022-01-09,Inter,Lazio,2,1,1,1,17,5,6,2,4,3,11,14,1,4,0,0,2122
2022-01-09,Verona,Salernitana,1,2,0,1,24,9,7,5,17,4,13,12,1,3,1,0,2122
2022-01-10,Torino,Fiorentina,4,0,3,0,9,10,6,3,1,5,16,12,2,2,0,0,2122
2022-01-11,Cagliari,Bologna,2,1,0,0,13,9,4,3,5,5,12,15,3,2,0,0,2122
2022-01-15,Sampdoria,Torino,1,2,1,1,11,20,3,12,3,10,13,14,0,2,0,0,2122
2022-01-15,Salernitana,Lazio,0,3,0,2,6,15,1,8,3,7,11,16,2,3,0,0,2122
2022-01-15,Juventus,Udinese,2,0,1,0,14,16,4,3,7,6,13,10,1,2,0,0,2122
2022-01-16,Sassuolo,Verona,2,4,0,2,13,21,5,6,9,7,6,18,2,4,0,0,2122
2022-01-16,Venezia,Empoli,1,1,0,1,14,17,3,6,6,5,13,17,3,5,0,0,2122
2022-01-16,Roma,Cagliari,1,0,1,0,15,8,7,2,1,1,13,17,3,4,0,0,2122
2022-01-16,Atalanta,Inter,0,0,0,0,12,11,6,3,6,4,12,9,2,2,0,0,2122
2022-01-17,Bologna,Napoli,0,2,0,1,12,14,5,5,1,4,9,10,3,1,0,0,2122
2022-01-17,Milan,Spezia,1,2,1,0,25,10,8,6,10,1,11,17,2,5,0,0,2122
2022-01-17,Fiorentina,Genoa,6,0,3,0,22,3,12,0,4,0,10,11,1,3,0,0,2122
2022-01-21,Verona,Bologna,2,1,1,1,14,8,6,2,7,2,21,9,2,4,0,0,2122
2022-01-22,Lazio,Atalanta,0,0,0,0,9,6,1,2,4,1,10,17,0,3,0,0,2122
2022-01-22,Genoa,Udinese,0,0,0,0,10,2,3,0,10,4,27,17,4,4,1,0,2122
2022-01-22,Inter,Venezia,2,1,1,1,24,3,12,3,6,0,13,9,3,4,0,0,2122
2022-01-23,Cagliari,Fiorentina,1,1,0,0,12,16,3,6,6,4,21,16,3,3,0,1,2122
2022-01-23,Napoli,Salernitana,4,1,2,1,26,1,14,1,10,0,9,14,0,4,0,1,2122
2022-01-23,Spezia,Sampdoria,1,0,0,0,7,8,2,0,2,4,24,12,2,4,0,1,2122
2022-01-23,Torino,Sassuolo,1,1,1,0,21,6,6,1,4,3,21,15,3,3,0,0,2122
2022-01-23,Empoli,Roma,2,4,0,4,16,16,7,8,2,3,13,14,2,2,0,0,2122
2022-01-23,Milan,Juventus,0,0,0,0,14,8,4,0,4,1,16,19,2,2,0,0,2122
2022-02-05,Fiorentina,Lazio,0,3,0,0,9,12,3,7,4,3,13,15,3,5,1,0,2122
2022-02-05,Roma,Genoa,0,0,0,0,23,10,3,3,6,4,8,23,3,2,1,1,2122
2022-02-05,Inter,Milan,1,2,1,0,11,10,5,3,6,4,20,14,2,4,0,1,2122
2022-02-06,Juventus,Verona,2,0,1,0,11,13,8,1,6,5,11,11,1,1,0,0,2122
2022-02-06,Udinese,Torino,2,0,0,0,11,5,3,1,8,3,12,21,3,5,0,1,2122
2022-02-06,Venezia,Napoli,0,2,0,0,7,16,3,6,2,6,12,11,2,2,1,0,2122
2022-02-06,Bologna,Empoli,0,0,0,0,12,15,2,4,3,5,9,16,2,4,0,0,2122
2022-02-06,Atalanta,Cagliari,1,2,0,0,10,7,3,4,3,1,13,14,1,5,1,0,2122
2022-02-06,Sampdoria,Sassuolo,4,0,2,0,11,26,7,9,3,9,15,16,2,2,0,0,2122
2022-02-07,Salernitana,Spezia,2,2,2,2,9,13,5,2,5,6,12,19,3,3,0,0,2122
2022-02-12,Napoli,Inter,1,1,1,0,13,8,4,2,4,2,8,13,1,1,0,0,2122
2022-02-12,Lazio,Bologna,3,0,1,0,12,11,6,3,5,3,13,16,2,2,0,0,2122
2022-02-12,Torino,Venezia,1,2,1,1,14,5,2,2,8,4,14,12,2,3,0,1,2122
