data,squadra_casa,squadra_trasferta,gol_casa,gol_trasferta,gol_casa_1T,gol_trasferta_1T,tiri_casa,tiri_trasferta,tiri_porta_casa,tiri_porta_trasferta,corner_casa,corner_trasferta,falli_casa,falli_trasferta,gialli_casa,gialli_trasferta,rossi_casa,rossi_trasferta,stagione
2024-08-17,Genoa,Inter,2,2,1,1,10,14,6,9,1,4,15,14,1,2,0,0,2425
2024-08-17,Parma,Fiorentina,1,1,1,0,13,14,5,7,4,9,15,9,3,2,0,1,2425
2024-08-17,Empoli,Monza,0,0,0,0,9,4,1,1,7,3,16,19,0,2,0,0,2425
2024-08-17,Milan,Torino,2,2,0,1,20,6,6,3,9,2,10,7,2,4,0,0,2425
2024-08-18,Bologna,Udinese,1,1,0,0,22,4,7,2,7,5,15,13,0,4,0,0,2425
2024-08-18,Verona,Napoli,3,0,0,0,8,15,5,5,1,5,15,13,4,1,0,0,2425
2024-08-18,Cagliari,Roma,0,0,0,0,12,13,2,3,5,3,15,7,2,0,0,0,2425
2024-08-18,Lazio,Venezia,3,1,2,1,13,11,6,3,6,3,14,11,1,2,0,0,2425
2024-08-19,Lecce,Atalanta,0,4,0,2,19,10,5,6,5,3,10,24,0,2,0,0,2425
2024-08-19,Juventus,Como,3,0,2,0,12,1,9,1,3,0,12,6,2,4,0,0,2425
2024-08-24,Monza,Genoa,0,1,0,1,9,11,2,1,8,3,6,17,2,3,0,0,2425
2024-08-24,Inter,Lecce,2,0,1,0,11,10,3,4,10,6,9,12,0,2,0,0,2425
2024-08-24,Udinese,Lazio,2,1,1,0,8,17,3,5,4,13,15,10,0,0,1,0,2425
2024-08-24,Parma,Milan,2,1,1,0,8,17,5,5,3,9,9,13,0,3,0,0,2425
2024-08-25,Fiorentina,Venezia,0,0,0,0,12,7,8,4,7,3,13,19,1,2,0,0,2425
2024-08-25,Torino,Atalanta,2,1,1,1,13,24,6,8,4,6,8,13,3,4,0,0,2425
2024-08-25,Napoli,Bologna,3,0,1,0,16,9,5,2,7,5,11,17,2,2,0,0,2425
2024-08-25,Roma,Empoli,1,2,0,1,17,10,6,3,8,5,10,9,0,3,0,0,2425
2024-08-26,Cagliari,Como,1,1,1,0,11,13,5,4,5,6,12,10,2,2,0,0,2425
2024-08-26,Verona,Juventus,0,3,0,2,7,7,1,5,4,1,8,8,2,0,0,0,2425
2024-08-30,Venezia,Torino,0,1,0,0,13,12,4,6,3,3,7,15,2,4,0,0,2425
2024-08-30,Inter,Atalanta,4,0,2,0,13,11,5,1,3,4,6,15,0,2,0,0,2425
2024-08-31,Napoli,Parma,2,1,0,1,29,13,7,2,6,4,12,6,2,4,0,1,2425
2024-08-31,Lazio,Milan,2,2,0,1,7,10,5,4,5,7,12,9,4,2,0,0,2425
2024-08-31,Lecce,Cagliari,1,0,1,0,17,21,4,2,7,10,10,13,1,3,1,0,2425
2024-08-31,Bologna,Empoli,1,1,1,1,14,4,3,2,6,3,15,18,0,3,0,0,2425
2024-09-01,Fiorentina,Monza,2,2,1,2,15,4,5,3,6,0,11,21,2,4,0,0,2425
2024-09-01,Genoa,Verona,0,2,0,0,11,10,1,3,3,1,8,16,2,6,0,0,2425
2024-09-01,Juventus,Roma,0,0,0,0,8,7,1,1,6,4,11,12,2,2,0,0,2425
2024-09-01,Udinese,Como,1,0,1,0,10,21,3,4,4,6,16,9,3,0,0,0,2425
2024-09-14,Como,Bologna,2,2,1,0,14,14,4,4,4,3,17,12,2,1,0,0,2425
2024-09-14,Empoli,Juventus,0,0,0,0,8,15,3,3,4,8,11,10,1,2,0,0,2425
2024-09-14,Milan,Venezia,4,0,4,0,12,6,8,1,6,1,12,12,1,3,0,1,2425
2024-09-15,Monza,Inter,1,1,0,0,5,16,2,2,1,8,11,19,1,2,0,0,2425
2024-09-15,Cagliari,Napoli,0,4,0,1,16,12,3,5,7,4,22,11,1,2,0,0,2425
2024-09-15,Torino,Lecce,0,0,0,0,5,20,0,6,2,7,13,13,1,3,0,0,2425
2024-09-15,Atalanta,Fiorentina,3,2,3,2,13,13,7,5,4,2,16,15,2,3,0,0,2425
2024-09-15,Genoa,Roma,1,1,0,1,20,16,8,6,4,5,9,12,1,3,0,0,2425
2024-09-16,Parma,Udinese,2,3,2,0,9,18,3,6,5,6,8,18,2,3,1,0,2425
2024-09-16,Lazio,Verona,2,1,2,1,14,7,7,2,9,6,13,10,2,2,0,0,2425
2024-09-20,Cagliari,Empoli,0,2,0,1,21,9,2,4,10,4,15,21,1,2,0,0,2425
2024-09-20,Verona,Torino,2,3,1,2,8,16,2,3,5,6,10,8,3,1,1,0,2425
2024-09-21,Venezia,Genoa,2,0,0,0,12,9,4,0,3,4,9,12,2,3,0,0,2425
2024-09-21,Juventus,Napoli,0,0,0,0,9,8,1,1,4,3,10,13,1,0,0,0,2425
2024-09-21,Lecce,Parma,2,2,1,0,14,24,3,10,2,12,12,11,4,0,1,1,2425
2024-09-22,Inter,Milan,1,2,1,1,13,16,4,8,6,2,13,4,4,1,0,0,2425
2024-09-22,Roma,Udinese,3,0,1,0,14,9,6,3,2,1,15,11,2,2,0,0,2425
2024-09-22,Monza,Bologna,1,2,1,1,6,15,3,8,2,2,20,16,3,2,0,0,2425
2024-09-22,Fiorentina,Lazio,2,1,0,1,14,20,5,6,3,10,11,15,3,4,0,0,2425
2024-09-24,Atalanta,Como,2,3,1,0,8,14,5,7,6,2,12,17,1,3,0,0,2425
2024-09-27,Milan,Lecce,3,0,3,0,15,16,6,7,4,7,5,8,1,1,1,0,2425
2024-09-28,Udinese,Inter,2,3,1,2,10,16,3,7,7,3,13,6,1,0,0,0,2425
2024-09-28,Genoa,Juventus,0,3,0,0,7,12,2,3,5,3,8,14,2,1,0,0,2425
2024-09-28,Bologna,Atalanta,1,1,0,0,5,23,1,5,2,9,16,12,3,3,1,0,2425
2024-09-29,Torino,Lazio,2,3,0,1,12,13,7,7,3,1,10,13,2,3,0,0,2425
2024-09-29,Como,Verona,3,2,1,0,24,6,11,3,9,1,10,19,2,5,0,1,2425
2024-09-29,Roma,Venezia,2,1,0,1,22,18,5,7,6,3,8,13,1,2,0,0,2425
2024-09-29,Empoli,Fiorentina,0,0,0,0,8,13,1,0,2,4,15,12,0,1,0,0,2425
2024-09-29,Napoli,Monza,2,0,2,0,11,5,2,1,1,3,16,8,1,2,0,0,2425
2024-09-30,Parma,Cagliari,2,3,0,1,18,11,4,4,5,3,10,16,3,2,0,0,2425
2024-10-04,Napoli,Como,3,1,1,1,9,11,6,2,4,1,7,10,1,1,0,0,2425
2024-10-04,Verona,Venezia,2,1,1,1,13,11,4,2,13,6,10,7,3,0,0,0,2425
2024-10-05,Udinese,Lecce,1,0,0,0,13,9,4,3,5,0,12,16,2,2,0,0,2425
2024-10-05,Atalanta,Genoa,5,1,1,0,23,7,8,2,4,2,9,15,0,0,0,0,2425
2024-10-05,Inter,Torino,3,2,2,1,29,7,8,5,14,0,6,9,1,2,0,1,2425
2024-10-06,Juventus,Cagliari,1,1,1,0,21,9,9,2,8,3,13,10,5,2,1,0,2425
2024-10-06,Bologna,Parma,0,0,0,0,19,13,3,2,13,6,15,16,1,0,0,1,2425
2024-10-06,Lazio,Empoli,2,1,1,1,16,7,6,2,5,3,10,17,2,4,0,0,2425
2024-10-06,Monza,Roma,1,1,0,0,3,15,3,4,1,3,16,13,3,1,0,0,2425
2024-10-06,Fiorentina,Milan,2,1,1,0,12,16,3,8,0,7,11,21,2,3,0,1,2425
2024-10-19,Juventus,Lazio,1,0,0,0,16,2,3,1,7,1,16,9,4,2,0,1,2425
2024-10-19,Milan,Udinese,1,0,1,0,10,13,5,1,8,4,3,14,2,3,1,0,2425
2024-10-19,Como,Parma,1,1,1,1,11,9,3,3,7,4,14,10,1,2,0,0,2425
2024-10-19,Genoa,Bologna,2,2,0,1,10,12,4,7,1,7,20,12,2,0,0,0,2425
2024-10-20,Empoli,Napoli,0,1,0,0,11,9,4,1,7,7,14,13,2,2,0,0,2425
2024-10-20,Lecce,Fiorentina,0,6,0,3,5,19,2,11,1,3,8,14,0,5,1,0,2425
2024-10-20,Venezia,Atalanta,0,2,0,1,12,16,4,7,2,5,12,6,1,1,0,0,2425
2024-10-20,Cagliari,Torino,3,2,1,1,18,17,5,5,9,12,9,8,1,3,0,0,2425
2024-10-20,Roma,Inter,0,1,0,0,14,11,3,6,3,3,12,13,2,3,0,0,2425
2024-10-21,Verona,Monza,0,3,0,1,16,10,4,4,9,6,8,13,3,2,0,0,2425
2024-10-25,Udinese,Cagliari,2,0,1,0,13,3,4,0,2,4,13,9,2,3,0,1,2425
2024-10-25,Torino,Como,1,0,0,0,8,20,2,6,1,3,13,12,3,3,0,0,2425
2024-10-26,Atalanta,Verona,6,1,5,1,19,4,10,2,4,2,3,15,0,1,0,0,2425
2024-10-26,Napoli,Lecce,1,0,0,0,24,11,8,2,16,5,13,7,3,2,0,0,2425
2024-10-27,Parma,Empoli,1,1,0,1,17,6,4,2,9,3,12,17,4,5,0,0,2425
2024-10-27,Lazio,Genoa,3,0,1,0,18,6,4,2,7,4,12,6,3,1,0,0,2425
2024-10-27,Monza,Venezia,2,2,2,2,13,6,2,2,4,3,17,16,4,2,1,0,2425
2024-10-27,Inter,Juventus,4,4,3,2,18,10,9,5,13,5,11,16,2,1,0,0,2425
2024-10-27,Fiorentina,Roma,5,1,3,1,21,14,10,5,6,2,13,11,2,5,0,1,2425
2024-10-29,Cagliari,Bologna,0,2,0,1,14,11,2,4,7,2,17,18,2,2,0,0,2425
2024-10-29,Lecce,Verona,1,0,0,0,14,7,6,1,3,4,14,21,1,3,0,2,2425
2024-10-29,Milan,Napoli,0,2,0,2,13,9,5,4,5,1,14,6,0,1,0,0,2425
2024-10-30,Juventus,Parma,2,2,1,2,24,13,6,5,10,6,7,5,2,0,0,0,2425
2024-10-30,Atalanta,Monza,2,0,0,0,16,4,6,3,5,1,14,11,2,3,0,0,2425
2024-10-30,Venezia,Udinese,3,2,1,2,18,15,7,5,2,6,9,13,3,4,0,1,2425
2024-10-30,Empoli,Inter,0,3,0,0,6,15,1,5,1,4,12,13,1,1,1,0,2425
2024-10-31,Genoa,Fiorentina,0,1,0,0,14,12,4,4,4,4,13,10,4,2,0,0,2425
2024-10-31,Como,Lazio,1,5,0,2,14,14,2,7,3,5,14,18,2,5,1,1,2425
2024-10-31,Roma,Torino,1,0,1,0,10,4,3,2,3,5,11,15,2,2,0,0,2425
2024-11-02,Bologna,Lecce,1,0,0,0,20,6,4,0,9,1,9,14,2,2,0,0,2425
2024-11-02,Udinese,Juventus,0,2,0,2,11,11,2,5,10,3,12,14,2,2,0,0,2425
2024-11-02,Monza,Milan,0,1,0,1,12,18,2,7,3,5,18,15,2,1,0,0,2425
2024-11-03,Verona,Roma,3,2,2,1,7,14,3,3,2,2,16,11,2,2,1,0,2425
2024-11-03,Inter,Venezia,1,0,0,0,20,7,8,2,9,3,14,15,2,1,0,0,2425
2024-11-03,Napoli,Atalanta,0,3,0,2,13,12,3,3,4,3,10,8,1,3,0,0,2425
2024-11-03,Torino,Fiorentina,0,1,0,1,9,8,1,3,1,3,16,12,2,1,0,0,2425
2024-11-04,Empoli,Como,1,0,0,0,9,12,4,2,3,6,17,9,1,0,0,0,2425
2024-11-04,Parma,Genoa,0,1,0,0,13,15,0,7,3,7,5,18,2,5,0,0,2425
2024-11-04,Lazio,Cagliari,2,1,1,1,20,6,5,1,2,3,12,17,3,8,0,2,2425
2024-11-07,Genoa,Como,1,1,0,1,8,18,4,8,8,5,17,15,4,3,0,0,2425
2024-11-08,Lecce,Empoli,1,1,0,1,18,11,3,6,4,3,7,24,0,3,0,0,2425
2024-11-09,Venezia,Parma,1,2,1,1,12,10,6,3,6,6,9,10,1,2,0,0,2425
2024-11-09,Cagliari,Milan,3,3,1,2,16,13,7,6,6,3,7,11,0,2,0,0,2425
2024-11-09,Juventus,Torino,2,0,1,0,13,6,4,1,5,5,7,14,1,3,0,0,2425
2024-11-10,Inter,Napoli,1,1,1,1,13,5,4,2,4,2,15,12,2,0,0,0,2425
2024-11-10,Roma,Bologna,2,3,0,1,15,15,5,4,4,3,16,21,2,3,0,0,2425
2024-11-10,Monza,Lazio,0,1,0,1,12,14,2,6,6,6,13,10,5,1,0,0,2425
2024-11-10,Atalanta,Udinese,2,1,0,1,11,11,4,6,4,5,10,12,1,1,0,0,2425
2024-11-10,Fiorentina,Verona,3,1,1,1,11,8,6,2,8,3,1,19,1,2,0,0,2425
2024-11-23,Verona,Inter,0,5,0,5,9,12,2,7,4,2,14,5,2,1,0,0,2425
2024-11-23,Milan,Juventus,0,0,0,0,6,7,1,2,2,4,9,12,3,2,0,0,2425
2024-11-23,Parma,Atalanta,1,3,0,2,9,15,3,6,2,5,6,8,0,2,0,0,2425
2024-11-24,Genoa,Cagliari,2,2,1,1,20,17,6,6,6,8,11,7,2,2,0,0,2425
2024-11-24,Como,Fiorentina,0,2,0,1,10,8,4,4,3,4,11,15,2,1,1,0,2425
2024-11-24,Torino,Monza,1,1,0,0,12,9,5,6,7,3,17,13,1,2,0,0,2425
2024-11-24,Napoli,Roma,1,0,0,0,14,6,2,1,8,2,8,9,0,3,0,0,2425
2024-11-24,Lazio,Bologna,3,0,0,0,13,3,4,1,3,0,14,14,3,3,0,1,2425
2024-11-25,Venezia,Lecce,0,1,0,0,16,7,6,2,6,2,12,16,1,3,0,0,2425
2024-11-25,Empoli,Udinese,1,1,1,0,4,16,2,3,1,8,8,13,3,2,0,0,2425
2024-11-29,Cagliari,Verona,1,0,0,0,19,11,6,2,7,1,10,12,1,2,0,0,2425
2024-11-30,Como,Monza,1,1,1,0,17,9,3,3,11,4,16,11,3,0,0,0,2425
2024-11-30,Milan,Empoli,3,0,2,0,20,9,4,0,7,3,12,16,2,2,0,0,2425
2024-11-30,Bologna,Venezia,3,0,1,0,16,5,9,1,1,0,14,15,0,2,0,0,2425
2024-12-01,Udinese,Genoa,0,2,0,1,4,15,2,5,6,4,13,11,2,3,1,0,2425
2024-12-01,Parma,Lazio,3,1,1,0,12,23,4,8,4,10,17,13,4,3,0,0,2425
2024-12-01,Torino,Napoli,0,1,0,1,5,16,1,6,4,7,15,9,4,1,0,0,2425
2024-12-01,Lecce,Juventus,1,1,0,0,10,14,6,3,2,7,8,9,1,4,0,0,2425
2024-12-02,Roma,Atalanta,0,2,0,0,5,18,1,7,2,4,17,13,2,3,0,0,2425
2024-12-06,Atalanta,Milan,2,1,1,1,17,6,8,2,7,0,14,13,2,0,0,0,2425
2024-12-06,Inter,Parma,3,1,1,0,18,5,5,2,10,1,8,3,1,1,0,0,2425
2024-12-07,Roma,Lecce,4,1,1,1,23,3,9,1,8,1,5,14,2,3,0,0,2425
2024-12-07,Genoa,Torino,0,0,0,0,5,10,1,3,4,4,12,15,2,1,0,0,2425
2024-12-07,Juventus,Bologna,2,2,0,1,10,10,3,4,1,4,18,14,3,4,0,0,2425
2024-12-08,Fiorentina,Cagliari,1,0,1,0,8,8,3,1,6,4,9,20,3,2,0,0,2425
2024-12-08,Verona,Empoli,1,4,1,4,12,15,3,5,5,8,15,16,2,2,0,0,2425
2024-12-08,Venezia,Como,2,2,1,0,8,10,4,4,5,9,12,10,1,1,0,0,2425
2024-12-08,Napoli,Lazio,0,1,0,0,12,7,1,3,6,2,16,12,2,3,0,0,2425
2024-12-09,Monza,Udinese,1,2,0,1,27,10,4,3,10,1,12,16,1,2,0,0,2425
2024-12-13,Empoli,Torino,0,1,0,0,10,14,4,4,12,3,7,15,2,3,0,0,2425
2024-12-14,Cagliari,Atalanta,0,1,0,0,12,12,8,2,2,5,16,10,3,3,0,0,2425
2024-12-14,Udinese,Napoli,1,3,1,0,7,17,3,4,3,9,14,8,1,1,0,0,2425
2024-12-14,Juventus,Venezia,2,2,1,0,12,8,4,2,7,4,9,8,1,3,0,0,2425
2024-12-15,Milan,Genoa,0,0,0,0,22,5,4,0,9,2,11,12,0,2,0,0,2425
2024-12-15,Como,Roma,2,0,0,0,18,6,7,1,6,5,18,17,6,1,0,0,2425
2024-12-15,Lecce,Monza,2,1,2,1,11,10,4,1,2,7,15,16,1,5,0,0,2425
2024-12-15,Bologna,Fiorentina,1,0,0,0,16,10,6,4,1,3,16,10,2,2,0,0,2425
2024-12-15,Parma,Verona,2,3,1,1,19,17,8,6,5,2,5,16,1,3,0,0,2425
2024-12-16,Lazio,Inter,0,6,0,2,9,12,2,7,4,2,7,14,2,4,0,0,2425
2024-12-20,Verona,Milan,0,1,0,0,10,14,2,6,3,8,21,9,1,1,0,0,2425
2024-12-21,Torino,Bologna,0,2,0,0,6,8,0,5,4,0,11,17,0,2,0,0,2425
2024-12-21,Genoa,Napoli,1,2,0,2,11,12,3,2,5,6,8,8,2,1,0,0,2425
2024-12-21,Lecce,Lazio,1,2,0,1,11,13,2,7,6,6,13,12,3,1,1,0,2425
2024-12-22,Monza,Juventus,1,2,1,2,17,16,5,9,3,7,7,13,1,1,0,0,2425
2024-12-22,Atalanta,Empoli,3,2,2,1,16,7,7,3,6,3,11,15,1,1,0,0,2425
2024-12-22,Venezia,Cagliari,2,1,1,0,12,14,6,7,4,8,6,11,1,2,0,0,2425
2024-12-22,Roma,Parma,5,0,2,0,19,9,9,3,5,2,10,9,1,2,0,0,2425
2024-12-23,Fiorentina,Udinese,1,2,1,0,14,11,3,4,10,2,10,14,2,5,0,0,2425
2024-12-23,Inter,Como,2,0,0,0,17,8,5,4,7,1,13,15,2,2,0,0,2425
2024-12-28,Empoli,Genoa,1,2,0,0,12,14,8,5,7,4,16,13,1,2,0,0,2425
2024-12-28,Parma,Monza,2,1,0,0,9,10,3,4,4,6,16,21,3,7,0,1,2425
