data,squadra_casa,squadra_trasferta,gol_casa,gol_trasferta,gol_casa_1T,gol_trasferta_1T,tiri_casa,tiri_trasferta,tiri_porta_casa,tiri_porta_trasferta,corner_casa,corner_trasferta,falli_casa,falli_trasferta,gialli_casa,gialli_trasferta,rossi_casa,rossi_trasferta,stagione_calc
2022-08-12,Parma,Bari,2,2,2,2,10,9,6,5,6,3,15,10,5,3,0,0,2223
2022-08-13,Cittadella,Pisa,4,3,1,1,15,16,5,8,5,5,10,16,1,1,0,0,2223
2022-08-13,Como,Cagliari,1,1,1,0,9,12,3,2,6,5,17,11,1,1,0,0,2223
2022-08-13,Palermo,Perugia,2,0,1,0,12,8,3,0,2,6,17,19,2,5,0,1,2223
2022-08-14,Ascoli,Ternana,2,1,2,0,9,10,5,3,4,7,13,18,2,4,0,0,2223
2022-08-14,Benevento,Cosenza,0,1,0,0,18,7,1,2,8,5,12,19,2,2,0,0,2223
2022-08-14,Brescia,Sudtirol,2,0,1,0,8,20,4,4,4,5,17,5,1,1,0,0,2223
2022-08-14,Modena,Frosinone,0,1,0,1,13,17,4,5,5,7,15,12,1,4,0,0,2223
2022-08-14,Spal,Reggina,1,3,0,1,13,12,5,7,8,3,17,18,3,2,0,0,2223
2022-08-14,Venezia,Genoa,1,2,0,1,10,15,6,6,1,10,7,15,4,2,0,0,2223
2022-08-19,Bari,Palermo,1,1,0,1,18,8,5,4,5,4,12,12,2,2,0,1,2223
2022-08-20,Ascoli,Spal,1,1,1,1,15,12,2,6,10,4,15,14,4,5,0,0,2223
2022-08-20,Genoa,Benevento,0,0,0,0,13,7,5,1,8,1,17,14,3,2,0,0,2223
2022-08-20,Perugia,Parma,0,0,0,0,8,19,2,4,2,6,15,6,2,1,0,0,2223
2022-08-21,Cagliari,Cittadella,2,1,0,1,17,12,8,3,9,2,10,16,0,3,0,0,2223
2022-08-21,Cosenza,Modena,2,1,0,1,9,13,3,4,8,4,9,19,1,3,0,0,2223
2022-08-21,Frosinone,Brescia,3,0,1,0,14,7,5,2,4,3,14,22,2,2,0,0,2223
2022-08-21,Pisa,Como,2,2,1,1,13,8,5,4,8,1,18,14,1,2,0,0,2223
2022-08-21,Sudtirol,Venezia,1,2,0,0,5,18,1,6,1,8,8,12,0,3,0,0,2223
2022-08-21,Ternana,Reggina,1,0,1,0,11,13,4,2,4,7,14,18,2,1,0,0,2223
2022-08-27,Spal,Cagliari,1,0,1,0,9,12,3,2,2,5,20,15,4,3,1,1,2223
2022-08-27,Palermo,Ascoli,2,3,1,2,11,9,7,5,12,2,10,20,3,3,1,0,2223
2022-08-27,Modena,Ternana,4,1,2,0,15,5,5,3,3,2,11,9,3,0,0,0,2223
2022-08-28,Benevento,Frosinone,2,1,1,0,7,11,4,6,5,5,14,17,3,4,0,0,2223
2022-08-28,Cittadella,Venezia,1,1,0,0,16,9,3,2,6,0,23,17,4,2,0,0,2223
2022-08-28,Parma,Cosenza,1,0,1,0,15,6,5,1,7,3,21,9,5,1,0,0,2223
2022-08-28,Perugia,Bari,1,3,0,1,22,10,8,6,9,3,16,16,5,4,1,1,2223
2022-08-28,Pisa,Genoa,0,1,0,1,15,12,4,6,3,4,10,10,4,2,1,0,2223
2022-08-28,Reggina,Sudtirol,4,0,2,0,15,6,9,1,3,4,13,16,2,4,0,1,2223
2022-08-29,Como,Brescia,0,1,0,1,11,24,5,8,3,5,13,21,3,1,1,0,2223
2022-09-02,Cagliari,Modena,1,0,1,0,23,14,10,1,8,4,8,15,2,2,0,0,2223
2022-09-03,Genoa,Parma,3,3,2,2,13,10,5,4,4,5,11,12,4,4,1,0,2223
2022-09-03,Venezia,Benevento,0,2,0,0,9,13,3,4,6,9,20,9,2,3,0,0,2223
2022-09-03,Ternana,Cosenza,1,1,1,0,11,3,4,1,4,1,16,15,3,5,1,0,2223
2022-09-03,Reggina,Palermo,3,0,1,0,10,11,3,3,2,8,14,10,3,2,1,1,2223
2022-09-03,Bari,Spal,2,2,2,0,15,18,7,5,7,5,13,14,2,3,0,0,2223
2022-09-03,Brescia,Perugia,2,1,2,1,18,16,6,4,4,5,15,19,4,2,0,0,2223
2022-09-03,Ascoli,Cittadella,0,0,0,0,9,14,3,2,2,5,14,22,4,6,1,2,2223
2022-09-03,Frosinone,Como,2,0,1,0,23,11,9,2,8,5,19,11,1,3,0,0,2223
2022-09-04,Sudtirol,Pisa,2,1,1,1,7,12,6,1,7,5,19,23,3,2,0,0,2223
2022-09-09,Palermo,Genoa,1,0,0,0,10,13,6,5,2,7,14,14,3,4,0,0,2223
2022-09-10,Pisa,Reggina,0,1,0,1,12,9,2,3,7,2,17,9,3,2,0,0,2223
2022-09-10,Perugia,Ascoli,1,0,1,0,15,7,6,2,6,2,18,14,2,4,0,0,2223
2022-09-10,Modena,Brescia,1,3,1,1,12,12,4,7,10,3,10,14,2,2,0,0,2223
2022-09-10,Parma,Ternana,2,3,1,0,21,7,4,4,5,2,15,16,1,2,0,0,2223
2022-09-10,Como,Sudtirol,0,2,0,0,16,17,4,6,7,5,11,7,0,2,1,0,2223
2022-09-10,Cosenza,Bari,0,1,0,1,7,18,1,4,3,3,14,9,5,3,1,0,2223
2022-09-10,Cittadella,Frosinone,1,0,0,0,14,12,2,4,2,3,14,19,3,2,0,0,2223
2022-09-10,Benevento,Cagliari,0,2,0,0,13,9,6,3,7,4,10,14,3,3,0,1,2223
2022-09-11,Spal,Venezia,2,0,1,0,16,14,7,6,0,6,9,14,2,4,0,1,2223
2022-09-16,Brescia,Benevento,1,0,0,0,14,10,4,4,5,5,11,11,3,6,0,0,2223
2022-09-17,Genoa,Modena,1,0,1,0,12,8,5,2,6,2,17,24,1,6,0,0,2223
2022-09-17,Venezia,Pisa,1,1,1,1,18,6,4,2,10,1,10,11,3,5,0,1,2223
2022-09-17,Sudtirol,Cosenza,1,1,1,0,19,12,8,6,6,1,11,13,3,1,0,0,2223
2022-09-17,Reggina,Cittadella,3,0,1,0,8,6,3,2,2,3,17,18,3,4,0,0,2223
2022-09-17,Frosinone,Palermo,1,0,1,0,14,13,3,3,3,1,16,12,4,4,0,0,2223
2022-09-17,Como,Spal,3,3,1,1,13,18,6,7,4,6,15,15,4,4,0,0,2223
2022-09-17,Cagliari,Bari,0,1,0,0,9,2,1,1,1,0,23,14,3,1,0,1,2223
2022-09-17,Ascoli,Parma,1,3,0,2,16,10,4,4,3,0,15,16,4,4,0,0,2223
2022-09-18,Ternana,Perugia,1,0,1,0,14,11,3,4,5,5,14,18,3,2,0,0,2223
2022-09-30,Cosenza,Como,3,1,2,1,7,17,3,3,5,5,17,16,3,3,0,1,2223
2022-10-01,Spal,Genoa,0,2,0,1,9,10,1,5,5,3,14,16,3,3,1,0,2223
2022-10-01,Parma,Frosinone,2,1,1,0,8,15,4,4,3,7,18,20,6,6,1,0,2223
2022-10-01,Palermo,Sudtirol,0,1,0,1,21,13,3,5,6,4,15,18,4,6,0,0,2223
2022-10-01,Perugia,Pisa,1,3,0,1,11,13,3,8,5,1,21,13,3,2,0,0,2223
2022-10-01,Cittadella,Ternana,0,2,0,1,13,10,2,5,2,5,24,12,6,7,0,0,2223
2022-10-01,Cagliari,Venezia,1,4,1,0,17,15,3,8,6,3,12,15,3,2,0,0,2223
2022-10-01,Bari,Brescia,6,2,3,0,17,9,7,3,3,6,11,18,2,5,0,0,2223
2022-10-01,Modena,Reggina,1,0,0,0,6,16,3,4,0,6,20,8,3,3,0,0,2223
2022-10-02,Benevento,Ascoli,1,1,0,1,7,16,3,4,7,5,13,22,2,5,0,0,2223
2022-10-07,Genoa,Cagliari,0,0,0,0,15,7,5,0,5,2,13,16,3,3,0,0,2223
2022-10-08,Ascoli,Modena,1,2,1,0,16,13,3,5,6,4,14,17,2,2,1,0,2223
2022-10-08,Brescia,Cittadella,1,1,1,0,7,8,2,4,2,4,17,19,1,5,0,0,2223
2022-10-08,Pisa,Parma,0,0,0,0,11,19,2,7,6,5,9,5,2,1,0,0,2223
2022-10-08,Ternana,Palermo,3,0,0,0,12,6,5,0,7,2,10,11,2,3,0,0,2223
2022-10-08,Venezia,Bari,1,2,0,0,11,16,3,5,9,8,14,7,2,3,0,0,2223
2022-10-08,Frosinone,Spal,2,0,0,0,16,10,7,2,5,7,13,10,4,1,0,1,2223
2022-10-08,Reggina,Cosenza,3,0,1,0,17,6,7,0,4,8,9,13,0,3,0,1,2223
2022-10-09,Sudtirol,Benevento,1,1,0,1,8,10,4,2,6,3,17,15,2,5,0,0,2223
2022-10-09,Como,Perugia,1,0,1,0,13,10,4,0,4,3,21,15,6,2,0,0,2223
2022-10-14,Venezia,Frosinone,1,3,1,0,12,17,3,7,6,7,15,10,4,2,1,0,2223
2022-10-15,Benevento,Ternana,2,3,2,0,15,9,1,7,4,5,16,11,3,2,0,0,2223
2022-10-15,Cagliari,Brescia,2,1,2,0,8,9,3,2,2,4,7,15,0,2,0,0,2223
2022-10-15,Cittadella,Spal,0,0,0,0,14,2,2,1,6,3,24,16,5,3,2,0,2223
2022-10-15,Cosenza,Genoa,1,2,1,2,4,12,2,7,3,7,17,16,2,2,0,1,2223
