data,squadra_casa,squadra_trasferta,gol_casa,gol_trasferta,gol_casa_1T,gol_trasferta_1T,tiri_casa,tiri_trasferta,tiri_porta_casa,tiri_porta_trasferta,corner_casa,corner_trasferta,falli_casa,falli_trasferta,gialli_casa,gialli_trasferta,rossi_casa,rossi_trasferta,stagione
2024-08-16,Brescia,Palermo,1,0,0,0,18,10,6,1,9,6,15,10,1,1,0,0,2425
2024-08-17,Bari,Juve Stabia,1,3,0,2,16,13,4,6,6,4,20,14,2,6,0,0,2425
2024-08-17,Pisa,Spezia,2,2,1,2,19,6,4,3,7,2,10,22,4,2,0,0,2425
2024-08-17,Salernitana,Cittadella,2,1,0,1,15,8,7,3,10,1,23,12,4,5,0,0,2425
2024-08-17,Sudtirol,Modena,2,1,1,1,9,6,3,2,4,2,10,15,1,3,0,0,2425
2024-08-18,Catanzaro,Sassuolo,1,1,0,1,9,12,4,6,3,7,11,7,3,4,0,0,2425
2024-08-18,Cesena,Carrarese,2,1,2,0,14,10,8,4,1,2,13,14,3,1,0,0,2425
2024-08-18,Cosenza,Cremonese,1,0,1,0,15,7,6,1,4,8,11,16,3,2,0,0,2425
2024-08-18,Frosinone,Sampdoria,2,2,1,0,20,17,12,4,4,4,10,13,2,2,0,1,2425
2024-08-18,Reggiana,Mantova,2,2,0,0,12,13,6,4,3,1,10,25,5,1,0,0,2425
2024-08-23,Modena,Bari,2,1,1,1,16,14,5,4,4,5,20,13,4,4,0,0,2425
2024-08-24,Sudtirol,Salernitana,3,2,2,1,17,9,7,3,5,5,15,9,1,1,0,0,2425
2024-08-24,Brescia,Cittadella,0,1,0,0,18,15,6,3,5,4,17,8,2,4,0,1,2425
2024-08-24,Cremonese,Carrarese,1,0,0,0,16,10,4,3,5,5,8,14,0,0,0,0,2425
2024-08-24,Pisa,Palermo,2,0,1,0,11,16,4,4,6,7,8,20,2,2,0,0,2425
2024-08-24,Sampdoria,Reggiana,0,1,0,0,9,19,1,4,6,4,11,12,2,4,0,0,2425
2024-08-24,Sassuolo,Cesena,2,1,1,0,13,23,6,6,3,9,10,14,3,2,0,0,2425
2024-08-24,Spezia,Frosinone,2,1,0,1,12,8,6,3,5,7,19,18,2,6,0,0,2425
2024-08-25,Catanzaro,Juve Stabia,0,0,0,0,11,11,2,2,9,4,14,9,2,2,0,0,2425
2024-08-25,Mantova,Cosenza,3,2,2,0,9,22,6,10,7,5,23,7,2,3,0,0,2425
2024-08-27,Bari,Sassuolo,1,1,0,1,26,8,4,2,13,3,11,12,1,1,0,1,2425
2024-08-27,Carrarese,Sudtirol,2,0,1,0,12,16,3,4,6,8,16,13,0,3,0,0,2425
2024-08-27,Cittadella,Pisa,1,1,1,1,9,18,4,1,2,5,14,18,4,1,0,0,2425
2024-08-27,Cremonese,Palermo,0,1,0,0,18,5,4,3,8,5,14,21,0,0,0,0,2425
2024-08-27,Frosinone,Modena,1,1,0,0,12,10,3,3,2,6,16,13,1,3,0,0,2425
