squadra,forma_avanzata_totale,forza_attacco_corner_casa,forza_attacco_corner_trasferta,forza_attacco_falli_casa,forza_attacco_falli_trasferta,forza_attacco_gialli_casa,forza_attacco_gialli_trasferta,forza_attacco_gol_1T_casa,forza_attacco_gol_1T_trasferta,forza_attacco_gol_casa,forza_attacco_gol_trasferta,forza_attacco_rossi_casa,forza_attacco_rossi_trasferta,forza_attacco_tiri_casa,forza_attacco_tiri_porta_casa,forza_attacco_tiri_porta_trasferta,forza_attacco_tiri_trasferta,forza_difesa_corner_casa,forza_difesa_corner_trasferta,forza_difesa_falli_casa,forza_difesa_falli_trasferta,forza_difesa_gialli_casa,forza_difesa_gialli_trasferta,forza_difesa_gol_1T_casa,forza_difesa_gol_1T_trasferta,forza_difesa_gol_casa,forza_difesa_gol_trasferta,forza_difesa_rossi_casa,forza_difesa_rossi_trasferta,forza_difesa_tiri_casa,forza_difesa_tiri_porta_casa,forza_difesa_tiri_porta_trasferta,forza_difesa_tiri_trasferta,media_corner_fatti_casa,media_corner_fatti_trasferta,media_corner_subiti_casa,media_corner_subiti_trasferta,media_falli_fatti_casa,media_falli_fatti_trasferta,media_falli_subiti_casa,media_falli_subiti_trasferta,media_gialli_fatti_casa,media_gialli_fatti_trasferta,media_gialli_subiti_casa,media_gialli_subiti_trasferta,media_gol_1T_fatti_casa,media_gol_1T_fatti_trasferta,media_gol_1T_subiti_casa,media_gol_1T_subiti_trasferta,media_gol_fatti_casa,media_gol_fatti_trasferta,media_gol_subiti_casa,media_gol_subiti_trasferta,media_rossi_fatti_casa,media_rossi_fatti_trasferta,media_rossi_subiti_casa,media_rossi_subiti_trasferta,media_tiri_fatti_casa,media_tiri_fatti_trasferta,media_tiri_porta_fatti_casa,media_tiri_porta_fatti_trasferta,media_tiri_porta_subiti_casa,media_tiri_porta_subiti_trasferta,media_tiri_subiti_casa,media_tiri_subiti_trasferta
Preußen Münster,0.276,0.731,0.971,1.181,1.149,1.609,1.06,0.692,0.955,0.596,0.979,0.0,0.0,0.818,0.66,1.037,0.993,1.069,1.065,0.935,1.074,0.959,0.764,0.668,1.0,0.723,0.912,1.043,0.655,0.979,0.917,0.876,0.997,4.12,4.65,5.12,6.0,13.65,13.59,11.06,12.41,3.47,2.47,2.24,1.65,0.53,0.59,0.41,0.76,1.0,1.35,1.0,1.53,0.0,0.0,0.12,0.06,11.88,12.41,3.41,4.59,4.06,4.53,12.24,14.47
Ulm,0.122,0.836,0.799,0.977,1.019,1.173,0.884,0.846,0.859,0.737,0.638,0.655,1.043,0.907,0.785,0.824,0.941,0.934,1.034,1.119,1.181,1.414,1.118,0.191,0.846,0.936,0.912,2.087,0.655,0.941,0.85,0.922,1.118,4.71,3.82,4.47,5.82,11.29,12.06,13.24,13.65,2.53,2.06,3.29,2.41,0.65,0.53,0.12,0.65,1.24,0.88,1.29,1.53,0.06,0.12,0.24,0.06,13.18,11.76,4.06,3.65,3.76,4.76,11.76,16.24
Paderborn,0.312,1.097,1.253,0.998,1.089,0.736,0.985,0.846,0.668,1.053,1.106,1.964,0.522,1.106,1.024,1.13,1.115,1.094,0.742,0.9,0.952,0.934,0.955,1.337,0.462,0.979,0.807,0.0,1.309,1.059,1.076,0.717,0.705,6.18,6.0,5.24,4.18,11.53,12.88,10.65,11.0,1.59,2.29,2.18,2.06,0.65,0.41,0.82,0.35,1.76,1.53,1.35,1.35,0.18,0.06,0.0,0.12,16.06,13.94,5.29,5.0,4.76,3.71,13.24,10.24
Karlsruhe,0.448,0.961,0.995,1.003,0.89,1.2,1.035,1.0,1.337,1.088,1.106,0.0,0.0,0.94,0.922,0.824,0.913,0.922,0.94,0.985,0.881,0.959,0.982,0.955,1.308,1.021,1.088,0.522,0.0,1.106,1.09,1.047,1.045,5.41,4.76,4.41,5.29,11.59,10.53,11.65,10.18,2.59,2.41,2.24,2.12,0.76,0.82,0.59,1.0,1.82,1.53,1.41,1.82,0.0,0.0,0.06,0.0,13.65,11.41,4.76,3.65,4.82,5.41,13.82,15.18
Hannover,0.224,1.076,1.069,1.11,1.184,1.173,1.01,0.615,0.764,0.807,0.766,1.309,1.043,1.021,0.945,0.824,1.012,0.811,1.191,1.119,1.16,1.035,1.036,0.477,0.692,0.638,0.737,1.565,0.0,0.95,0.864,0.933,1.074,6.06,5.12,3.88,6.71,12.82,14.0,13.24,13.41,2.53,2.35,2.41,2.24,0.47,0.47,0.29,0.53,1.35,1.06,0.88,1.24,0.12,0.12,0.18,0.0,14.82,12.65,4.88,3.65,3.82,4.82,11.88,15.59
Magdeburg,0.231,1.222,0.934,0.967,0.96,1.064,1.111,0.769,1.337,0.982,1.532,0.0,2.087,1.017,1.047,1.196,1.073,0.922,1.065,0.985,0.952,0.959,1.009,1.528,1.154,1.234,0.807,0.522,1.964,0.964,1.05,1.002,1.001,6.88,4.47,4.41,6.0,11.18,11.35,11.65,11.0,2.29,2.59,2.24,2.18,0.59,0.82,0.94,0.88,1.65,2.12,1.71,1.35,0.0,0.24,0.06,0.18,14.76,13.41,5.41,5.29,4.65,5.18,12.06,14.53
Elversberg,0.302,1.107,1.044,0.865,0.9,0.655,1.035,1.769,0.573,1.368,1.064,1.309,0.522,1.053,1.013,1.037,1.016,1.02,1.076,1.129,1.054,0.707,1.145,0.573,0.462,1.064,0.421,0.0,1.309,0.988,0.957,0.615,0.855,6.24,5.0,4.88,6.06,10.0,10.65,13.35,12.18,1.41,2.41,1.65,2.47,1.35,0.35,0.35,0.35,2.29,1.47,1.47,0.71,0.12,0.06,0.0,0.12,15.29,12.71,5.24,4.59,4.24,3.18,12.35,12.41
Hertha,0.2,1.097,1.253,1.171,1.049,1.064,1.035,0.462,1.05,0.702,1.234,0.0,1.043,0.883,0.797,1.183,1.096,0.934,1.044,0.885,0.926,1.01,1.064,1.05,1.154,1.021,0.947,1.043,1.309,0.899,0.917,0.717,0.891,6.18,6.0,4.47,5.88,13.53,12.41,10.47,10.71,2.29,2.41,2.35,2.29,0.35,0.65,0.65,0.88,1.18,1.71,1.41,1.59,0.0,0.12,0.12,0.12,12.82,13.71,4.12,5.24,4.06,3.71,11.24,12.94
Darmstadt,0.106,0.804,1.094,0.982,0.93,1.009,1.187,1.0,1.05,1.018,1.149,1.309,1.043,1.037,1.024,1.276,1.157,1.192,0.877,1.169,1.018,1.414,1.227,0.859,1.0,0.851,1.228,1.043,0.0,0.786,0.824,1.115,1.074,4.53,5.24,5.71,4.94,11.35,11.0,13.82,11.76,2.18,2.76,3.29,2.65,0.76,0.65,0.53,0.76,1.71,1.59,1.18,2.06,0.12,0.12,0.12,0.0,15.06,14.47,5.29,5.65,3.65,5.76,9.82,15.59
Greuther Furth,0.3,0.856,0.86,0.962,0.945,0.982,0.959,1.0,1.146,0.912,0.809,1.309,0.522,0.98,0.865,0.771,0.941,1.032,1.013,1.029,1.125,1.035,1.391,1.337,1.308,1.277,1.018,0.522,1.964,1.049,0.983,1.07,0.956,4.82,4.12,4.94,5.71,11.12,11.18,12.18,13.0,2.12,2.24,2.41,3.0,0.76,0.71,0.82,1.0,1.53,1.12,1.76,1.71,0.12,0.06,0.06,0.18,14.24,11.76,4.47,3.41,4.35,5.53,13.12,13.88
Kaiserslautern,0.159,1.149,0.835,1.003,1.114,0.982,1.086,1.308,0.573,1.193,0.936,0.0,0.522,1.102,1.32,0.997,1.026,1.18,1.065,1.199,1.099,1.313,0.955,0.955,1.077,0.936,1.158,1.565,0.655,1.063,1.183,1.15,0.976,6.47,4.0,5.65,6.0,11.59,13.18,14.18,12.71,2.12,2.53,3.06,2.06,1.0,0.35,0.59,0.82,2.0,1.29,1.29,1.94,0.0,0.06,0.18,0.06,16.0,12.82,6.82,4.41,5.24,5.94,13.29,14.18
Regensburg,0.131,0.93,0.799,1.283,1.149,1.009,0.985,0.538,0.477,0.491,0.383,1.964,0.522,0.778,0.592,0.691,0.908,1.327,0.992,1.124,1.013,1.035,0.9,0.955,1.615,0.809,1.825,0.522,0.0,1.068,1.01,1.218,1.102,5.24,3.82,6.35,5.59,14.82,13.59,13.29,11.71,2.18,2.29,2.41,1.94,0.41,0.29,0.59,1.24,0.82,0.53,1.12,3.06,0.18,0.06,0.06,0.0,11.29,11.35,3.06,3.06,4.47,6.29,13.35,16.0
