squadra,forma_avanzata_totale,forza_attacco_corner_casa,forza_attacco_corner_trasferta,forza_attacco_falli_casa,forza_attacco_falli_trasferta,forza_attacco_gialli_casa,forza_attacco_gialli_trasferta,forza_attacco_gol_1T_casa,forza_attacco_gol_1T_trasferta,forza_attacco_gol_casa,forza_attacco_gol_trasferta,forza_attacco_rossi_casa,forza_attacco_rossi_trasferta,forza_attacco_tiri_casa,forza_attacco_tiri_porta_casa,forza_attacco_tiri_porta_trasferta,forza_attacco_tiri_trasferta,forza_difesa_corner_casa,forza_difesa_corner_trasferta,forza_difesa_falli_casa,forza_difesa_falli_trasferta,forza_difesa_gialli_casa,forza_difesa_gialli_trasferta,forza_difesa_gol_1T_casa,forza_difesa_gol_1T_trasferta,forza_difesa_gol_casa,forza_difesa_gol_trasferta,forza_difesa_rossi_casa,forza_difesa_rossi_trasferta,forza_difesa_tiri_casa,forza_difesa_tiri_porta_casa,forza_difesa_tiri_porta_trasferta,forza_difesa_tiri_trasferta,media_corner_fatti_casa,media_corner_fatti_trasferta,media_corner_subiti_casa,media_corner_subiti_trasferta,media_falli_fatti_casa,media_falli_fatti_trasferta,media_falli_subiti_casa,media_falli_subiti_trasferta,media_gialli_fatti_casa,media_gialli_fatti_trasferta,media_gialli_subiti_casa,media_gialli_subiti_trasferta,media_gol_1T_fatti_casa,media_gol_1T_fatti_trasferta,media_gol_1T_subiti_casa,media_gol_1T_subiti_trasferta,media_gol_fatti_casa,media_gol_fatti_trasferta,media_gol_subiti_casa,media_gol_subiti_trasferta,media_rossi_fatti_casa,media_rossi_fatti_trasferta,media_rossi_subiti_casa,media_rossi_subiti_trasferta,media_tiri_fatti_casa,media_tiri_fatti_trasferta,media_tiri_porta_fatti_casa,media_tiri_porta_fatti_trasferta,media_tiri_porta_subiti_casa,media_tiri_porta_subiti_trasferta,media_tiri_subiti_casa,media_tiri_subiti_trasferta
Wolfsburg,0.167,0.912,1.106,0.933,0.954,1.009,1.218,0.373,1.349,0.924,1.17,1.5,0.581,0.916,0.855,0.926,1.032,1.134,1.028,1.033,1.004,1.079,0.883,1.349,0.596,1.211,0.821,1.161,0.0,1.062,1.05,0.955,1.028,5.06,4.65,4.76,5.71,10.06,10.59,11.47,10.82,1.88,2.59,2.29,1.65,0.29,0.94,0.94,0.47,1.59,1.71,1.76,1.41,0.12,0.06,0.12,0.0,13.47,12.12,4.53,3.94,4.47,5.06,12.47,15.12
Mainz,0.161,1.049,0.91,1.13,1.06,1.229,0.968,0.894,1.265,0.821,1.251,1.5,1.742,0.892,0.899,0.953,0.962,0.896,1.155,0.959,0.917,1.245,1.198,0.674,1.043,0.726,0.856,1.742,3.0,0.962,0.856,1.077,1.072,5.82,3.82,3.76,6.41,12.18,11.76,10.65,9.88,2.29,2.06,2.65,2.24,0.71,0.88,0.47,0.82,1.41,1.82,1.06,1.47,0.12,0.18,0.18,0.24,13.12,11.29,4.76,4.06,3.65,5.71,11.29,15.76
Werder Bremen,0.2,0.922,1.036,0.868,0.932,1.198,0.996,0.82,1.265,0.719,1.332,2.25,1.161,0.92,0.744,1.105,0.962,1.022,0.943,1.203,1.075,1.218,1.166,1.096,1.342,1.049,1.061,2.323,3.0,1.107,0.967,1.022,0.968,5.12,4.35,4.29,5.24,9.35,10.35,13.35,11.59,2.24,2.12,2.59,2.18,0.65,0.88,0.76,1.06,1.24,1.94,1.53,1.82,0.18,0.12,0.24,0.24,13.53,11.29,3.94,4.71,4.12,5.41,13.0,14.24
Augsburg,0.036,1.039,0.812,0.911,0.98,1.229,1.051,0.671,0.674,0.616,0.686,1.5,1.742,0.96,0.888,0.58,0.782,1.078,1.007,0.98,1.053,0.83,0.599,0.759,1.118,0.807,1.061,1.161,0.75,0.907,0.939,1.077,1.084,5.76,3.41,4.53,5.59,9.82,10.88,10.88,11.35,2.29,2.24,1.76,1.12,0.53,0.47,0.53,0.88,1.06,1.0,1.18,1.82,0.12,0.18,0.12,0.06,14.12,9.18,4.71,2.47,4.0,5.71,10.65,15.94
RB Leipzig,0.147,1.102,0.798,0.966,1.065,0.851,1.107,1.267,1.18,1.129,0.807,1.5,1.742,0.868,1.01,0.843,0.952,1.106,1.145,0.959,0.895,0.885,1.229,1.096,0.596,0.928,0.856,0.581,0.0,1.072,1.05,0.977,1.136,6.12,3.35,4.65,6.35,10.41,11.82,10.65,9.65,1.59,2.35,1.88,2.29,1.0,0.82,0.76,0.47,1.94,1.18,1.35,1.47,0.12,0.18,0.06,0.0,12.76,11.18,5.35,3.59,4.47,5.18,12.59,16.71
Leverkusen,0.186,1.378,1.204,0.846,0.901,0.946,0.83,1.416,1.77,1.232,1.453,0.75,0.0,1.192,1.233,1.119,1.047,0.644,0.731,0.938,1.037,1.051,0.883,1.012,0.671,0.888,0.719,0.581,0.0,0.716,0.815,0.866,0.772,7.65,5.06,2.71,4.06,9.12,10.0,10.41,11.18,1.76,1.76,2.24,1.65,1.12,1.24,0.71,0.53,2.12,2.12,1.29,1.24,0.06,0.0,0.06,0.0,17.53,12.29,6.53,4.76,3.47,4.59,8.41,11.35
Ein Frankfurt,0.378,0.965,1.078,0.944,0.895,0.662,0.941,1.491,1.18,1.403,1.09,0.0,0.581,1.088,1.099,1.16,1.032,1.036,1.039,0.842,0.901,0.747,0.977,0.927,0.522,0.888,0.821,1.742,0.0,0.977,1.022,1.022,1.056,5.35,4.53,4.35,5.76,10.18,9.94,9.35,9.71,1.24,2.0,1.59,1.82,1.18,0.82,0.65,0.41,2.41,1.59,1.29,1.41,0.0,0.06,0.18,0.0,16.0,12.12,5.82,4.94,4.35,5.41,11.47,15.53
Bayern Munich,0.357,1.208,1.47,0.764,0.821,0.63,0.775,1.64,1.602,1.814,1.857,0.75,0.0,1.444,1.699,1.602,1.398,0.63,0.456,0.858,1.07,0.802,1.135,0.422,0.596,0.646,0.548,0.581,0.75,0.576,0.649,0.422,0.46,6.71,6.18,2.65,2.53,8.24,9.12,9.53,11.53,1.18,1.65,1.71,2.12,1.29,1.12,0.29,0.47,3.12,2.71,0.94,0.94,0.06,0.0,0.06,0.06,21.24,16.41,9.0,6.82,2.76,2.24,6.76,6.76
Bochum,0.095,1.039,0.854,1.184,1.277,1.009,0.996,0.447,0.759,0.548,0.686,0.0,0.581,0.988,0.833,0.856,0.887,1.176,0.986,0.901,0.66,0.664,0.567,1.433,0.969,1.332,1.163,1.161,1.5,1.122,0.967,0.933,0.94,5.76,3.59,4.94,5.47,12.76,14.18,10.0,7.12,1.88,2.12,1.41,1.06,0.35,0.53,1.0,0.76,0.94,1.0,1.94,2.0,0.0,0.06,0.12,0.12,14.53,10.41,4.41,3.65,4.12,4.94,13.18,13.82
Freiburg,0.203,0.774,0.826,0.89,0.811,1.072,0.581,1.193,0.422,1.095,0.686,0.0,1.161,0.84,0.844,0.939,0.972,1.022,0.784,1.007,0.846,0.913,0.851,0.843,0.82,1.049,0.924,0.0,1.5,1.037,0.967,0.911,0.896,4.29,3.47,4.29,4.35,9.59,9.0,11.18,9.12,2.0,1.24,1.94,1.59,0.94,0.29,0.59,0.65,1.88,1.0,1.53,1.59,0.0,0.12,0.0,0.12,12.35,11.41,4.47,4.0,4.12,4.82,12.18,13.18
