squadra,forma_avanzata_totale,forza_attacco_corner_casa,forza_attacco_corner_trasferta,forza_attacco_falli_casa,forza_attacco_falli_trasferta,forza_attacco_gialli_casa,forza_attacco_gialli_trasferta,forza_attacco_gol_1T_casa,forza_attacco_gol_1T_trasferta,forza_attacco_gol_casa,forza_attacco_gol_trasferta,forza_attacco_rossi_casa,forza_attacco_rossi_trasferta,forza_attacco_tiri_casa,forza_attacco_tiri_porta_casa,forza_attacco_tiri_porta_trasferta,forza_attacco_tiri_trasferta,forza_difesa_corner_casa,forza_difesa_corner_trasferta,forza_difesa_falli_casa,forza_difesa_falli_trasferta,forza_difesa_gialli_casa,forza_difesa_gialli_trasferta,forza_difesa_gol_1T_casa,forza_difesa_gol_1T_trasferta,forza_difesa_gol_casa,forza_difesa_gol_trasferta,forza_difesa_rossi_casa,forza_difesa_rossi_trasferta,forza_difesa_tiri_casa,forza_difesa_tiri_porta_casa,forza_difesa_tiri_porta_trasferta,forza_difesa_tiri_trasferta,media_corner_fatti_casa,media_corner_fatti_trasferta,media_corner_subiti_casa,media_corner_subiti_trasferta,media_falli_fatti_casa,media_falli_fatti_trasferta,media_falli_subiti_casa,media_falli_subiti_trasferta,media_gialli_fatti_casa,media_gialli_fatti_trasferta,media_gialli_subiti_casa,media_gialli_subiti_trasferta,media_gol_1T_fatti_casa,media_gol_1T_fatti_trasferta,media_gol_1T_subiti_casa,media_gol_1T_subiti_trasferta,media_gol_fatti_casa,media_gol_fatti_trasferta,media_gol_subiti_casa,media_gol_subiti_trasferta,media_rossi_fatti_casa,media_rossi_fatti_trasferta,media_rossi_subiti_casa,media_rossi_subiti_trasferta,media_tiri_fatti_casa,media_tiri_fatti_trasferta,media_tiri_porta_fatti_casa,media_tiri_porta_fatti_trasferta,media_tiri_porta_subiti_casa,media_tiri_porta_subiti_trasferta,media_tiri_subiti_casa,media_tiri_subiti_trasferta
Sheffield Weds,0.194,1.124,1.207,1.051,1.117,0.843,1.09,0.718,0.697,0.894,1.177,1.0,0.667,1.084,1.018,0.931,1.021,0.891,1.042,0.966,1.119,1.007,0.868,0.871,1.176,1.256,1.103,0.0,2.0,1.029,1.1,0.805,0.842,6.61,5.48,4.04,6.13,11.43,12.83,11.09,12.17,1.48,2.26,2.09,1.52,0.48,0.35,0.43,0.78,1.3,1.3,1.39,1.61,0.04,0.04,0.0,0.09,14.78,10.96,4.57,3.35,3.96,3.61,11.04,11.48
Oxford,0.329,0.658,0.747,0.955,0.901,0.868,0.944,0.653,0.784,0.924,0.706,0.0,0.0,0.816,0.882,0.737,0.786,1.409,1.175,0.951,0.963,1.048,0.794,1.22,0.849,1.138,1.073,2.667,2.0,1.159,1.064,1.163,1.174,3.87,3.39,6.39,6.91,10.39,10.35,10.91,10.48,1.52,1.96,2.17,1.39,0.43,0.39,0.61,0.57,1.35,0.78,1.26,1.57,0.0,0.0,0.17,0.09,11.13,8.43,3.96,2.65,3.83,5.22,12.43,16.0
Derby,0.215,0.902,1.016,1.075,1.083,0.992,1.048,0.784,0.61,0.745,0.903,0.0,0.0,0.871,0.776,0.786,0.766,1.092,0.924,0.833,0.815,0.713,0.819,0.697,0.849,0.706,1.133,0.0,0.0,0.903,0.834,0.95,0.95,5.3,4.61,4.96,5.43,11.7,12.43,9.57,8.87,1.74,2.17,1.48,1.43,0.52,0.3,0.35,0.57,1.09,1.0,0.78,1.65,0.0,0.0,0.0,0.0,11.87,8.22,3.48,2.83,3.0,4.26,9.7,12.96
Hull,0.118,1.005,0.872,1.035,1.076,0.67,0.944,0.588,0.61,0.716,0.785,1.0,1.333,0.925,0.853,0.907,0.956,1.054,1.042,0.924,0.947,0.986,0.967,0.784,0.588,1.099,0.775,0.0,0.0,1.037,1.027,0.921,1.078,5.91,3.96,4.78,6.13,11.26,12.35,10.61,10.3,1.17,1.96,2.04,1.7,0.39,0.3,0.39,0.39,1.04,0.87,1.22,1.13,0.04,0.09,0.0,0.0,12.61,10.26,3.83,3.26,3.7,4.13,11.13,14.7
Coventry,0.284,1.131,1.16,0.967,0.992,0.992,0.755,1.371,0.958,1.193,0.942,0.0,0.667,1.145,1.183,0.943,0.992,0.882,1.227,0.951,0.903,1.09,0.868,1.22,0.849,0.942,1.014,2.667,3.0,0.944,0.858,1.008,0.96,6.65,5.26,4.0,7.22,10.52,11.39,10.91,9.83,1.74,1.57,2.26,1.52,0.91,0.48,0.61,0.57,1.74,1.04,1.04,1.48,0.0,0.04,0.17,0.13,15.61,10.65,5.3,3.39,3.09,4.52,10.13,13.09
QPR,0.301,0.946,0.977,1.019,0.928,1.042,1.069,1.045,0.523,0.924,0.863,1.0,1.333,0.995,1.047,0.81,0.875,1.035,1.146,1.102,1.087,0.818,0.893,1.655,0.914,1.334,0.865,2.667,1.0,0.92,0.931,1.047,0.95,5.57,4.43,4.7,6.74,11.09,10.65,12.65,11.83,1.83,2.22,1.7,1.57,0.7,0.26,0.83,0.61,1.35,0.96,1.48,1.26,0.04,0.09,0.17,0.04,13.57,9.39,4.7,2.91,3.35,4.7,9.87,12.96
Leeds,0.359,1.412,1.313,0.919,0.917,0.769,0.818,1.894,1.22,1.819,1.334,0.0,0.0,1.365,1.483,1.318,1.345,0.565,0.569,1.079,1.119,0.881,1.017,0.523,0.849,0.471,0.537,0.667,2.0,0.49,0.568,0.533,0.6,8.3,5.96,2.57,3.35,10.0,10.52,12.39,12.17,1.35,1.7,1.83,1.78,1.26,0.61,0.26,0.57,2.65,1.48,0.52,0.78,0.0,0.0,0.04,0.09,18.61,14.43,6.65,4.74,2.04,2.39,5.26,8.17
Norwich,0.076,0.939,0.949,1.051,1.061,0.943,0.944,1.502,0.697,1.55,0.746,1.0,0.667,1.001,1.173,0.858,0.944,0.968,0.991,0.951,1.003,1.048,1.166,1.481,1.437,1.334,1.014,0.667,2.0,1.017,1.052,0.911,0.928,5.52,4.3,4.39,5.83,11.43,12.17,10.91,10.91,1.65,1.96,2.17,2.04,1.0,0.35,0.74,0.96,2.26,0.83,1.48,1.48,0.04,0.04,0.04,0.09,13.65,10.13,5.26,3.09,3.78,4.09,10.91,12.65
Millwall,0.36,0.865,1.006,1.151,1.17,0.744,0.923,0.784,0.697,0.805,0.785,1.0,0.0,0.922,0.834,0.979,0.944,1.092,1.005,1.098,0.979,0.818,0.645,0.697,1.045,0.746,0.894,0.0,0.0,0.835,0.834,0.863,0.954,5.09,4.57,4.96,5.91,12.52,13.43,12.61,10.65,1.3,1.91,1.7,1.13,0.52,0.35,0.35,0.7,1.17,0.87,0.83,1.3,0.04,0.0,0.0,0.0,12.57,10.13,3.74,3.52,3.0,3.87,8.96,13.0
Preston,0.07,0.798,0.795,1.131,1.136,1.29,1.195,0.653,0.958,0.775,0.863,2.0,1.333,0.887,0.814,0.882,0.887,1.054,1.005,1.11,0.963,0.839,0.744,0.697,0.98,0.863,1.103,0.667,1.0,0.992,0.919,0.94,0.986,4.7,3.61,4.78,5.91,12.3,13.04,12.74,10.48,2.26,2.48,1.74,1.3,0.43,0.48,0.35,0.65,1.13,0.96,0.96,1.61,0.09,0.09,0.04,0.04,12.09,9.52,3.65,3.17,3.3,4.22,10.65,13.43
