squadra,forma_avanzata_totale,forza_attacco_corner_casa,forza_attacco_corner_trasferta,forza_attacco_falli_casa,forza_attacco_falli_trasferta,forza_attacco_gialli_casa,forza_attacco_gialli_trasferta,forza_attacco_gol_1T_casa,forza_attacco_gol_1T_trasferta,forza_attacco_gol_casa,forza_attacco_gol_trasferta,forza_attacco_rossi_casa,forza_attacco_rossi_trasferta,forza_attacco_tiri_casa,forza_attacco_tiri_porta_casa,forza_attacco_tiri_porta_trasferta,forza_attacco_tiri_trasferta,forza_difesa_corner_casa,forza_difesa_corner_trasferta,forza_difesa_falli_casa,forza_difesa_falli_trasferta,forza_difesa_gialli_casa,forza_difesa_gialli_trasferta,forza_difesa_gol_1T_casa,forza_difesa_gol_1T_trasferta,forza_difesa_gol_casa,forza_difesa_gol_trasferta,forza_difesa_rossi_casa,forza_difesa_rossi_trasferta,forza_difesa_tiri_casa,forza_difesa_tiri_porta_casa,forza_difesa_tiri_porta_trasferta,forza_difesa_tiri_trasferta,media_corner_fatti_casa,media_corner_fatti_trasferta,media_corner_subiti_casa,media_corner_subiti_trasferta,media_falli_fatti_casa,media_falli_fatti_trasferta,media_falli_subiti_casa,media_falli_subiti_trasferta,media_gialli_fatti_casa,media_gialli_fatti_trasferta,media_gialli_subiti_casa,media_gialli_subiti_trasferta,media_gol_1T_fatti_casa,media_gol_1T_fatti_trasferta,media_gol_1T_subiti_casa,media_gol_1T_subiti_trasferta,media_gol_fatti_casa,media_gol_fatti_trasferta,media_gol_subiti_casa,media_gol_subiti_trasferta,media_rossi_fatti_casa,media_rossi_fatti_trasferta,media_rossi_subiti_casa,media_rossi_subiti_trasferta,media_tiri_fatti_casa,media_tiri_fatti_trasferta,media_tiri_porta_fatti_casa,media_tiri_porta_fatti_trasferta,media_tiri_porta_subiti_casa,media_tiri_porta_subiti_trasferta,media_tiri_subiti_casa,media_tiri_subiti_trasferta
Nijmegen,0.302,0.865,1.038,1.141,1.038,0.829,1.162,0.954,0.407,1.223,0.638,0.655,1.532,0.977,0.94,0.834,0.894,1.129,1.102,1.107,1.05,1.303,0.829,1.119,1.033,1.021,0.747,0.766,1.964,1.003,1.08,0.973,1.035,4.94,4.71,5.12,6.29,11.06,10.59,11.29,10.18,1.06,1.94,2.18,1.06,0.71,0.24,0.65,0.76,2.12,0.88,1.41,1.29,0.06,0.12,0.06,0.18,14.94,10.65,5.12,3.59,4.65,5.29,11.94,15.82
Zwolle,0.208,0.917,0.688,1.184,1.072,1.197,0.775,0.556,1.22,0.815,0.809,0.655,1.532,0.847,0.746,0.834,0.79,1.038,0.979,1.147,1.081,0.986,1.151,0.61,0.954,0.851,1.053,0.766,0.655,1.062,1.039,0.919,0.985,5.24,3.12,4.71,5.59,11.47,10.94,11.71,10.47,1.53,1.29,1.65,1.47,0.41,0.71,0.35,0.71,1.41,1.12,1.18,1.82,0.06,0.12,0.06,0.06,12.94,9.41,4.06,3.59,4.47,5.0,12.65,15.06
Heracles,0.087,1.071,0.934,1.22,1.274,1.473,0.916,1.033,0.814,0.985,0.553,1.309,0.0,0.92,0.854,0.629,0.701,0.947,0.979,1.13,1.075,0.986,0.506,1.119,1.351,1.149,1.223,1.532,0.0,1.141,1.285,1.059,1.062,6.12,4.24,4.29,5.59,11.82,13.0,11.53,10.41,1.88,1.53,1.65,0.65,0.76,0.47,0.65,1.0,1.71,0.76,1.59,2.12,0.12,0.0,0.12,0.0,14.06,8.35,4.65,2.71,5.53,5.76,13.59,16.24
AZ Alkmaar,0.322,1.143,1.311,1.032,1.049,0.737,1.268,0.715,1.525,1.019,1.191,0.655,2.298,1.12,1.167,1.107,0.998,0.688,0.793,1.032,1.111,1.268,1.749,0.814,0.477,0.723,0.679,0.0,3.927,0.78,0.683,0.562,0.704,6.53,5.94,3.12,4.53,10.0,10.71,10.53,10.76,0.94,2.12,2.12,2.24,0.53,0.88,0.47,0.35,1.76,1.65,1.0,1.18,0.06,0.18,0.0,0.35,17.12,11.88,6.35,4.76,2.94,3.06,9.29,10.76
Sparta Rotterdam,0.165,0.876,0.87,0.983,0.911,0.921,1.022,0.556,0.61,0.679,0.809,1.309,0.766,0.92,0.854,1.148,1.131,1.09,1.123,0.94,0.874,1.022,0.829,1.119,0.556,1.021,0.645,1.532,1.309,0.998,0.943,0.94,1.116,5.0,3.94,4.94,6.41,9.53,9.29,9.59,8.47,1.18,1.71,1.71,1.06,0.41,0.35,0.65,0.41,1.18,1.12,1.41,1.12,0.12,0.06,0.12,0.12,14.06,13.47,4.65,4.94,4.06,5.12,11.88,17.06
Groningen,0.113,0.958,0.662,0.996,1.009,1.105,1.162,1.033,0.814,0.917,0.553,1.309,3.064,0.808,0.973,0.779,0.78,0.857,0.906,1.049,1.038,1.092,0.967,0.712,1.51,0.596,1.325,0.766,0.655,0.864,0.724,1.038,0.947,5.47,3.0,3.88,5.18,9.65,10.29,10.71,10.06,1.41,1.94,1.82,1.24,0.76,0.47,0.41,1.12,1.59,0.76,0.82,2.29,0.12,0.24,0.06,0.06,12.35,9.29,5.29,3.35,3.12,5.65,10.29,14.47
Utrecht,0.214,0.865,0.986,1.062,1.072,0.829,1.022,1.113,1.424,0.951,1.447,0.655,0.0,1.05,0.854,1.121,1.072,0.986,1.009,1.141,1.062,1.409,1.197,1.017,0.874,1.021,0.713,1.532,1.309,0.855,0.916,0.94,0.958,4.94,4.47,4.47,5.76,10.29,10.94,11.65,10.29,1.06,1.71,2.35,1.53,0.82,0.82,0.59,0.65,1.65,2.0,1.41,1.24,0.06,0.0,0.12,0.12,16.06,12.76,4.65,4.82,3.94,5.12,10.18,14.65
Willem II,0.048,0.68,0.792,0.959,1.066,1.335,1.092,0.636,1.017,0.679,0.596,1.309,0.0,0.673,0.659,0.629,0.627,1.337,1.288,0.819,0.971,0.845,0.783,1.119,1.033,1.149,0.985,0.0,0.0,1.363,1.148,1.07,1.193,3.88,3.59,6.06,7.35,9.29,10.88,8.35,9.41,1.71,1.82,1.41,1.0,0.47,0.59,0.65,0.76,1.18,0.82,1.59,1.71,0.12,0.0,0.0,0.0,10.29,7.47,3.59,2.71,4.94,5.82,16.24,18.24
Twente,0.222,0.937,1.129,1.032,0.986,0.737,0.881,1.43,1.22,1.223,1.106,0.0,0.766,1.066,1.092,1.093,1.062,0.818,0.855,1.026,1.135,1.057,1.059,1.119,1.192,0.894,0.951,0.0,0.0,0.83,0.806,0.692,0.743,5.35,5.12,3.71,4.88,10.0,10.06,10.47,11.0,0.94,1.47,1.76,1.35,1.06,0.71,0.65,0.88,2.12,1.53,1.24,1.65,0.0,0.06,0.0,0.0,16.29,12.65,5.94,4.71,3.47,3.76,9.88,11.35
Waalwijk,0.269,0.865,0.882,0.874,0.945,1.151,0.634,0.795,0.407,0.849,0.809,1.964,3.064,0.831,0.8,0.875,0.924,1.402,1.236,0.945,0.82,0.845,0.645,1.525,1.828,1.319,1.46,0.766,0.655,1.255,1.175,1.232,1.239,4.94,4.0,6.35,7.06,8.47,9.65,9.65,7.94,1.47,1.06,1.41,0.82,0.59,0.24,0.88,1.35,1.47,1.12,1.82,2.53,0.18,0.24,0.06,0.06,12.71,11.0,4.35,3.76,5.06,6.71,14.94,18.94
Go Ahead Eagles,0.166,0.937,1.142,0.929,0.922,0.829,0.916,1.033,1.017,1.087,1.064,0.0,1.532,1.0,0.973,0.902,1.102,1.064,1.061,1.049,0.965,1.022,1.197,1.424,0.874,0.936,1.121,1.532,0.655,1.082,0.929,1.113,1.208,5.35,5.18,4.82,6.06,9.0,9.41,10.71,9.35,1.06,1.53,1.71,1.53,0.76,0.59,0.82,0.65,1.88,1.47,1.29,1.94,0.0,0.12,0.12,0.06,15.29,13.12,5.29,3.88,4.0,6.06,12.88,18.47
Ajax,0.243,1.185,0.96,1.032,1.055,0.875,1.057,1.51,0.915,1.291,1.234,0.655,0.0,1.039,1.048,1.066,1.052,0.519,0.7,1.141,1.238,1.022,1.197,0.305,0.477,0.596,0.611,2.298,1.309,0.751,0.779,0.659,0.77,6.76,4.35,2.35,4.0,10.0,10.76,11.65,12.0,1.12,1.76,1.71,1.53,1.12,0.53,0.18,0.35,2.24,1.71,0.82,1.06,0.06,0.0,0.18,0.12,15.88,12.53,5.71,4.59,3.35,3.59,8.94,11.76
Feyenoord,0.177,1.092,1.402,0.929,0.842,0.737,0.845,1.589,1.729,1.291,1.617,0.655,0.766,1.131,1.07,1.503,1.299,0.662,0.649,1.188,1.226,0.951,1.151,0.814,0.795,0.766,0.679,0.0,1.309,0.8,0.752,0.702,0.658,6.24,6.35,3.0,3.71,9.0,8.59,12.12,11.88,0.94,1.41,1.59,1.47,1.18,1.0,0.47,0.59,2.24,2.24,1.06,1.18,0.06,0.06,0.0,0.12,17.29,15.47,5.82,6.47,3.24,3.82,9.53,10.06
Heerenveen,0.321,1.082,0.779,1.178,1.136,0.875,0.845,1.192,0.508,1.019,0.511,0.655,0.766,1.004,0.951,0.82,0.943,0.87,0.855,0.922,1.141,1.057,0.645,0.915,1.272,0.638,1.426,2.298,0.0,0.815,0.738,1.254,0.966,6.18,3.53,3.94,4.88,11.41,11.59,9.41,11.06,1.12,1.41,1.76,0.82,0.88,0.29,0.53,0.94,1.76,0.71,0.88,2.47,0.06,0.06,0.18,0.0,15.35,11.24,5.18,3.53,3.18,6.82,9.71,14.76
For Sittard,0.14,0.927,0.74,1.153,1.124,1.289,1.374,0.556,0.814,0.577,0.851,1.309,0.766,0.773,0.616,0.738,0.776,0.999,1.185,1.141,1.172,0.775,0.967,1.017,0.874,1.021,1.019,0.0,1.309,0.894,1.052,0.994,1.035,5.29,3.35,4.53,6.76,11.18,11.47,11.65,11.35,1.65,2.29,1.29,1.24,0.41,0.47,0.59,0.65,1.0,1.18,1.41,1.76,0.12,0.06,0.0,0.12,11.82,9.24,3.35,3.18,4.53,5.41,10.65,15.82
NAC Breda,0.058,0.814,0.779,1.075,1.015,1.335,1.057,0.795,0.61,0.713,0.553,2.618,0.766,0.854,0.8,0.738,0.855,1.077,1.133,1.026,0.923,0.916,0.875,0.915,1.192,0.936,1.223,1.532,0.0,1.166,1.134,1.059,1.1,4.65,3.53,4.88,6.47,10.41,10.35,10.47,8.94,1.71,1.76,1.53,1.12,0.59,0.35,0.53,0.88,1.24,0.76,1.29,2.12,0.24,0.06,0.12,0.0,13.06,10.18,4.35,3.18,4.88,5.76,13.88,16.82
Almere City,0.134,0.865,0.805,1.056,1.072,0.967,1.127,0.397,0.814,0.442,0.426,1.964,0.0,0.923,0.767,0.656,0.864,1.168,1.195,0.934,0.844,0.81,0.691,1.424,1.272,1.532,0.951,0.766,1.964,1.018,1.175,1.059,1.085,4.94,3.65,5.29,6.82,10.24,10.94,9.53,8.18,1.24,1.88,1.35,0.88,0.29,0.47,0.82,0.94,0.76,0.59,2.12,1.65,0.18,0.0,0.06,0.18,14.12,10.29,4.18,2.82,5.06,5.76,12.12,16.59
PSV Eindhoven,0.472,1.483,1.428,0.753,0.928,0.322,0.986,2.543,1.831,1.868,2.043,0.655,0.0,1.447,1.729,1.544,1.482,0.675,0.515,0.778,0.862,0.775,1.105,0.61,0.874,0.638,0.815,1.532,1.309,0.677,0.656,0.627,0.581,8.47,6.47,3.06,2.94,7.29,9.47,7.94,8.35,0.41,1.65,1.29,1.41,1.88,1.06,0.35,0.65,3.24,2.82,0.88,1.41,0.06,0.0,0.12,0.12,22.12,17.65,9.41,6.65,2.82,3.41,8.06,8.88
