squadra,forma_avanzata_totale,forza_attacco_corner_casa,forza_attacco_corner_trasferta,forza_attacco_falli_casa,forza_attacco_falli_trasferta,forza_attacco_gialli_casa,forza_attacco_gialli_trasferta,forza_attacco_gol_1T_casa,forza_attacco_gol_1T_trasferta,forza_attacco_gol_casa,forza_attacco_gol_trasferta,forza_attacco_rossi_casa,forza_attacco_rossi_trasferta,forza_attacco_tiri_casa,forza_attacco_tiri_porta_casa,forza_attacco_tiri_porta_trasferta,forza_attacco_tiri_trasferta,forza_difesa_corner_casa,forza_difesa_corner_trasferta,forza_difesa_falli_casa,forza_difesa_falli_trasferta,forza_difesa_gialli_casa,forza_difesa_gialli_trasferta,forza_difesa_gol_1T_casa,forza_difesa_gol_1T_trasferta,forza_difesa_gol_casa,forza_difesa_gol_trasferta,forza_difesa_rossi_casa,forza_difesa_rossi_trasferta,forza_difesa_tiri_casa,forza_difesa_tiri_porta_casa,forza_difesa_tiri_porta_trasferta,forza_difesa_tiri_trasferta,media_corner_fatti_casa,media_corner_fatti_trasferta,media_corner_subiti_casa,media_corner_subiti_trasferta,media_falli_fatti_casa,media_falli_fatti_trasferta,media_falli_subiti_casa,media_falli_subiti_trasferta,media_gialli_fatti_casa,media_gialli_fatti_trasferta,media_gialli_subiti_casa,media_gialli_subiti_trasferta,media_gol_1T_fatti_casa,media_gol_1T_fatti_trasferta,media_gol_1T_subiti_casa,media_gol_1T_subiti_trasferta,media_gol_fatti_casa,media_gol_fatti_trasferta,media_gol_subiti_casa,media_gol_subiti_trasferta,media_rossi_fatti_casa,media_rossi_fatti_trasferta,media_rossi_subiti_casa,media_rossi_subiti_trasferta,media_tiri_fatti_casa,media_tiri_fatti_trasferta,media_tiri_porta_fatti_casa,media_tiri_porta_fatti_trasferta,media_tiri_porta_subiti_casa,media_tiri_porta_subiti_trasferta,media_tiri_subiti_casa,media_tiri_subiti_trasferta
Cercle Brugge,0.054,1.214,1.14,1.018,0.995,0.945,0.931,0.873,0.86,0.768,0.79,2.213,1.333,1.108,1.011,1.014,1.007,0.932,0.946,1.14,0.938,1.304,1.075,1.051,1.349,1.022,1.222,0.889,2.95,0.815,0.896,1.088,0.961,6.56,5.17,4.22,5.11,10.56,11.44,13.11,9.72,1.61,1.94,2.72,1.83,0.61,0.5,0.61,0.94,1.22,0.94,1.22,1.94,0.17,0.17,0.11,0.22,15.89,11.94,5.11,4.28,3.78,5.5,9.67,13.78
Club Brugge,0.513,1.083,1.18,0.911,0.839,0.557,0.91,1.285,2.235,1.445,1.673,0.664,0.4,1.367,1.612,1.387,1.306,0.706,0.926,1.009,1.003,1.078,1.232,0.774,0.428,0.878,0.66,0.8,1.328,0.733,0.723,0.772,0.771,5.85,5.35,3.2,5.0,9.45,9.65,11.6,10.4,0.95,1.9,2.25,2.1,0.9,1.3,0.45,0.3,2.3,2.0,1.05,1.05,0.05,0.05,0.1,0.1,19.6,15.5,8.15,5.85,3.05,3.9,8.7,11.05
St. Gilloise,0.674,1.037,1.092,1.177,1.152,1.466,1.149,1.357,1.547,1.257,1.297,0.664,0.8,1.116,1.187,1.067,0.931,0.971,0.741,1.018,0.96,1.485,1.144,0.344,0.357,0.544,0.471,1.6,1.991,0.678,0.676,0.683,0.711,5.6,4.95,4.4,4.0,12.2,13.25,11.7,9.95,2.5,2.4,3.1,1.95,0.95,0.9,0.2,0.25,2.0,1.55,0.65,0.75,0.05,0.1,0.2,0.15,16.0,11.05,6.0,4.5,2.85,3.45,8.05,10.2
Mechelen,0.182,1.092,1.037,0.94,0.874,1.056,0.862,1.285,0.688,1.257,0.92,0.664,0.8,1.018,1.118,1.114,1.074,0.827,1.194,0.905,0.926,0.79,0.997,1.289,1.142,1.129,0.943,0.8,1.328,1.007,1.008,1.029,1.022,5.9,4.7,3.75,6.45,9.75,10.05,10.4,9.6,1.8,1.8,1.65,1.7,0.9,0.4,0.75,0.8,2.0,1.1,1.35,1.5,0.05,0.1,0.1,0.1,14.6,12.75,5.65,4.7,4.25,5.2,11.95,14.65
Dender,0.203,0.768,0.883,0.936,0.87,1.085,0.742,1.071,1.203,0.785,1.171,1.328,0.4,0.715,0.722,0.889,0.906,1.059,0.87,0.939,0.926,0.694,0.528,1.031,1.714,0.92,1.571,0.8,0.0,1.146,0.96,1.266,1.151,4.15,4.0,4.8,4.7,9.7,10.0,10.8,9.6,1.85,1.55,1.45,0.9,0.75,0.7,0.6,1.2,1.25,1.4,1.1,2.5,0.1,0.05,0.1,0.0,10.25,10.75,3.65,3.75,4.05,6.4,13.6,16.5
St Truiden,0.055,1.039,0.968,0.911,0.918,1.01,1.171,1.19,0.669,1.012,0.976,0.738,2.222,1.023,1.011,1.001,1.011,1.128,1.029,0.846,0.766,0.878,0.815,1.528,1.666,1.255,1.362,1.333,1.475,1.133,1.133,0.879,0.976,5.61,4.39,5.11,5.56,9.44,10.56,9.72,7.94,1.72,2.44,1.83,1.39,0.83,0.39,0.89,1.17,1.61,1.17,1.5,2.17,0.06,0.28,0.17,0.11,14.67,12.0,5.11,4.22,4.78,4.44,13.44,14.0
Standard,0.129,0.852,0.739,0.974,1.07,0.616,0.982,0.571,0.43,0.471,0.502,0.0,1.2,0.802,0.762,0.569,0.779,1.092,1.241,1.0,0.863,1.149,0.938,0.258,0.928,0.627,0.88,0.8,0.664,1.049,0.901,0.95,1.098,4.6,3.35,4.95,6.7,10.1,12.3,11.5,8.95,1.05,2.05,2.4,1.6,0.4,0.25,0.15,0.65,0.75,0.6,0.75,1.4,0.0,0.15,0.1,0.05,11.5,9.25,3.85,2.4,3.8,4.8,12.45,15.75
Antwerp,0.292,0.981,1.037,1.022,1.1,1.085,1.054,0.785,1.203,1.163,0.836,0.664,1.2,0.945,0.999,0.96,0.906,0.816,1.028,0.813,1.071,0.814,1.173,1.289,0.714,1.213,0.66,0.4,1.991,1.163,1.375,1.058,1.039,5.3,4.7,3.7,5.55,10.6,12.65,9.35,11.1,1.85,2.2,1.7,2.0,0.55,0.7,0.75,0.5,1.85,1.0,1.45,1.05,0.05,0.15,0.05,0.15,13.55,10.75,5.05,4.05,5.8,5.35,13.8,14.9
Westerlo,0.227,1.259,1.136,0.825,1.026,1.144,1.461,1.214,1.203,1.257,1.213,1.328,0.8,1.207,1.217,1.304,1.171,1.258,1.157,0.879,0.998,0.694,1.232,1.203,1.071,1.255,1.1,0.0,1.328,0.986,0.901,1.118,1.102,6.8,5.15,5.7,6.25,8.55,11.8,10.1,10.35,1.95,3.05,1.45,2.1,0.85,0.7,0.7,0.75,2.0,1.45,1.5,1.75,0.1,0.1,0.0,0.1,17.3,13.9,6.15,5.5,3.8,5.65,11.7,15.8
Anderlecht,0.196,1.009,1.07,0.887,0.974,0.85,0.934,1.285,0.602,1.163,1.046,0.0,0.8,1.025,1.058,0.889,0.919,0.827,1.12,1.157,1.259,1.173,1.085,1.117,0.785,0.878,0.597,0.8,3.319,0.902,1.019,0.989,1.046,5.45,4.85,3.75,6.05,9.2,11.2,13.3,13.05,1.45,1.95,2.45,1.85,0.9,0.35,0.65,0.55,1.85,1.25,1.05,0.95,0.0,0.1,0.1,0.25,14.7,10.9,5.35,3.75,4.3,5.0,10.7,15.0
