squadra,forma_avanzata_totale,forza_attacco_corner_casa,forza_attacco_corner_trasferta,forza_attacco_falli_casa,forza_attacco_falli_trasferta,forza_attacco_gialli_casa,forza_attacco_gialli_trasferta,forza_attacco_gol_1T_casa,forza_attacco_gol_1T_trasferta,forza_attacco_gol_casa,forza_attacco_gol_trasferta,forza_attacco_rossi_casa,forza_attacco_rossi_trasferta,forza_attacco_tiri_casa,forza_attacco_tiri_porta_casa,forza_attacco_tiri_porta_trasferta,forza_attacco_tiri_trasferta,forza_difesa_corner_casa,forza_difesa_corner_trasferta,forza_difesa_falli_casa,forza_difesa_falli_trasferta,forza_difesa_gialli_casa,forza_difesa_gialli_trasferta,forza_difesa_gol_1T_casa,forza_difesa_gol_1T_trasferta,forza_difesa_gol_casa,forza_difesa_gol_trasferta,forza_difesa_rossi_casa,forza_difesa_rossi_trasferta,forza_difesa_tiri_casa,forza_difesa_tiri_porta_casa,forza_difesa_tiri_porta_trasferta,forza_difesa_tiri_trasferta,media_corner_fatti_casa,media_corner_fatti_trasferta,media_corner_subiti_casa,media_corner_subiti_trasferta,media_falli_fatti_casa,media_falli_fatti_trasferta,media_falli_subiti_casa,media_falli_subiti_trasferta,media_gialli_fatti_casa,media_gialli_fatti_trasferta,media_gialli_subiti_casa,media_gialli_subiti_trasferta,media_gol_1T_fatti_casa,media_gol_1T_fatti_trasferta,media_gol_1T_subiti_casa,media_gol_1T_subiti_trasferta,media_gol_fatti_casa,media_gol_fatti_trasferta,media_gol_subiti_casa,media_gol_subiti_trasferta,media_rossi_fatti_casa,media_rossi_fatti_trasferta,media_rossi_subiti_casa,media_rossi_subiti_trasferta,media_tiri_fatti_casa,media_tiri_fatti_trasferta,media_tiri_porta_fatti_casa,media_tiri_porta_fatti_trasferta,media_tiri_porta_subiti_casa,media_tiri_porta_subiti_trasferta,media_tiri_subiti_casa,media_tiri_subiti_trasferta
Barcelona,0.471,1.595,1.323,0.792,0.74,0.564,0.883,2.403,1.592,1.864,2.262,0.0,1.429,1.525,1.573,1.567,1.427,0.707,0.925,0.951,1.043,0.795,1.198,0.743,0.853,0.905,0.681,0.476,0.494,0.587,0.668,0.72,0.698,8.53,5.42,2.89,4.95,9.95,9.42,12.11,13.11,1.26,2.11,1.89,2.68,1.63,0.79,0.37,0.58,2.74,2.63,1.05,1.0,0.0,0.16,0.05,0.05,20.58,15.11,7.47,5.68,2.42,3.42,6.21,9.42
Villarreal,0.423,0.984,1.066,0.905,0.926,1.057,1.148,2.016,1.273,1.541,1.267,0.988,0.952,1.127,1.163,1.074,1.188,1.156,0.886,1.005,1.039,0.949,1.221,1.273,1.163,1.222,0.86,0.476,2.963,1.188,1.176,0.964,0.956,5.26,4.37,4.74,4.74,11.37,11.79,12.79,13.05,2.37,2.74,2.26,2.74,1.37,0.63,0.63,0.79,2.26,1.47,1.42,1.26,0.11,0.11,0.05,0.32,15.21,12.58,5.53,3.89,4.26,4.58,12.58,12.89
Valencia,0.145,1.093,0.964,0.963,0.877,1.104,0.839,1.085,0.743,0.932,0.814,0.494,0.0,0.843,0.853,0.682,0.84,0.977,1.122,1.03,0.943,1.258,0.681,1.061,1.55,0.905,1.219,0.952,0.494,0.945,0.972,0.942,0.925,5.84,3.95,4.0,6.0,12.11,11.16,13.11,11.84,2.47,2.0,3.0,1.53,0.74,0.37,0.53,1.05,1.37,0.95,1.05,1.79,0.05,0.0,0.11,0.05,11.37,8.89,4.05,2.47,3.53,4.47,10.0,12.47
Betis,0.151,1.014,1.208,0.834,0.951,0.916,0.773,1.085,1.167,1.147,1.131,0.494,1.429,1.178,1.141,1.263,1.119,0.938,0.876,1.108,1.173,1.17,1.127,0.955,0.93,0.95,1.039,1.429,1.975,0.84,0.798,0.997,0.968,5.42,4.95,3.84,4.68,10.47,12.11,14.11,14.74,2.05,1.84,2.79,2.53,0.74,0.58,0.47,0.63,1.68,1.32,1.11,1.53,0.05,0.16,0.16,0.21,15.89,11.84,5.42,4.58,2.89,4.74,8.89,13.05
Ath Bilbao,0.252,0.984,1.208,1.047,0.959,0.775,0.684,1.318,0.743,1.147,0.995,0.494,0.952,1.007,0.997,0.929,1.054,0.848,0.876,0.802,0.888,0.883,0.986,0.424,0.465,0.588,0.573,0.476,0.988,0.736,0.653,0.775,0.765,5.26,4.95,3.47,4.68,13.16,12.21,10.21,11.16,1.74,1.63,2.11,2.21,0.89,0.37,0.21,0.32,1.68,1.16,0.68,0.84,0.05,0.11,0.05,0.11,13.58,11.16,4.74,3.37,2.37,3.68,7.79,10.32
Sociedad,0.083,1.26,1.131,1.135,0.951,1.033,0.905,0.775,0.637,0.717,0.679,0.494,1.429,0.886,0.908,0.74,0.795,0.912,1.073,0.922,0.926,0.993,0.893,0.743,1.085,0.905,0.932,0.0,0.0,0.875,0.914,0.897,1.018,6.74,4.63,3.74,5.74,14.26,12.11,11.74,11.63,2.32,2.16,2.37,2.0,0.53,0.32,0.37,0.74,1.05,0.79,1.05,1.37,0.05,0.16,0.0,0.0,11.95,8.42,4.32,2.68,3.32,4.26,9.26,13.74
Sevilla,0.027,0.975,1.105,1.043,1.001,1.339,0.883,0.698,1.167,0.609,1.131,2.469,1.429,0.999,0.875,1.161,1.074,0.964,0.886,0.947,0.838,1.302,0.775,0.849,1.473,1.041,1.147,0.952,0.988,0.955,0.885,0.953,0.854,5.21,4.53,3.95,4.74,13.11,12.74,12.05,10.53,3.0,2.11,3.11,1.74,0.47,0.58,0.42,1.0,0.89,1.32,1.21,1.68,0.26,0.16,0.11,0.11,13.47,11.37,4.16,4.21,3.21,4.53,10.11,11.53
Ath Madrid,0.33,1.093,1.015,0.825,0.864,0.869,0.861,1.24,1.167,1.505,1.176,0.988,0.476,1.081,1.252,1.016,0.95,0.835,0.778,0.926,0.934,0.839,0.705,0.637,0.543,0.679,0.538,0.0,0.0,0.8,0.74,0.753,0.886,5.84,4.16,3.42,4.16,10.37,11.0,11.79,11.74,1.95,2.05,2.0,1.58,0.84,0.58,0.32,0.37,2.21,1.37,0.79,0.79,0.11,0.05,0.0,0.0,14.58,10.05,5.95,3.68,2.68,3.58,8.47,11.95
Girona,0.071,1.014,1.015,0.842,0.976,0.752,0.949,1.085,0.531,0.968,0.769,0.494,0.476,0.827,0.886,0.958,0.92,0.861,0.994,0.976,0.901,0.927,0.893,1.273,0.93,1.357,1.075,0.952,0.988,1.029,1.19,0.919,0.987,5.42,4.16,3.53,5.32,10.58,12.42,12.42,11.32,1.68,2.26,2.21,2.0,0.74,0.26,0.63,0.63,1.42,0.89,1.58,1.58,0.05,0.05,0.11,0.11,11.16,9.74,4.21,3.47,4.32,4.37,10.89,13.32
Valladolid,0.0,0.797,0.964,0.963,0.943,1.151,0.971,0.233,0.637,0.394,0.679,1.481,0.952,0.702,0.543,0.856,0.771,1.349,0.886,1.071,1.022,0.993,0.94,1.485,2.016,1.448,2.079,0.476,0.988,1.317,1.234,1.34,1.295,4.26,3.95,5.53,4.74,12.11,12.0,13.63,12.84,2.58,2.32,2.37,2.11,0.16,0.32,0.74,1.37,0.58,0.79,1.68,3.05,0.16,0.11,0.05,0.11,9.47,8.16,2.58,3.11,4.47,6.37,13.95,17.47
