squadra,forma_avanzata_totale,forza_attacco_corner_casa,forza_attacco_corner_trasferta,forza_attacco_falli_casa,forza_attacco_falli_trasferta,forza_attacco_gialli_casa,forza_attacco_gialli_trasferta,forza_attacco_gol_1T_casa,forza_attacco_gol_1T_trasferta,forza_attacco_gol_casa,forza_attacco_gol_trasferta,forza_attacco_rossi_casa,forza_attacco_rossi_trasferta,forza_attacco_tiri_casa,forza_attacco_tiri_porta_casa,forza_attacco_tiri_porta_trasferta,forza_attacco_tiri_trasferta,forza_difesa_corner_casa,forza_difesa_corner_trasferta,forza_difesa_falli_casa,forza_difesa_falli_trasferta,forza_difesa_gialli_casa,forza_difesa_gialli_trasferta,forza_difesa_gol_1T_casa,forza_difesa_gol_1T_trasferta,forza_difesa_gol_casa,forza_difesa_gol_trasferta,forza_difesa_rossi_casa,forza_difesa_rossi_trasferta,forza_difesa_tiri_casa,forza_difesa_tiri_porta_casa,forza_difesa_tiri_porta_trasferta,forza_difesa_tiri_trasferta,media_corner_fatti_casa,media_corner_fatti_trasferta,media_corner_subiti_casa,media_corner_subiti_trasferta,media_falli_fatti_casa,media_falli_fatti_trasferta,media_falli_subiti_casa,media_falli_subiti_trasferta,media_gialli_fatti_casa,media_gialli_fatti_trasferta,media_gialli_subiti_casa,media_gialli_subiti_trasferta,media_gol_1T_fatti_casa,media_gol_1T_fatti_trasferta,media_gol_1T_subiti_casa,media_gol_1T_subiti_trasferta,media_gol_fatti_casa,media_gol_fatti_trasferta,media_gol_subiti_casa,media_gol_subiti_trasferta,media_rossi_fatti_casa,media_rossi_fatti_trasferta,media_rossi_subiti_casa,media_rossi_subiti_trasferta,media_tiri_fatti_casa,media_tiri_fatti_trasferta,media_tiri_porta_fatti_casa,media_tiri_porta_fatti_trasferta,media_tiri_porta_subiti_casa,media_tiri_porta_subiti_trasferta,media_tiri_subiti_casa,media_tiri_subiti_trasferta
Huesca,0.226,0.95,0.804,0.956,0.956,1.358,0.821,1.434,0.473,1.297,0.912,4.247,0.378,0.808,0.887,0.899,0.857,1.29,1.004,0.862,0.94,0.902,0.877,0.992,1.045,1.159,0.824,1.985,0.506,1.105,1.133,1.046,1.124,5.05,3.24,5.2,5.33,12.55,12.43,11.2,12.33,2.95,2.05,2.25,1.9,0.85,0.19,0.4,0.62,1.8,0.9,1.15,1.14,0.4,0.05,0.25,0.05,11.15,9.0,4.0,3.1,3.9,4.71,11.6,15.52
Levante,0.443,1.016,1.064,0.952,0.901,0.875,0.878,1.35,1.418,1.477,1.296,0.531,0.0,1.072,1.12,1.189,1.079,0.98,1.067,1.066,0.907,1.042,0.877,1.365,0.402,1.008,0.755,1.985,1.517,1.062,1.016,0.835,1.107,5.4,4.29,3.95,5.67,12.5,11.71,13.85,11.9,1.9,2.19,2.6,1.9,0.8,0.57,0.55,0.24,2.05,1.29,1.0,1.05,0.05,0.0,0.25,0.14,14.8,11.33,5.05,4.1,3.5,3.76,11.15,15.29
Ferrol,0.138,0.969,0.874,1.044,0.982,0.944,0.744,0.169,0.827,0.432,0.48,1.592,1.134,0.869,0.699,0.608,0.839,0.968,1.049,1.108,1.081,0.922,0.965,1.365,1.366,1.36,1.201,0.0,0.0,1.086,1.336,1.014,1.035,5.15,3.52,3.9,5.57,13.7,12.76,14.4,14.19,2.05,1.86,2.3,2.1,0.1,0.33,0.55,0.81,0.6,0.48,1.35,1.67,0.15,0.14,0.0,0.0,12.0,8.81,3.15,2.1,4.6,4.57,11.4,14.29
Eldense,0.159,1.156,1.142,1.081,0.997,1.096,1.162,0.884,0.62,0.892,0.806,1.011,1.588,1.035,0.961,0.929,1.014,0.827,0.998,0.806,1.006,0.859,0.829,1.418,1.013,1.488,1.045,0.756,0.531,0.998,0.94,1.231,1.202,6.14,4.6,3.33,5.3,14.19,12.95,10.48,13.2,2.38,2.9,2.14,1.8,0.52,0.25,0.57,0.6,1.24,0.8,1.48,1.45,0.1,0.2,0.1,0.05,14.29,10.65,4.33,3.2,3.24,5.55,10.48,16.6
Oviedo,0.361,0.932,1.016,0.983,1.257,0.944,1.164,1.013,1.063,1.153,1.056,0.0,0.378,1.054,0.998,1.134,0.989,0.955,0.789,1.066,1.052,0.882,1.096,1.24,0.884,0.957,0.755,1.191,1.011,0.838,0.886,1.025,0.914,4.95,4.1,3.85,4.19,12.9,16.33,13.85,13.81,2.05,2.9,2.2,2.38,0.6,0.43,0.5,0.52,1.6,1.05,0.95,1.05,0.0,0.05,0.15,0.1,14.55,10.38,4.5,3.9,3.05,4.62,8.8,12.62
La Coruna,0.098,1.186,1.016,0.789,0.81,0.714,0.611,0.844,1.3,0.937,1.44,1.592,0.756,1.05,1.032,1.162,1.034,1.179,1.147,1.12,0.987,0.902,1.096,1.24,1.205,1.159,0.926,0.0,0.0,1.186,1.307,0.887,1.007,6.3,4.1,4.75,6.1,10.35,10.52,14.55,12.95,1.55,1.52,2.25,2.38,0.5,0.52,0.5,0.71,1.3,1.43,1.15,1.29,0.15,0.1,0.0,0.0,14.5,10.86,4.65,4.0,4.5,4.0,12.45,13.9
Elche,0.204,1.084,1.08,1.001,1.024,0.789,1.102,1.125,1.24,1.27,0.907,0.0,2.382,1.145,1.257,1.133,1.005,0.744,0.828,1.187,1.322,1.069,1.427,0.709,0.759,0.72,0.685,1.134,1.062,0.78,0.844,0.777,0.855,5.76,4.35,3.0,4.4,13.14,13.3,15.43,17.35,1.71,2.75,2.67,3.1,0.67,0.5,0.29,0.45,1.76,0.9,0.71,0.95,0.0,0.3,0.14,0.1,15.81,10.55,5.67,3.9,2.9,3.5,8.19,11.8
Zaragoza,0.155,0.986,1.03,1.085,1.301,1.381,1.062,0.804,0.868,0.961,1.36,1.011,1.191,1.197,1.162,1.176,1.081,0.874,1.054,1.136,0.949,1.336,1.082,1.418,1.181,1.296,1.153,2.268,1.062,0.912,0.885,0.987,1.047,5.24,4.15,3.52,5.6,14.24,16.9,14.76,12.45,3.0,2.65,3.33,2.35,0.48,0.35,0.57,0.7,1.33,1.35,1.29,1.6,0.1,0.15,0.29,0.1,16.52,11.35,5.24,4.05,3.05,4.45,9.57,14.45
Sp Gijon,0.156,1.031,0.993,1.128,1.093,0.943,1.062,1.045,1.116,1.029,1.26,1.011,0.397,1.042,1.099,1.147,0.99,1.052,1.026,0.777,0.735,0.954,0.875,1.063,0.928,1.2,1.045,2.268,0.0,1.038,1.092,1.22,1.086,5.48,4.0,4.24,5.45,14.81,14.2,10.1,9.65,2.05,2.65,2.38,1.9,0.62,0.45,0.43,0.55,1.43,1.25,1.19,1.45,0.1,0.05,0.29,0.0,14.38,10.4,4.95,3.95,3.76,5.5,10.9,15.0
Burgos,0.104,0.932,0.955,0.98,0.97,1.096,1.122,0.884,0.62,0.892,0.655,0.0,0.794,0.773,0.866,0.9,0.833,1.064,0.875,1.011,0.972,1.012,0.944,0.945,0.844,1.104,0.829,0.756,4.247,0.948,0.913,0.954,0.931,4.95,3.85,4.29,4.65,12.86,12.6,13.14,12.75,2.38,2.8,2.52,2.05,0.52,0.25,0.38,0.5,1.24,0.65,1.1,1.15,0.0,0.1,0.1,0.4,10.67,8.75,3.9,3.1,3.14,4.3,9.95,12.85
Malaga,0.221,0.922,1.016,1.166,0.931,1.059,0.763,0.928,0.591,0.721,0.96,1.062,1.134,0.876,0.832,0.926,0.912,1.055,1.102,1.289,1.118,1.262,0.943,0.496,0.884,0.705,1.029,0.794,1.517,1.138,1.22,1.247,1.162,4.9,4.1,4.25,5.86,15.3,12.1,16.75,14.67,2.3,1.9,3.15,2.05,0.55,0.24,0.2,0.52,1.0,0.95,0.7,1.43,0.1,0.14,0.1,0.14,12.1,9.57,3.75,3.19,4.2,5.62,11.95,16.05
Tenerife,0.091,0.825,0.993,1.234,1.158,1.009,0.882,0.804,0.496,0.721,0.705,3.033,1.191,0.848,0.718,0.741,0.962,1.087,1.063,1.004,0.911,0.992,1.013,0.591,1.013,0.912,1.225,1.512,0.531,0.839,0.816,0.943,0.844,4.38,4.0,4.38,5.65,16.19,15.05,13.05,11.95,2.19,2.2,2.48,2.2,0.48,0.2,0.24,0.6,1.0,0.7,0.9,1.7,0.29,0.15,0.19,0.05,11.71,10.1,3.24,2.55,2.81,4.25,8.81,11.65
Cadiz,0.358,0.726,0.906,1.226,1.016,1.184,1.162,1.366,1.116,0.995,1.26,1.517,1.588,0.945,0.94,1.103,0.957,1.099,1.063,1.096,1.2,0.878,1.082,0.945,0.675,1.008,1.081,1.512,1.062,0.989,0.857,0.998,1.003,3.86,3.65,4.43,5.65,16.1,13.2,14.24,15.75,2.57,2.9,2.19,2.35,0.81,0.45,0.38,0.4,1.38,1.25,1.0,1.5,0.14,0.2,0.19,0.1,13.05,10.05,4.24,3.8,2.95,4.5,10.38,13.85
