squadra,forma_avanzata_totale,forza_attacco_corner_casa,forza_attacco_corner_trasferta,forza_attacco_falli_casa,forza_attacco_falli_trasferta,forza_attacco_gialli_casa,forza_attacco_gialli_trasferta,forza_attacco_gol_1T_casa,forza_attacco_gol_1T_trasferta,forza_attacco_gol_casa,forza_attacco_gol_trasferta,forza_attacco_rossi_casa,forza_attacco_rossi_trasferta,forza_attacco_tiri_casa,forza_attacco_tiri_porta_casa,forza_attacco_tiri_porta_trasferta,forza_attacco_tiri_trasferta,forza_difesa_corner_casa,forza_difesa_corner_trasferta,forza_difesa_falli_casa,forza_difesa_falli_trasferta,forza_difesa_gialli_casa,forza_difesa_gialli_trasferta,forza_difesa_gol_1T_casa,forza_difesa_gol_1T_trasferta,forza_difesa_gol_casa,forza_difesa_gol_trasferta,forza_difesa_rossi_casa,forza_difesa_rossi_trasferta,forza_difesa_tiri_casa,forza_difesa_tiri_porta_casa,forza_difesa_tiri_porta_trasferta,forza_difesa_tiri_trasferta,media_corner_fatti_casa,media_corner_fatti_trasferta,media_corner_subiti_casa,media_corner_subiti_trasferta,media_falli_fatti_casa,media_falli_fatti_trasferta,media_falli_subiti_casa,media_falli_subiti_trasferta,media_gialli_fatti_casa,media_gialli_fatti_trasferta,media_gialli_subiti_casa,media_gialli_subiti_trasferta,media_gol_1T_fatti_casa,media_gol_1T_fatti_trasferta,media_gol_1T_subiti_casa,media_gol_1T_subiti_trasferta,media_gol_fatti_casa,media_gol_fatti_trasferta,media_gol_subiti_casa,media_gol_subiti_trasferta,media_rossi_fatti_casa,media_rossi_fatti_trasferta,media_rossi_subiti_casa,media_rossi_subiti_trasferta,media_tiri_fatti_casa,media_tiri_fatti_trasferta,media_tiri_porta_fatti_casa,media_tiri_porta_fatti_trasferta,media_tiri_porta_subiti_casa,media_tiri_porta_subiti_trasferta,media_tiri_subiti_casa,media_tiri_subiti_trasferta
Famalicao,0.238,0.963,1.28,1.015,1.003,0.889,0.911,0.625,1.309,0.788,1.154,0.0,0.791,0.907,0.781,1.164,1.047,1.093,0.93,1.218,1.146,1.207,1.482,0.218,1.161,0.577,1.063,0.0,1.92,0.921,0.847,1.172,1.0,5.24,5.65,4.82,5.06,14.18,13.47,16.35,16.0,2.12,2.35,3.12,3.53,0.41,0.71,0.12,0.76,1.18,1.41,0.71,1.59,0.0,0.12,0.0,0.24,11.53,11.24,3.53,4.53,3.29,5.29,9.88,12.71
Santa Clara,0.312,0.833,0.72,1.171,1.257,1.31,1.161,0.893,0.873,0.709,0.865,2.4,0.0,1.018,1.003,0.847,0.839,0.733,0.952,1.051,0.897,1.252,0.889,0.764,0.715,0.673,0.709,1.978,0.48,0.806,0.847,0.795,0.967,4.53,3.18,3.24,5.18,16.35,16.88,14.12,12.53,3.12,3.0,3.24,2.12,0.59,0.47,0.41,0.47,1.06,1.06,0.82,1.06,0.29,0.0,0.29,0.06,12.94,9.0,4.53,3.29,3.29,3.59,8.65,12.29
Arouca,0.117,0.995,1.173,1.1,1.047,0.964,1.139,0.536,0.982,0.63,0.913,0.96,1.187,0.912,0.86,1.028,1.108,1.107,1.06,0.981,0.99,0.956,1.062,0.873,1.34,0.913,1.182,0.791,0.96,1.08,0.892,1.003,1.153,5.41,5.18,4.88,5.76,15.35,14.06,13.18,13.82,2.29,2.94,2.47,2.53,0.35,0.53,0.47,0.88,0.94,1.12,1.12,1.76,0.12,0.18,0.12,0.12,11.59,11.88,3.88,4.0,3.47,4.53,11.59,14.65
Porto,0.282,1.157,1.053,1.037,1.043,0.741,1.321,1.072,1.418,1.536,1.25,0.48,0.791,1.25,1.394,1.104,1.146,0.853,0.53,0.999,0.965,1.002,1.137,0.545,0.893,0.529,0.748,3.165,2.4,0.773,0.726,0.638,0.588,6.29,4.65,3.76,2.88,14.47,14.0,13.41,13.47,1.76,3.41,2.59,2.71,0.71,0.76,0.29,0.59,2.29,1.53,0.65,1.12,0.06,0.12,0.47,0.29,15.88,12.29,6.29,4.29,2.82,2.88,8.29,7.47
Nacional,0.056,0.844,1.0,0.94,1.043,0.889,1.047,1.161,0.436,0.906,0.433,0.48,1.582,1.143,1.029,0.892,1.119,1.133,1.179,1.016,1.003,1.23,0.618,1.2,1.072,1.298,0.906,0.396,0.96,1.168,1.104,1.133,1.222,4.59,4.41,5.0,6.41,13.12,14.0,13.65,14.0,2.12,2.71,3.18,1.47,0.76,0.24,0.65,0.71,1.35,0.53,1.59,1.35,0.06,0.24,0.06,0.12,14.53,12.0,4.65,3.47,4.29,5.12,12.53,15.53
Casa Pia,0.211,0.822,0.747,1.007,1.165,1.112,0.911,1.161,0.655,0.867,0.817,1.44,0.791,0.815,0.768,0.756,0.751,1.027,1.168,0.907,0.851,0.82,1.013,1.091,1.072,0.913,0.985,0.396,0.96,1.163,1.194,1.159,1.199,4.47,3.29,4.53,6.35,14.06,15.65,12.18,11.88,2.65,2.35,2.12,2.41,0.76,0.35,0.59,0.71,1.29,1.0,1.12,1.47,0.18,0.12,0.06,0.12,10.35,8.06,3.47,2.94,4.65,5.24,12.47,15.24
Sp Braga,0.242,1.287,1.187,1.028,1.034,0.741,0.865,1.697,0.873,1.3,1.057,1.44,0.396,1.162,1.263,1.058,1.152,0.707,0.8,0.885,0.931,1.025,1.087,0.436,0.536,0.913,0.433,0.791,1.44,0.806,0.922,0.847,0.829,7.0,5.24,3.12,4.35,14.35,13.88,11.88,13.0,1.76,2.24,2.65,2.59,1.12,0.47,0.24,0.35,1.94,1.29,1.12,0.65,0.18,0.06,0.12,0.18,14.76,12.35,5.71,4.12,3.59,3.82,8.65,10.53
Moreirense,0.097,0.573,0.693,1.138,0.986,1.013,0.956,1.072,0.873,0.867,0.961,0.48,0.791,0.838,0.873,1.013,0.91,1.12,1.006,1.117,1.188,1.161,0.889,0.655,1.072,1.009,1.142,0.396,0.48,1.075,0.862,1.068,1.018,3.12,3.06,4.94,5.47,15.88,13.24,15.0,16.59,2.41,2.47,3.0,2.12,0.71,0.47,0.35,0.71,1.29,1.18,1.24,1.71,0.06,0.12,0.06,0.06,10.65,9.76,3.94,3.94,3.35,4.82,11.53,12.94
Boavista,0.052,0.8,0.733,0.923,0.933,1.161,1.047,0.268,0.545,0.315,0.769,3.36,1.187,0.921,0.742,0.801,0.812,0.987,1.157,1.126,1.028,1.07,1.013,1.636,1.251,1.49,1.103,1.582,0.0,1.234,1.391,1.159,1.296,4.35,3.24,4.35,6.29,12.88,12.53,15.12,14.35,2.76,2.71,2.76,2.41,0.18,0.29,0.88,0.82,0.47,0.94,1.82,1.65,0.41,0.18,0.24,0.0,11.71,8.71,3.35,3.12,5.41,5.24,13.24,16.47
Gil Vicente,0.118,0.79,0.773,0.826,0.859,0.914,0.774,0.804,0.655,0.709,0.769,0.48,1.582,0.903,0.768,0.711,0.729,0.907,1.125,1.174,1.138,1.139,0.692,0.655,0.804,0.913,1.103,0.791,0.96,1.13,1.028,0.899,1.023,4.29,3.41,4.0,6.12,11.53,11.53,15.76,15.88,2.18,2.0,2.94,1.65,0.53,0.35,0.35,0.53,1.06,0.94,1.12,1.65,0.06,0.24,0.12,0.12,11.47,7.82,3.47,2.76,4.0,4.06,12.12,13.0
Guimaraes,0.157,1.45,1.253,0.99,1.143,0.988,1.025,1.161,0.436,1.142,0.865,0.0,0.0,1.153,1.042,1.043,1.075,0.773,0.822,1.03,1.041,1.093,1.161,0.655,0.715,0.913,0.709,0.396,0.96,0.812,0.832,0.638,0.792,7.88,5.53,3.41,4.47,13.82,15.35,13.82,14.53,2.35,2.65,2.82,2.76,0.76,0.24,0.35,0.47,1.71,1.06,1.12,1.06,0.0,0.0,0.06,0.12,14.65,11.53,4.71,4.06,3.24,2.88,8.71,10.06
Estrela,0.137,0.725,0.893,1.125,1.122,1.235,1.093,0.625,0.327,0.709,0.288,0.96,0.396,0.787,0.625,0.711,0.85,1.2,1.19,1.13,1.192,0.729,0.939,1.2,1.251,1.154,1.024,0.396,0.0,1.168,1.179,1.042,1.051,3.94,3.94,5.29,6.47,15.71,15.06,15.18,16.65,2.94,2.82,1.88,2.24,0.41,0.18,0.65,0.82,1.06,0.35,1.41,1.53,0.12,0.06,0.06,0.0,10.0,9.12,2.82,2.76,4.59,4.71,12.53,13.35
Sp Lisbon,0.435,1.309,1.213,0.801,0.885,0.791,0.82,1.787,2.182,1.575,2.307,0.96,1.582,1.426,1.459,1.724,1.612,0.64,0.584,1.051,1.091,1.07,1.408,0.873,0.625,0.625,0.551,0.791,1.44,0.62,0.59,0.456,0.643,7.12,5.35,2.82,3.18,11.18,11.88,14.12,15.24,1.88,2.12,2.76,3.35,1.18,1.18,0.47,0.41,2.35,2.82,0.76,0.82,0.12,0.24,0.12,0.18,18.12,17.29,6.59,6.71,2.29,2.06,6.65,8.18
