squadra,forma_avanzata_totale,forza_attacco_corner_casa,forza_attacco_corner_trasferta,forza_attacco_falli_casa,forza_attacco_falli_trasferta,forza_attacco_gialli_casa,forza_attacco_gialli_trasferta,forza_attacco_gol_1T_casa,forza_attacco_gol_1T_trasferta,forza_attacco_gol_casa,forza_attacco_gol_trasferta,forza_attacco_rossi_casa,forza_attacco_rossi_trasferta,forza_attacco_tiri_casa,forza_attacco_tiri_porta_casa,forza_attacco_tiri_porta_trasferta,forza_attacco_tiri_trasferta,forza_difesa_corner_casa,forza_difesa_corner_trasferta,forza_difesa_falli_casa,forza_difesa_falli_trasferta,forza_difesa_gialli_casa,forza_difesa_gialli_trasferta,forza_difesa_gol_1T_casa,forza_difesa_gol_1T_trasferta,forza_difesa_gol_casa,forza_difesa_gol_trasferta,forza_difesa_rossi_casa,forza_difesa_rossi_trasferta,forza_difesa_tiri_casa,forza_difesa_tiri_porta_casa,forza_difesa_tiri_porta_trasferta,forza_difesa_tiri_trasferta,media_corner_fatti_casa,media_corner_fatti_trasferta,media_corner_subiti_casa,media_corner_subiti_trasferta,media_falli_fatti_casa,media_falli_fatti_trasferta,media_falli_subiti_casa,media_falli_subiti_trasferta,media_gialli_fatti_casa,media_gialli_fatti_trasferta,media_gialli_subiti_casa,media_gialli_subiti_trasferta,media_gol_1T_fatti_casa,media_gol_1T_fatti_trasferta,media_gol_1T_subiti_casa,media_gol_1T_subiti_trasferta,media_gol_fatti_casa,media_gol_fatti_trasferta,media_gol_subiti_casa,media_gol_subiti_trasferta,media_rossi_fatti_casa,media_rossi_fatti_trasferta,media_rossi_subiti_casa,media_rossi_subiti_trasferta,media_tiri_fatti_casa,media_tiri_fatti_trasferta,media_tiri_porta_fatti_casa,media_tiri_porta_fatti_trasferta,media_tiri_porta_subiti_casa,media_tiri_porta_subiti_trasferta,media_tiri_subiti_casa,media_tiri_subiti_trasferta
Paris FC,0.282,1.005,1.058,0.982,1.001,1.067,1.108,1.55,1.292,1.42,1.119,0.0,2.208,1.087,1.238,1.241,1.166,0.882,0.901,1.058,1.0,1.298,0.998,0.822,0.678,0.853,0.71,1.656,2.303,0.946,0.915,0.795,0.865,5.12,4.59,3.82,4.59,12.71,13.47,14.24,12.94,1.82,2.06,2.41,1.71,0.94,0.65,0.41,0.41,2.0,1.24,0.94,1.0,0.0,0.24,0.18,0.24,13.82,12.47,5.59,4.71,3.47,3.59,10.12,11.0
Dunkerque,0.201,1.097,0.814,1.028,1.032,0.826,1.171,0.872,1.057,1.169,1.013,0.0,1.656,1.027,1.212,0.993,1.117,0.976,0.635,1.01,1.005,1.203,0.998,0.587,0.775,0.746,1.086,1.656,2.303,0.941,0.962,0.717,0.68,5.59,3.53,4.24,3.24,13.29,13.88,13.59,13.0,1.41,2.18,2.24,1.71,0.53,0.53,0.29,0.47,1.65,1.12,0.82,1.53,0.0,0.18,0.18,0.24,13.06,11.94,5.47,3.76,3.65,3.24,10.06,8.65
Martigues,0.089,0.774,0.651,0.959,0.966,0.963,0.981,0.872,0.822,0.543,0.853,3.454,0.552,0.805,0.665,0.915,0.847,1.316,1.224,1.006,0.991,0.981,0.895,0.94,1.065,1.439,1.211,0.0,1.151,1.392,1.597,1.447,1.342,3.94,2.82,5.71,6.24,12.41,13.0,13.53,12.82,1.65,1.82,1.82,1.53,0.53,0.41,0.47,0.65,0.76,0.94,1.59,1.71,0.35,0.06,0.0,0.12,10.24,9.06,3.0,3.47,6.06,6.53,14.88,17.06
Grenoble,0.264,0.785,1.031,0.991,0.931,0.688,0.918,1.065,1.057,1.044,0.959,0.576,1.104,0.805,0.886,1.024,1.095,1.424,1.19,0.787,0.955,0.791,0.895,0.822,1.065,0.906,1.127,0.552,2.303,1.232,1.303,1.264,1.147,4.0,4.47,6.18,6.06,12.82,12.53,10.59,12.35,1.18,1.71,1.47,1.53,0.65,0.53,0.41,0.65,1.47,1.06,1.0,1.59,0.06,0.12,0.06,0.24,10.24,11.71,4.0,3.88,4.94,5.71,13.18,14.59
Troyes,0.303,1.039,1.153,0.85,0.988,0.791,0.981,0.581,1.057,0.752,0.959,0.0,2.208,1.078,1.147,1.148,1.166,0.854,0.739,1.001,0.982,0.918,1.273,0.822,0.775,0.693,0.877,0.0,1.727,0.935,0.884,0.873,0.958,5.29,5.0,3.71,3.76,11.0,13.29,13.47,12.71,1.35,1.82,1.71,2.18,0.35,0.53,0.41,0.47,1.06,1.06,0.76,1.24,0.0,0.24,0.0,0.18,13.71,12.47,5.18,4.35,3.35,3.94,10.0,12.18
Annecy,0.294,1.109,0.719,1.337,1.076,1.376,1.266,0.969,0.822,1.002,0.959,2.303,1.104,0.842,0.899,0.931,0.908,1.221,0.843,0.953,0.882,1.013,0.929,0.705,1.065,0.853,1.127,0.0,0.0,1.034,0.822,0.978,0.944,5.65,3.12,5.29,4.29,17.29,14.47,12.82,11.41,2.35,2.35,1.88,1.59,0.59,0.41,0.35,0.65,1.41,1.06,0.94,1.59,0.24,0.12,0.0,0.0,10.71,9.71,4.06,3.53,3.12,4.41,11.06,12.0
Metz,0.228,0.901,1.139,0.955,0.848,0.963,0.855,1.55,1.645,1.545,1.439,0.576,0.0,1.184,1.238,1.132,1.056,0.909,0.97,1.015,1.128,0.981,1.204,0.587,0.678,0.799,0.793,0.0,1.151,0.974,0.884,1.056,1.022,4.59,4.94,3.94,4.94,12.35,11.41,13.65,14.59,1.65,1.59,1.82,2.06,0.94,0.82,0.29,0.41,2.18,1.59,0.88,1.12,0.06,0.0,0.0,0.12,15.06,11.29,5.59,4.29,3.35,4.76,10.41,13.0
Guingamp,0.171,1.166,1.071,0.859,1.093,0.551,0.696,1.356,1.175,1.378,1.279,0.576,0.552,1.106,1.356,1.194,1.111,0.949,0.82,1.115,1.032,1.361,1.067,0.822,0.969,1.013,1.086,0.552,1.151,0.996,1.117,1.004,0.879,5.94,4.65,4.12,4.18,11.12,14.71,15.0,13.35,0.94,1.29,2.53,1.82,0.82,0.59,0.41,0.59,1.94,1.41,1.12,1.53,0.06,0.06,0.06,0.12,14.06,11.88,6.12,4.53,4.24,4.53,10.65,11.18
Ajaccio,0.28,0.924,0.827,1.069,0.993,1.48,1.234,0.581,0.587,0.919,0.426,2.303,2.208,0.953,0.834,0.651,0.737,0.909,1.062,0.971,1.137,0.823,0.963,1.175,1.162,0.906,1.044,0.552,0.576,0.93,0.822,1.199,1.203,4.71,3.59,3.94,5.41,13.82,13.35,13.06,14.71,2.53,2.29,1.53,1.65,0.35,0.29,0.59,0.71,1.29,0.47,1.0,1.47,0.24,0.24,0.06,0.06,12.12,7.88,3.76,2.47,3.12,5.41,9.94,15.29
Pau FC,0.209,1.028,1.139,1.109,1.05,0.826,1.646,0.775,0.94,0.835,1.013,1.727,1.104,1.203,1.108,1.07,1.1,0.949,0.993,0.918,1.028,1.108,1.032,0.94,1.356,1.013,1.42,1.656,1.151,1.067,1.132,1.291,1.027,5.24,4.94,4.12,5.06,14.35,14.12,12.35,13.29,1.41,3.06,2.06,1.76,0.47,0.47,0.47,0.82,1.18,1.12,1.12,2.0,0.18,0.12,0.18,0.12,15.29,11.76,5.0,4.06,4.29,5.82,11.41,13.06
Bastia,0.188,1.086,1.099,0.955,1.146,1.376,1.203,1.356,0.822,1.211,0.746,2.303,0.552,1.323,1.369,1.117,1.095,0.882,0.982,1.15,1.259,1.741,1.548,0.94,0.969,0.746,0.96,2.76,1.151,0.798,0.838,0.834,0.833,5.53,4.76,3.82,5.0,12.35,15.41,15.47,16.29,2.35,2.24,3.24,2.65,0.82,0.41,0.47,0.59,1.71,0.82,0.82,1.35,0.24,0.06,0.29,0.12,16.82,11.71,6.18,4.24,3.18,3.76,8.53,10.59
Rodez,0.146,1.166,1.465,0.937,1.045,1.032,0.981,0.581,1.88,1.169,1.492,1.151,0.552,1.11,1.03,1.21,1.117,0.976,0.878,0.844,0.682,1.076,0.723,1.645,0.872,1.386,1.169,2.76,0.0,0.864,0.822,1.16,1.064,5.94,6.35,4.24,4.47,12.12,14.06,11.35,8.82,1.76,1.82,2.0,1.24,0.35,0.94,0.82,0.53,1.65,1.65,1.53,1.65,0.12,0.06,0.29,0.0,14.12,11.94,4.65,4.59,3.12,5.24,9.24,13.53
Laval,0.179,1.028,1.058,1.032,1.085,1.067,1.045,1.259,0.822,1.002,1.066,0.576,0.552,0.842,0.886,0.853,0.919,1.071,0.982,0.98,0.905,1.045,1.067,0.822,0.775,0.959,0.835,0.0,0.576,1.04,1.039,1.056,1.096,5.24,4.59,4.65,5.0,13.35,14.59,13.18,11.71,1.82,1.94,1.94,1.82,0.76,0.41,0.41,0.47,1.41,1.18,1.06,1.18,0.06,0.06,0.0,0.06,10.71,9.82,4.0,3.24,3.94,4.76,11.12,13.94
