squadra,forma_avanzata_totale,forza_attacco_corner_casa,forza_attacco_corner_trasferta,forza_attacco_falli_casa,forza_attacco_falli_trasferta,forza_attacco_gialli_casa,forza_attacco_gialli_trasferta,forza_attacco_gol_1T_casa,forza_attacco_gol_1T_trasferta,forza_attacco_gol_casa,forza_attacco_gol_trasferta,forza_attacco_rossi_casa,forza_attacco_rossi_trasferta,forza_attacco_tiri_casa,forza_attacco_tiri_porta_casa,forza_attacco_tiri_porta_trasferta,forza_attacco_tiri_trasferta,forza_difesa_corner_casa,forza_difesa_corner_trasferta,forza_difesa_falli_casa,forza_difesa_falli_trasferta,forza_difesa_gialli_casa,forza_difesa_gialli_trasferta,forza_difesa_gol_1T_casa,forza_difesa_gol_1T_trasferta,forza_difesa_gol_casa,forza_difesa_gol_trasferta,forza_difesa_rossi_casa,forza_difesa_rossi_trasferta,forza_difesa_tiri_casa,forza_difesa_tiri_porta_casa,forza_difesa_tiri_porta_trasferta,forza_difesa_tiri_trasferta,media_corner_fatti_casa,media_corner_fatti_trasferta,media_corner_subiti_casa,media_corner_subiti_trasferta,media_falli_fatti_casa,media_falli_fatti_trasferta,media_falli_subiti_casa,media_falli_subiti_trasferta,media_gialli_fatti_casa,media_gialli_fatti_trasferta,media_gialli_subiti_casa,media_gialli_subiti_trasferta,media_gol_1T_fatti_casa,media_gol_1T_fatti_trasferta,media_gol_1T_subiti_casa,media_gol_1T_subiti_trasferta,media_gol_fatti_casa,media_gol_fatti_trasferta,media_gol_subiti_casa,media_gol_subiti_trasferta,media_rossi_fatti_casa,media_rossi_fatti_trasferta,media_rossi_subiti_casa,media_rossi_subiti_trasferta,media_tiri_fatti_casa,media_tiri_fatti_trasferta,media_tiri_porta_fatti_casa,media_tiri_porta_fatti_trasferta,media_tiri_porta_subiti_casa,media_tiri_porta_subiti_trasferta,media_tiri_subiti_casa,media_tiri_subiti_trasferta
Fiorentina,0.279,0.75,0.904,0.998,0.893,1.051,1.045,1.596,1.393,1.214,1.229,0.0,1.667,0.832,1.026,1.172,1.006,0.967,0.789,1.295,1.213,1.187,1.222,0.697,1.064,0.79,0.873,2.222,1.739,0.93,0.918,0.967,0.921,4.0,3.74,4.0,4.21,11.95,11.21,16.26,14.53,1.95,2.32,2.63,2.26,0.95,0.74,0.37,0.63,1.68,1.47,0.95,1.21,0.0,0.16,0.21,0.16,11.32,11.26,4.58,4.37,3.42,4.32,10.42,12.53
Genoa,0.214,0.868,0.853,1.046,1.081,0.994,0.855,0.443,0.697,0.797,0.703,0.58,0.0,0.848,0.908,0.635,0.775,1.184,1.075,1.027,1.015,0.997,0.966,0.896,0.798,1.098,0.911,0.556,0.58,1.029,1.13,0.991,0.998,4.63,3.53,4.89,5.74,12.53,13.58,12.89,12.16,1.84,1.89,2.21,1.79,0.26,0.37,0.47,0.47,1.11,0.84,1.32,1.26,0.05,0.0,0.05,0.05,11.53,8.68,4.05,2.37,4.21,4.42,11.53,13.58
Udinese,0.057,0.908,1.094,1.227,1.077,0.994,1.163,0.887,0.796,0.835,0.834,1.739,1.111,0.886,0.861,1.002,0.973,1.184,1.065,0.859,0.87,0.688,0.881,0.697,1.33,1.186,1.101,0.556,2.319,1.142,1.2,1.003,1.002,4.84,4.53,4.89,5.68,14.68,13.53,10.79,10.42,1.84,2.58,1.53,1.63,0.53,0.42,0.37,0.79,1.16,1.0,1.42,1.53,0.16,0.11,0.05,0.21,12.05,10.89,3.84,3.74,4.47,4.47,12.79,13.63
Parma,0.391,0.76,1.158,0.932,0.809,1.08,0.855,0.798,0.697,0.949,0.834,0.58,2.222,0.848,0.896,1.017,0.959,1.298,1.194,1.085,0.985,1.234,0.739,1.095,1.064,1.229,1.139,1.111,0.58,1.189,1.115,1.026,1.111,4.05,4.79,5.37,6.37,11.16,10.16,13.63,11.79,2.0,1.89,2.74,1.37,0.47,0.37,0.58,0.63,1.32,1.0,1.47,1.58,0.05,0.21,0.11,0.05,11.53,10.74,4.0,3.79,4.16,4.58,13.32,15.11
Juventus,0.204,1.095,1.005,1.051,1.014,0.938,0.783,1.064,1.592,1.176,1.186,1.159,0.556,1.142,1.215,1.228,1.024,0.865,1.026,0.805,0.853,0.878,0.966,0.597,0.887,0.659,0.759,1.111,0.0,0.851,0.734,0.838,0.836,5.84,4.16,3.58,5.47,12.58,12.74,10.11,10.21,1.74,1.74,1.95,1.79,0.63,0.84,0.32,0.53,1.63,1.42,0.79,1.05,0.11,0.05,0.11,0.0,15.53,11.47,5.42,4.58,2.74,3.74,9.53,11.37
Lecce,0.335,0.967,0.853,0.972,1.023,0.653,0.878,0.443,0.796,0.493,0.615,2.319,1.111,0.952,0.79,0.833,0.968,1.247,1.292,1.073,0.866,1.139,0.966,1.294,1.064,1.361,1.025,1.667,1.159,1.109,1.271,1.144,1.146,5.16,3.53,5.16,6.89,11.63,12.84,13.47,10.37,1.21,1.95,2.53,1.79,0.26,0.42,0.68,0.63,0.68,0.74,1.63,1.42,0.21,0.11,0.16,0.11,12.95,10.84,3.53,3.11,4.74,5.11,12.42,15.58
Inter,0.336,1.312,1.12,0.884,0.893,0.653,0.807,1.863,1.791,1.518,1.712,0.0,0.556,1.215,1.18,1.327,1.208,0.713,0.829,0.901,0.963,0.641,0.71,0.995,0.266,0.922,0.531,0.556,1.739,0.846,0.96,0.767,0.844,7.0,4.63,2.95,4.42,10.58,11.21,11.32,11.53,1.21,1.79,1.42,1.32,1.11,0.95,0.53,0.16,2.11,2.05,1.11,0.74,0.0,0.05,0.05,0.16,16.53,13.53,5.26,4.95,3.58,3.42,9.47,11.47
Venezia,0.163,0.75,0.853,1.103,1.056,1.08,0.902,0.621,0.697,0.645,0.659,0.58,0.556,0.801,0.873,0.791,0.813,1.336,1.164,1.098,1.024,0.95,0.824,0.896,1.153,0.966,1.29,0.556,0.58,1.133,1.144,1.262,1.188,4.0,3.53,5.53,6.21,13.21,13.26,13.79,12.26,2.0,2.0,2.11,1.53,0.37,0.37,0.47,0.68,0.89,0.79,1.16,1.79,0.05,0.05,0.05,0.05,10.89,9.11,3.89,2.95,4.26,5.63,12.68,16.16
Torino,0.037,0.858,0.904,1.015,1.043,0.909,1.139,0.532,0.896,0.645,0.966,0.58,1.111,0.801,0.72,0.96,0.836,0.967,1.164,0.939,0.822,0.76,0.881,0.796,1.153,0.79,1.025,0.0,0.58,1.194,1.327,1.038,1.049,4.58,3.74,4.0,6.21,12.16,13.11,11.79,9.84,1.68,2.53,1.68,1.63,0.32,0.47,0.42,0.68,0.89,1.16,0.95,1.42,0.05,0.11,0.0,0.05,10.89,9.37,3.21,3.58,4.95,4.63,13.37,14.26
Atalanta,0.311,1.055,1.094,0.91,0.951,0.767,0.95,1.774,1.791,1.366,1.844,0.58,0.0,1.091,1.215,1.285,1.231,0.713,0.671,0.947,0.818,0.688,0.625,1.095,0.621,1.054,0.493,0.556,0.58,0.832,1.087,0.896,0.871,5.63,4.53,2.95,3.58,10.89,11.95,11.89,9.79,1.42,2.11,1.53,1.16,1.05,0.95,0.58,0.37,1.89,2.21,1.26,0.68,0.05,0.0,0.05,0.05,14.84,13.79,5.42,4.79,4.05,4.0,9.32,11.84
