squadra,forma_avanzata_totale,forza_attacco_corner_casa,forza_attacco_corner_trasferta,forza_attacco_falli_casa,forza_attacco_falli_trasferta,forza_attacco_gialli_casa,forza_attacco_gialli_trasferta,forza_attacco_gol_1T_casa,forza_attacco_gol_1T_trasferta,forza_attacco_gol_casa,forza_attacco_gol_trasferta,forza_attacco_rossi_casa,forza_attacco_rossi_trasferta,forza_attacco_tiri_casa,forza_attacco_tiri_porta_casa,forza_attacco_tiri_porta_trasferta,forza_attacco_tiri_trasferta,forza_difesa_corner_casa,forza_difesa_corner_trasferta,forza_difesa_falli_casa,forza_difesa_falli_trasferta,forza_difesa_gialli_casa,forza_difesa_gialli_trasferta,forza_difesa_gol_1T_casa,forza_difesa_gol_1T_trasferta,forza_difesa_gol_casa,forza_difesa_gol_trasferta,forza_difesa_rossi_casa,forza_difesa_rossi_trasferta,forza_difesa_tiri_casa,forza_difesa_tiri_porta_casa,forza_difesa_tiri_porta_trasferta,forza_difesa_tiri_trasferta,media_corner_fatti_casa,media_corner_fatti_trasferta,media_corner_subiti_casa,media_corner_subiti_trasferta,media_falli_fatti_casa,media_falli_fatti_trasferta,media_falli_subiti_casa,media_falli_subiti_trasferta,media_gialli_fatti_casa,media_gialli_fatti_trasferta,media_gialli_subiti_casa,media_gialli_subiti_trasferta,media_gol_1T_fatti_casa,media_gol_1T_fatti_trasferta,media_gol_1T_subiti_casa,media_gol_1T_subiti_trasferta,media_gol_fatti_casa,media_gol_fatti_trasferta,media_gol_subiti_casa,media_gol_subiti_trasferta,media_rossi_fatti_casa,media_rossi_fatti_trasferta,media_rossi_subiti_casa,media_rossi_subiti_trasferta,media_tiri_fatti_casa,media_tiri_fatti_trasferta,media_tiri_porta_fatti_casa,media_tiri_porta_fatti_trasferta,media_tiri_porta_subiti_casa,media_tiri_porta_subiti_trasferta,media_tiri_subiti_casa,media_tiri_subiti_trasferta
Cosenza,0.096,1.088,0.846,1.024,0.992,1.31,1.117,0.696,0.891,0.508,0.874,2.222,2.353,1.099,0.972,1.036,1.116,1.033,1.224,1.085,1.009,0.858,1.221,1.188,1.304,0.92,1.406,1.176,1.111,0.898,0.882,1.295,1.11,5.47,3.58,4.37,6.16,14.47,13.95,15.26,14.26,3.11,2.95,2.26,2.89,0.42,0.47,0.63,0.79,0.68,1.0,1.05,1.89,0.21,0.32,0.16,0.11,15.21,13.16,4.26,3.89,3.32,5.68,10.58,15.37
Cesena,0.264,1.099,0.983,1.009,1.063,1.132,0.998,1.217,0.693,1.055,0.874,1.667,0.784,0.87,0.972,1.036,0.938,0.908,0.712,0.999,1.013,0.818,1.154,0.792,1.391,0.966,1.016,0.784,1.111,1.009,0.98,0.864,0.806,5.53,4.16,3.84,3.58,14.26,14.95,14.05,14.32,2.68,2.63,2.16,2.74,0.74,0.37,0.42,0.84,1.42,1.0,1.11,1.37,0.16,0.11,0.11,0.11,12.05,11.05,4.26,3.89,3.68,3.79,11.89,11.16
Modena,0.12,0.952,0.933,0.931,0.913,0.954,0.938,1.217,1.287,1.055,0.966,1.111,1.961,0.874,0.96,0.91,0.933,0.834,1.068,0.928,1.129,0.978,0.91,1.089,1.13,1.103,1.016,0.784,0.556,1.067,0.952,0.924,1.026,4.79,3.95,3.53,5.37,13.16,12.84,13.05,15.95,2.26,2.47,2.58,2.16,0.74,0.68,0.58,0.68,1.42,1.11,1.26,1.37,0.11,0.26,0.11,0.05,12.11,11.0,4.21,3.42,3.58,4.05,12.58,14.21
Cittadella,0.149,0.827,0.771,1.192,1.097,1.176,1.157,0.348,0.693,0.586,0.736,0.556,0.392,0.893,0.756,0.728,0.848,0.821,1.266,1.059,1.17,0.878,0.844,1.188,1.043,1.195,1.094,0.392,0.0,1.076,1.022,1.187,1.08,4.16,3.26,3.47,6.37,16.84,15.42,14.89,16.53,2.79,3.05,2.32,2.0,0.21,0.37,0.63,0.63,0.79,0.84,1.37,1.47,0.05,0.05,0.05,0.0,12.37,10.0,3.32,2.74,3.84,5.21,12.68,14.95
Sassuolo,0.226,1.036,0.809,0.883,0.823,0.555,0.878,1.391,1.386,1.68,1.609,0.0,0.784,1.045,1.367,1.33,1.049,0.983,0.89,0.879,0.972,0.818,0.844,0.99,0.87,0.782,0.82,0.392,0.556,0.956,0.938,1.031,1.023,5.21,3.42,4.16,4.47,12.47,11.58,12.37,13.74,1.32,2.32,2.16,2.0,0.84,0.74,0.53,0.53,2.26,1.84,0.89,1.11,0.0,0.11,0.05,0.05,14.47,12.37,6.0,5.0,3.53,4.53,11.26,14.16
Carrarese,0.179,0.921,1.095,0.995,0.906,0.977,0.858,1.043,0.693,0.938,0.69,0.556,1.176,0.92,0.924,0.854,0.848,1.194,0.911,0.951,1.006,0.938,0.954,0.594,1.217,0.828,1.211,1.176,0.556,1.206,0.952,1.283,1.068,4.63,4.63,5.05,4.58,14.05,12.74,13.37,14.21,2.32,2.26,2.47,2.26,0.63,0.37,0.32,0.74,1.26,0.79,0.95,1.63,0.05,0.16,0.16,0.05,12.74,10.0,4.05,3.21,3.58,5.63,14.21,14.79
Juve Stabia,0.165,1.162,0.734,1.244,1.235,0.91,1.117,1.217,0.693,0.977,0.782,1.111,1.176,0.893,0.888,0.84,0.697,0.995,1.078,1.078,1.289,0.998,1.154,0.792,1.043,0.828,0.898,1.569,1.111,0.991,0.938,0.996,0.867,5.84,3.11,4.21,5.42,17.58,17.37,15.16,18.21,2.16,2.95,2.63,2.74,0.74,0.37,0.42,0.63,1.32,0.89,0.95,1.21,0.11,0.16,0.21,0.11,12.37,8.21,3.89,3.16,3.53,4.37,11.68,12.0
Pisa,0.345,0.984,0.809,0.939,1.029,0.755,0.838,1.304,1.782,1.445,1.149,0.556,0.784,1.068,1.079,0.728,0.96,0.747,0.931,0.973,0.92,0.838,1.021,0.594,0.783,0.828,0.742,1.176,2.778,0.831,0.896,0.828,0.711,4.95,3.42,3.16,4.68,13.26,14.47,13.68,13.0,1.79,2.21,2.21,2.42,0.79,0.95,0.32,0.47,1.95,1.32,0.95,1.0,0.05,0.11,0.16,0.26,14.79,11.32,4.74,2.74,3.37,3.63,9.79,9.84
Palermo,0.207,1.151,1.095,0.965,0.999,0.999,0.758,1.13,1.683,1.016,1.195,0.556,0.0,1.27,1.283,1.106,1.041,1.132,1.193,1.082,1.039,1.057,0.844,0.693,0.696,0.874,0.938,0.392,0.556,1.054,0.994,0.948,1.019,5.79,4.63,4.79,6.0,13.63,14.05,15.21,14.68,2.37,2.0,2.79,2.0,0.68,0.89,0.37,0.42,1.37,1.37,1.0,1.26,0.05,0.0,0.05,0.05,17.58,12.26,5.63,4.16,3.74,4.16,12.42,14.11
Sudtirol,0.314,0.931,1.033,1.043,1.22,0.888,0.938,1.13,0.891,0.977,1.149,0.556,0.784,0.92,0.96,0.868,0.978,1.194,1.005,1.044,0.916,0.898,0.733,1.287,1.304,1.241,1.172,0.392,0.556,1.076,0.994,1.091,1.14,4.68,4.37,5.05,5.05,14.74,17.16,14.68,12.95,2.11,2.47,2.37,1.74,0.68,0.47,0.68,0.79,1.32,1.32,1.42,1.58,0.05,0.11,0.05,0.05,12.74,11.53,4.21,3.26,3.74,4.79,12.68,15.79
Mantova,0.291,0.733,0.995,1.255,1.254,0.888,0.958,0.87,0.891,0.938,1.057,0.0,1.569,1.015,1.091,1.064,1.09,1.008,0.869,1.295,1.047,1.217,1.132,0.693,1.565,0.874,1.445,1.569,0.556,1.032,1.064,1.211,1.068,3.68,4.21,4.26,4.37,17.74,17.63,18.21,14.79,2.11,2.53,3.21,2.68,0.53,0.47,0.37,0.95,1.26,1.21,1.0,1.95,0.0,0.21,0.21,0.05,14.05,12.84,4.79,4.0,4.0,5.32,12.16,14.79
Salernitana,0.141,1.005,0.834,1.017,1.014,0.954,0.858,0.609,0.297,1.055,0.46,1.667,0.784,1.129,1.187,0.714,0.831,0.858,0.827,1.074,1.11,0.938,0.688,1.485,0.783,1.011,0.977,1.176,1.111,0.826,0.868,0.924,1.0,5.05,3.53,3.63,4.16,14.37,14.26,15.11,15.68,2.26,2.26,2.47,1.63,0.37,0.16,0.79,0.47,1.42,0.53,1.16,1.32,0.16,0.11,0.16,0.11,15.63,9.79,5.21,2.68,3.26,4.05,9.74,13.84
Spezia,0.065,1.235,1.145,1.278,1.175,0.999,0.858,1.304,1.386,1.406,1.057,1.667,0.784,1.224,1.271,1.106,1.215,0.784,0.879,1.257,1.073,1.257,1.021,1.089,0.783,0.782,0.625,1.176,0.0,0.813,0.84,0.828,0.996,6.21,4.84,3.32,4.42,18.05,16.53,17.68,15.16,2.37,2.26,3.32,2.42,0.79,0.74,0.58,0.47,1.89,1.21,0.89,0.84,0.16,0.11,0.16,0.0,16.95,14.32,5.58,4.16,3.16,3.63,9.58,13.79
Sampdoria,0.202,0.869,1.107,1.009,1.108,1.199,0.938,0.696,1.188,0.508,1.149,2.222,0.784,0.943,0.888,0.952,1.009,1.008,0.942,1.119,0.995,0.998,0.799,0.297,1.13,0.69,1.328,0.784,2.222,1.103,0.952,1.259,1.064,4.37,4.68,4.26,4.74,14.26,15.58,15.74,14.05,2.84,2.47,2.63,1.89,0.42,0.63,0.16,0.68,0.68,1.32,0.79,1.79,0.21,0.11,0.11,0.21,13.05,11.89,3.89,3.58,3.58,5.53,13.0,14.74
Catanzaro,0.274,0.952,0.796,0.935,0.992,0.866,0.778,1.304,0.396,1.211,0.92,0.556,1.176,0.905,0.996,0.84,0.88,1.008,1.078,0.969,0.987,0.918,1.088,1.287,1.217,0.966,0.938,0.392,1.111,0.871,0.826,1.115,1.171,4.79,3.37,4.26,5.42,13.21,13.95,13.63,13.95,2.05,2.05,2.42,2.58,0.79,0.21,0.68,0.74,1.63,1.05,1.11,1.26,0.05,0.16,0.05,0.11,12.53,10.37,4.37,3.16,3.11,4.89,10.26,16.21
Brescia,0.186,0.911,1.033,1.028,0.992,0.977,0.958,1.13,0.99,0.977,0.782,0.0,0.784,1.08,1.151,0.938,1.067,0.821,1.193,0.958,1.047,0.918,1.199,1.089,0.783,1.195,0.859,1.569,1.667,1.049,1.064,1.115,1.182,4.58,4.37,3.47,6.0,14.53,13.95,13.47,14.79,2.32,2.53,2.42,2.84,0.68,0.53,0.58,0.47,1.32,0.89,1.37,1.16,0.0,0.11,0.21,0.16,14.95,12.58,5.05,3.53,4.0,4.89,12.37,16.37
Reggiana,0.414,0.722,0.896,1.076,1.153,1.176,1.097,1.043,0.891,0.859,0.92,1.111,0.392,0.836,0.876,1.078,0.965,0.946,1.068,1.149,1.006,1.217,0.954,1.188,1.13,1.103,1.094,0.784,0.556,1.076,1.036,0.936,1.015,3.63,3.79,4.0,5.37,15.21,16.21,16.16,14.21,2.79,2.89,3.21,2.26,0.63,0.47,0.63,0.68,1.16,1.05,1.26,1.47,0.11,0.05,0.11,0.05,11.58,11.37,3.84,4.05,3.89,4.11,12.68,14.05
